city,Bblind_dCatMRR,Bfull_BASE,Bfull_SIT,Bfull_dCatMRR,Bfull_dR20,Bfull_dGini,dominant,Bblind_dMICRO,Bblind_dMACRO,neut_full_dMacro,neut_rawboth_dMacro,neut_verdict
mind,0.00032,0.37332,0.37068,-0.00264,-0.01337,-0.00314,0.2487,-0.00086,0.0026,0.0026,0.00011,STRUTT
ml1m,0.02517,0.43015,0.43833,0.00818,0.00224,-0.00431,0.2768,0.02517,0.01384,0.01384,0.00553,STRUTT
yelp,0.00178,0.74966,0.7477,-0.00196,7e-05,-0.00012,0.7622,0.00637,-0.00311,-0.00311,0.00025,STRUTT
kuairand,0.00031,0.2867,0.28715,0.00046,0.00028,-0.00036,0.2423,0.00029,0.00043,0.00043,0.00025,STRUTT
amazoncd,0.01103,0.34596,0.3464,0.00044,-0.00015,-5e-05,0.2374,0.01103,0.00389,,,
tsmc_nyc,0.09577,0.44935,0.45656,0.00721,-0.00117,-0.00436,0.1691,0.09577,0.11627,0.11627,0.07377,STRUTT
tsmc_tky,0.01614,0.63957,0.63972,0.00016,-4e-05,-0.00023,0.5691,0.02016,0.0083,,,
nyc_tist,0.05368,0.38804,0.40061,0.01256,-0.0076,-0.01382,0.2642,0.06131,0.04331,0.04331,0.03516,STRUTT
tokyo_tist,0.01892,0.67108,0.67102,-6e-05,-0.00019,-0.00028,0.6255,0.02667,0.01447,0.01447,0.01552,STRUTT
saopaulo,0.02946,0.46891,0.47382,0.00491,-0.00182,-0.00245,0.2505,0.03562,0.02263,0.02263,0.00986,STRUTT
bangkok,0.01361,0.44668,0.4485,0.00182,1e-05,-0.00059,0.3359,0.0168,0.00873,0.00873,0.01252,STRUTT
istanbul,0.01816,0.38991,0.39189,0.00198,0.00021,-0.00022,0.2313,0.01874,0.01701,0.01701,0.02924,STRUTT
