city,method,kappa,val_CatMRR,test_CatMRR
ml1m,SIT,0.05,0.36788,0.36364
ml1m,SIT,0.1,0.3733,0.36735
ml1m,SIT,0.25,0.3831,0.37426
ml1m,SIT,0.5,0.38569,0.37662
ml1m,SIT,0.75,0.37991,0.37131
ml1m,SIT,1.0,0.37689,0.36492
ml1m,SIT,1.5,0.37484,0.36016
ml1m,SIT,2.0,0.37445,0.35932
ml1m,Steck-b,0.05,0.36222,0.35778
ml1m,Steck-b,0.1,0.36105,0.35693
ml1m,Steck-b,0.25,0.35476,0.35025
ml1m,Steck-b,0.5,0.34297,0.33642
ml1m,Steck-b,0.75,0.32802,0.32053
ml1m,Steck-b,1.0,0.31264,0.30523
ml1m,Steck-b,1.5,0.28241,0.27491
ml1m,Steck-b,2.0,0.25609,0.24964
ml1m,UNI_mean,0.05,0.36297,0.35943
ml1m,UNI_mean,0.1,0.36268,0.35891
ml1m,UNI_mean,0.25,0.36187,0.35781
ml1m,UNI_mean,0.5,0.3603,0.35606
ml1m,UNI_mean,0.75,0.35867,0.35373
ml1m,UNI_mean,1.0,0.35607,0.3515
ml1m,UNI_mean,1.5,0.35068,0.34562
ml1m,UNI_mean,2.0,0.34417,0.33991
ml1m,BASE,0.0,0.36336,0.35962
