seed,backbone,method,kstar,CatMRR,CatNDCG,R20,NDCG20,JS,LT20,Coverage,Gini,lensKLmax,n_sink
42,B_blind,BASE,,0.6010386490433742,0.6533808625222062,0.07093807372095647,0.03236373627534577,0.1573130107964186,0.011559577781393507,0.1965752227852525,0.964207051381178,1.5731876652969776,2
42,B_blind,SIT,0.25,0.6277089162442357,0.6725565013011094,0.07372165200670713,0.033093902671719806,0.16105562260205306,0.011689696455896086,0.23868600384413768,0.9615602821016698,1.8805140846198092,1
42,B_blind,Steck-b,0.5,0.6301640483884344,0.6808912218918336,0.07145028762511857,0.03183235637874838,0.10821647221775671,0.018810127736377847,0.24497641097326578,0.9563796184526225,1.5731835293023955,1
42,B_blind,UNI_mean,1.0,0.6215641924326072,0.654080700818615,0.06915799820971182,0.03183862340801098,0.17694473307439804,0.009495307482789409,0.19273108509522976,0.9689006983746706,1.9306303407223064,1
42,B_blind,UNI_glob,1.0,0.6024557126165668,0.6572803726277323,0.07068041353363358,0.032262936183919545,0.15719401569861513,0.10173855469772126,0.3167918923641447,0.9468094819207562,1.5854521621213395,2
42,B_full,BASE,,0.6703697677374248,0.7024015290792474,0.05760291960649115,0.027046708812480894,0.16105017875049063,0.011995265475840332,0.11969246898479818,0.9886497248023891,1.4603832882821746,0
42,B_full,SIT,0.05,0.6705723034482671,0.7020634724607911,0.057690592333708275,0.027028110750991752,0.16493646348764524,0.012367992591169706,0.12039140311025685,0.98842143792703,1.4353080297736827,0
42,B_full,Steck-b,0.25,0.6740761254459187,0.7064971568856027,0.05700112368474718,0.02673106991636318,0.15092233962144905,0.016967478883629015,0.13227328324305435,0.9872372171432202,1.5043616621976543,1
42,B_full,UNI_mean,0.05,0.6700518659243501,0.7018553825815943,0.057633013462337984,0.027108536041113428,0.1609263144002499,0.011992747052442963,0.11986720251616285,0.9886947783653115,1.4437136257740997,0
42,B_full,UNI_glob,1.0,0.6714857504644166,0.704830016131557,0.056259628572000765,0.026686992372058967,0.16339234341135417,0.07879233125424799,0.17420933077057488,0.9854201711859369,1.3695026906991778,0
42,B_blind,Steck-a,,0.7335128521308235,0.7709840417991914,0.06974950312896946,0.030714841864764832,,0.0,0.0,0.0,,0
43,B_blind,BASE,,0.6010386490433742,0.6533808625222062,0.07093807372095647,0.03236373627534577,0.1573130107964186,0.011559577781393507,0.1965752227852525,0.964207051381178,1.5731876652969776,2
43,B_blind,SIT,0.25,0.6274892964076387,0.6723981418404968,0.07372165200670713,0.03309324837706871,0.16099790340398804,0.01170312806383996,0.23868600384413768,0.9615574854146522,1.8898866155757594,1
43,B_blind,Steck-b,0.5,0.6301696994723001,0.6809122813890418,0.07142701015770703,0.03182817371447755,0.10823415885982794,0.0188118066879572,0.24497641097326578,0.9563823588127851,1.5717120235156077,1
43,B_blind,UNI_mean,1.0,0.62150004516916,0.6540247860455592,0.06915799820971182,0.03183995011860858,0.17691371741339668,0.009507899616350887,0.19273108509522976,0.9688899596011182,1.941707065261023,1
43,B_blind,UNI_glob,1.0,0.6024557126165668,0.6572803726277323,0.07068041353363358,0.032262936183919545,0.15719401569861513,0.10173855469772126,0.3167918923641447,0.9468094819207562,1.5854521621213395,2
43,B_full,BASE,,0.6718621250245,0.7042970816678409,0.05849415800332092,0.027245175408359346,0.1594382651945598,0.011370695704730198,0.12056613664162152,0.9888700868999862,1.4062006728384724,0
43,B_full,SIT,0.05,0.6720169962134519,0.7038683219551586,0.05817314722256279,0.027166860573960866,0.16334906830817789,0.011766088666849906,0.12161453782980954,0.9886204207561491,1.448762849702342,0
43,B_full,Steck-b,0.25,0.6762587741994999,0.7090880716512203,0.05703669668361873,0.02678909514755874,0.148768089468658,0.016127163896961703,0.131399615586231,0.9874522853965679,1.4525977778167904,0
43,B_full,UNI_mean,0.05,0.6715174246139464,0.703676805678948,0.05858237499692474,0.027241750209020244,0.15939542767495568,0.011362300949460367,0.12004193604752753,0.9889204791926207,1.3960551872346931,0
43,B_full,UNI_glob,1.0,0.6729519109467832,0.7062626531583935,0.05658386139333251,0.026713742109796695,0.16223376954093102,0.08163311638776011,0.17368513017648088,0.9856863487258425,1.342778218251116,0
43,B_blind,Steck-a,,0.7335128521308235,0.7709840417991914,0.06974950312896946,0.030714841864764832,,0.0,0.0,0.0,,0
44,B_blind,BASE,,0.6010386490433742,0.6533808625222062,0.07093807372095647,0.03236373627534577,0.1573130107964186,0.011559577781393507,0.1965752227852525,0.964207051381178,1.8867499195340813,2
44,B_blind,SIT,0.1,0.6082401823289311,0.6604715661889677,0.07192938612029019,0.03259856730178618,0.15478534286943557,0.012025486681199982,0.2138738423903547,0.9629269529025908,2.0357249486897797,2
44,B_blind,Steck-b,0.5,0.630157922345887,0.681246625429548,0.07128006973948665,0.03205912618778148,0.11279860969842452,0.018081462991365534,0.24532587803599512,0.9571969973925625,1.770630584764006,2
44,B_blind,UNI_mean,2.0,0.627768171608272,0.6545708464288675,0.06757789253885248,0.03140528067478022,0.18262117287256727,0.007964104164991383,0.18679014502883104,0.9706186868101983,3.3267166794648686,1
44,B_blind,UNI_glob,1.0,0.6024557126165668,0.6572803726277323,0.07068041353363358,0.032262936183919545,0.15719401569861513,0.10173855469772126,0.3167918923641447,0.9468094819207562,1.8487119918921482,2
44,B_full,BASE,,0.6726224309245583,0.705382445583403,0.057883446216595226,0.027087813998918023,0.15840401376438398,0.012214368598934417,0.11637253188886948,0.9885314885732923,1.96926351951157,1
44,B_full,SIT,0.05,0.6730162323489763,0.7061227018686743,0.057728505146955954,0.0270537611993311,0.1612654850484907,0.013115125800677774,0.1189935348593395,0.9881933628641146,1.8934452209366652,1
44,B_full,Steck-b,0.25,0.6772204395433765,0.7102291954125075,0.05743702239061582,0.026929476861101052,0.14955920208432827,0.017162237201723562,0.1291280796784903,0.987150318007781,1.9017475656164229,1
44,B_full,UNI_mean,0.05,0.6725048942036719,0.7050704196686997,0.057707686222399475,0.02704841043211973,0.15826533523478936,0.012060744579554252,0.11654726542023414,0.9885885256745857,1.9732597371051017,1
44,B_full,UNI_glob,1.0,0.6729379413822276,0.7068829482328446,0.05581221750680407,0.02652230494101118,0.1616077162434812,0.0829343034023583,0.17368513017648088,0.9852733141670844,1.8926824044870376,1
44,B_blind,Steck-a,,0.7335128521308235,0.7709840417991914,0.06974950312896946,0.030714841864764832,,0.0,0.0,0.0,,0
45,B_blind,BASE,,0.6010386490433742,0.6533808625222062,0.07093807372095647,0.03236373627534577,0.1573130107964186,0.011559577781393507,0.1965752227852525,0.964207051381178,1.6821250790604996,1
45,B_blind,SIT,0.25,0.6244229996254242,0.6703256393057363,0.07218719839792224,0.03260765510259799,0.158143333833717,0.011614983150800638,0.23711340206185566,0.9619314150544251,1.400326060997971,0
45,B_blind,Steck-b,0.5,0.6274477617079314,0.677731434539239,0.07126169047820828,0.031884062710979565,0.11330912043431932,0.017271369123807216,0.24445221037917175,0.9576424609645289,1.7543707638112875,1
