seed,backbone,method,kstar,CatMRR,CatNDCG,R20,NDCG20,JS,LT20,Coverage,Gini,lensKLmax,n_sink
42,B_blind,BASE,,0.5730573746544825,0.6192867354668828,0.03148105420956404,0.01453726507012011,0.19268059389803224,0.006616116670894667,0.06731868411025022,0.9868586138487685,1.9088577451194202,1
42,B_blind,SIT,0.25,0.5932134812393514,0.6308047695441114,0.03197933168896793,0.014904137890761466,0.1965921765435425,0.00814062544453171,0.08827638765400737,0.9858141436950232,2.1189557654125237,1
42,B_blind,Steck-b,1.0,0.6146787414729805,0.6630000589646773,0.02969938816998008,0.013381352282725946,0.12244462671749033,0.025148105258701727,0.1218087133240188,0.9791853814207565,2.5976892586187956,1
42,B_blind,UNI_mean,0.05,0.5721191912729277,0.6190173176000277,0.031548165424308765,0.014539954897441117,0.19163417370179506,0.006800247140075541,0.06769973326559126,0.9868086361740358,1.5506175293524422,1
42,B_blind,UNI_glob,1.5,0.5747967317019536,0.627968296048217,0.030307927363337647,0.014122644504233525,0.1896888643920614,0.21317161974264112,0.11520386129810746,0.9777221569640764,1.927195793508187,1
42,B_full,BASE,,0.6400061666753946,0.6756882006498521,0.023391874038805348,0.011267162727518097,0.16591320199905268,0.029105194864180717,0.2592404420170202,0.9779032855424996,1.4518761374549132,0
42,B_full,SIT,0.05,0.6403790657975392,0.6750590739902637,0.023175380033440475,0.01119122174078204,0.16984658639338882,0.02943914577468196,0.2587323764765655,0.9777998662154506,1.500023713816889,1
42,B_full,Steck-b,0.25,0.6431805821500816,0.6784239836073669,0.022606772555131896,0.010915724856341636,0.16237578560053023,0.035779638532922785,0.2724501460688429,0.9756259609846769,1.5161336942639163,1
42,B_full,UNI_mean,0.05,0.6401606612752951,0.676100240132469,0.02343421242974092,0.011286644213680464,0.16547537576890758,0.029364807394944417,0.25911342563190654,0.9778110974865588,1.4510998046764567,0
42,B_full,UNI_glob,0.5,0.6396511522418667,0.6752426121143045,0.023095578689908712,0.011168528442399765,0.16748172038215794,0.07354010898116214,0.3240187984249968,0.973172850677229,1.4268116561892126,0
42,B_blind,Steck-a,,0.6998412040423047,0.7351574439479525,0.0316155922760985,0.014208049464497708,,0.0,0.0,0.0,,0
43,B_blind,BASE,,0.5730573746544825,0.6192867354668828,0.03148105420956404,0.01453726507012011,0.19268059389803224,0.006616116670894667,0.06731868411025022,0.9868586138487685,1.9212558663214587,1
43,B_blind,SIT,0.25,0.5932362135101774,0.6308121582314254,0.03197933168896793,0.014904323487447337,0.19660364174278694,0.00813147610446195,0.08827638765400737,0.985819296808367,2.114614889119276,1
43,B_blind,Steck-b,1.0,0.6146707736171021,0.6629553835662446,0.02969938816998008,0.013359549122479105,0.12253157233400207,0.025093209216749384,0.1218087133240188,0.9792008358217943,2.608790684544994,1
43,B_blind,UNI_mean,0.05,0.5721198994031944,0.6190129711652053,0.031548165424308765,0.014539954897441117,0.19163613985005926,0.006797959805015495,0.06769973326559126,0.9868088552329217,1.5657284718703193,1
43,B_blind,UNI_glob,1.5,0.5747967317019536,0.627968296048217,0.030307927363337647,0.014122644504233525,0.1896888643920614,0.21317161974264112,0.11520386129810746,0.9777221569640764,1.931091842260144,1
43,B_full,BASE,,0.6397061610843316,0.6755069025879908,0.023678485901735682,0.01152575893576686,0.16716079780172916,0.029113200535783146,0.26190778610440746,0.9782689625165173,1.413342690410826,0
43,B_full,SIT,0.05,0.640057276609186,0.6748699305806756,0.023606191932665912,0.011513693488368129,0.17095592076964602,0.029186395262220718,0.26203480248952116,0.9781848552349206,1.4678628975421937,0
43,B_full,Steck-b,0.25,0.6423652368790372,0.6778138786170398,0.0228969039717431,0.011245564438984616,0.1633859585037303,0.03596948734290654,0.27702273593293536,0.9759385681835324,1.4844311575532305,0
43,B_full,UNI_mean,0.05,0.6398954338065702,0.6758916469818635,0.023650666436241453,0.011549579926317553,0.16676104392382668,0.02932363535841017,0.26266988441508954,0.9781838892259074,1.4145870861884067,0
43,B_full,UNI_glob,0.75,0.6394887147867312,0.6757057674622398,0.023017958236277884,0.011275851164872628,0.1691476445711125,0.10850088125114668,0.3528515178458021,0.9700778801114947,1.3616678817482222,0
43,B_blind,Steck-a,,0.6998412040423047,0.7351574439479525,0.0316155922760985,0.014208049464497708,,0.0,0.0,0.0,,0
44,B_blind,BASE,,0.5730573746544825,0.6192867354668828,0.03148105420956404,0.01453726507012011,0.19268059389803224,0.006616116670894667,0.06731868411025022,0.9868586138487685,2.6085899103847865,1
44,B_blind,SIT,0.25,0.5872710813954843,0.6318567301312593,0.031863189438275014,0.014721299697963515,0.1870576285877497,0.009010956435986638,0.08624412549218849,0.9853838803752311,1.255396388640564,0
44,B_blind,Steck-b,1.0,0.6203237781075251,0.6680798198475738,0.03058987418637411,0.013632279626161247,0.11845456283231126,0.02548434352607674,0.12168169693890511,0.9792742388519371,1.7652029105328,1
