city,seed,backbone,group,n_requests,n_cats_supported,macroCatMRR_sit,macroCatMRR_steck,delta,ci_lo,ci_hi,kappa_sit,kappa_steck
ml1m,42,B_blind,ON-PRIOR,28507,6,0.697583,0.72663,-0.029048,-0.045974,-0.013153,0.5,0.05
ml1m,42,B_blind,OFF-PRIOR,68692,18,0.114228,0.096226,0.018002,0.016693,0.019401,0.5,0.05
ml1m,42,EASE,ON-PRIOR,28507,6,0.642734,0.717677,-0.074943,-0.09452,-0.056692,0.1,0.05
ml1m,42,EASE,OFF-PRIOR,68692,18,0.123814,0.106505,0.017309,0.016054,0.018617,0.1,0.05
ml1m,42,AFM,ON-PRIOR,28507,6,0.500143,0.574927,-0.074784,-0.089664,-0.061133,0.25,0.25
ml1m,42,AFM,OFF-PRIOR,68692,18,0.211047,0.193152,0.017895,0.016392,0.019282,0.25,0.25
ml1m,42,SASRec,ON-PRIOR,28507,6,0.688853,0.713045,-0.024191,-0.034293,-0.016186,0.05,0.1
ml1m,42,SASRec,OFF-PRIOR,68692,18,0.336399,0.330947,0.005452,0.003954,0.006999,0.05,0.1
ml1m,43,B_blind,ON-PRIOR,28507,6,0.697591,0.72663,-0.029039,-0.045969,-0.013144,0.5,0.05
ml1m,43,B_blind,OFF-PRIOR,68692,18,0.114231,0.096226,0.018005,0.016703,0.019408,0.5,0.05
ml1m,43,EASE,ON-PRIOR,28507,6,0.64344,0.717677,-0.074236,-0.093991,-0.056126,0.1,0.05
ml1m,43,EASE,OFF-PRIOR,68692,18,0.123782,0.106504,0.017277,0.01603,0.018591,0.1,0.05
ml1m,43,AFM,ON-PRIOR,28507,6,0.500173,0.574928,-0.074755,-0.08963,-0.061107,0.25,0.25
ml1m,43,AFM,OFF-PRIOR,68692,18,0.211038,0.193152,0.017886,0.016389,0.01928,0.25,0.25
ml1m,43,SASRec,ON-PRIOR,28507,6,0.688852,0.713037,-0.024184,-0.034292,-0.016183,0.05,0.1
ml1m,43,SASRec,OFF-PRIOR,68692,18,0.336397,0.330954,0.005442,0.003945,0.007,0.05,0.1
ml1m,44,B_blind,ON-PRIOR,28507,6,0.697587,0.72663,-0.029043,-0.045971,-0.013149,0.5,0.05
ml1m,44,B_blind,OFF-PRIOR,68692,18,0.114227,0.096226,0.018002,0.016693,0.019401,0.5,0.05
ml1m,44,EASE,ON-PRIOR,28507,6,0.643239,0.717677,-0.074438,-0.094188,-0.05634,0.1,0.05
ml1m,44,EASE,OFF-PRIOR,68692,18,0.123802,0.106505,0.017297,0.016047,0.018609,0.1,0.05
ml1m,44,AFM,ON-PRIOR,28507,6,0.500151,0.574932,-0.074782,-0.089664,-0.061132,0.25,0.25
ml1m,44,AFM,OFF-PRIOR,68692,18,0.211048,0.193152,0.017896,0.016394,0.019283,0.25,0.25
ml1m,44,SASRec,ON-PRIOR,28507,6,0.688853,0.713045,-0.024191,-0.034293,-0.016186,0.05,0.1
ml1m,44,SASRec,OFF-PRIOR,68692,18,0.336399,0.330947,0.005452,0.003954,0.006999,0.05,0.1
