city,group,cat,n,share
ml1m,ON-PRIOR,0,10063,0.353
ml1m,ON-PRIOR,1,8,0.00028
ml1m,ON-PRIOR,2,75,0.00263
ml1m,ON-PRIOR,3,4,0.00014
ml1m,ON-PRIOR,4,12044,0.42249
ml1m,ON-PRIOR,5,33,0.00116
ml1m,ON-PRIOR,6,6,0.00021
ml1m,ON-PRIOR,7,5916,0.20753
ml1m,ON-PRIOR,8,0,0.0
ml1m,ON-PRIOR,9,7,0.00025
ml1m,ON-PRIOR,10,343,0.01203
ml1m,ON-PRIOR,11,5,0.00018
ml1m,ON-PRIOR,12,1,4e-05
ml1m,ON-PRIOR,13,0,0.0
ml1m,ON-PRIOR,14,2,7e-05
ml1m,ON-PRIOR,15,0,0.0
ml1m,ON-PRIOR,16,0,0.0
ml1m,ON-PRIOR,17,0,0.0
ml1m,OFF-PRIOR,0,11849,0.17249
ml1m,OFF-PRIOR,1,4357,0.06343
ml1m,OFF-PRIOR,2,3469,0.0505
ml1m,OFF-PRIOR,3,2386,0.03473
ml1m,OFF-PRIOR,4,14857,0.21628
ml1m,OFF-PRIOR,5,3271,0.04762
ml1m,OFF-PRIOR,6,807,0.01175
ml1m,OFF-PRIOR,7,15113,0.22001
ml1m,OFF-PRIOR,8,88,0.00128
ml1m,OFF-PRIOR,9,715,0.01041
ml1m,OFF-PRIOR,10,4669,0.06797
ml1m,OFF-PRIOR,11,889,0.01294
ml1m,OFF-PRIOR,12,1183,0.01722
ml1m,OFF-PRIOR,13,388,0.00565
ml1m,OFF-PRIOR,14,1200,0.01747
ml1m,OFF-PRIOR,15,2431,0.03539
ml1m,OFF-PRIOR,16,160,0.00233
ml1m,OFF-PRIOR,17,860,0.01252
ml1m,ALL,0,21912,0.22543
ml1m,ALL,1,4365,0.04491
ml1m,ALL,2,3544,0.03646
ml1m,ALL,3,2390,0.02459
ml1m,ALL,4,26901,0.27676
ml1m,ALL,5,3304,0.03399
ml1m,ALL,6,813,0.00836
ml1m,ALL,7,21029,0.21635
ml1m,ALL,8,88,0.00091
ml1m,ALL,9,722,0.00743
ml1m,ALL,10,5012,0.05156
ml1m,ALL,11,894,0.0092
ml1m,ALL,12,1184,0.01218
ml1m,ALL,13,388,0.00399
ml1m,ALL,14,1202,0.01237
ml1m,ALL,15,2431,0.02501
ml1m,ALL,16,160,0.00165
ml1m,ALL,17,860,0.00885
nyc_tist,ON-PRIOR,0,413,0.06454
nyc_tist,ON-PRIOR,1,33,0.00516
nyc_tist,ON-PRIOR,2,2406,0.376
nyc_tist,ON-PRIOR,3,972,0.1519
nyc_tist,ON-PRIOR,4,3,0.00047
nyc_tist,ON-PRIOR,5,514,0.08033
nyc_tist,ON-PRIOR,6,122,0.01907
nyc_tist,ON-PRIOR,7,0,0.0
nyc_tist,ON-PRIOR,8,759,0.11861
nyc_tist,ON-PRIOR,9,1177,0.18393
nyc_tist,OFF-PRIOR,0,1676,0.14828
nyc_tist,OFF-PRIOR,1,173,0.01531
nyc_tist,OFF-PRIOR,2,2270,0.20083
nyc_tist,OFF-PRIOR,3,1723,0.15244
nyc_tist,OFF-PRIOR,4,169,0.01495
nyc_tist,OFF-PRIOR,5,986,0.08723
nyc_tist,OFF-PRIOR,6,690,0.06105
nyc_tist,OFF-PRIOR,7,7,0.00062
