dataset,check,block,key,subkey,metric,value,n,low_support
ml1m,A,variance_components,user,,eta2,0.3079636806330523,97199,0
ml1m,A,variance_components,user,,icc,0.26219410483374295,97199,0
ml1m,A,variance_components,user,,sigma2_between,0.04284835765287268,97199,0
ml1m,A,variance_components,user,,sigma2_resid,0.12057391944234574,97199,0
ml1m,A,variance_components,user,,G,6040.0,97199,0
ml1m,A,variance_components,user,,n0,16.088753172929476,97199,0
ml1m,A,variance_components,situation,,eta2,0.0304316590701979,97199,0
ml1m,A,variance_components,situation,,icc,0.03947150140954913,97199,0
ml1m,A,variance_components,situation,,sigma2_between,0.006510830738803909,97199,0
ml1m,A,variance_components,situation,,sigma2_resid,0.15843933599665194,97199,0
ml1m,A,variance_components,situation,,G,5.0,97199,0
ml1m,A,variance_components,situation,,n0,18534.609918826325,97199,0
ml1m,A,variance_components,twoway,,ss_user_first,0.3079636806330523,97199,0
ml1m,A,variance_components,twoway,,ss_sit_given_user,0.0011884429124787421,97199,0
ml1m,A,variance_components,twoway,,ss_sit_first,0.0304316590701979,97199,0
ml1m,A,variance_components,twoway,,ss_user_given_sit,0.27872046447533316,97199,0
ml1m,A,variance_components,twoway,,ss_resid,0.690847876454469,97199,0
ml1m,A,variance_components,twoway,,K,5.0,97199,0
ml1m,A,user_spread,share_users_multi_situation,,value,0.44056291390728475,6040,0
ml1m,A,user_spread,spread_p25,,value,0.08918269230769227,2661,0
ml1m,A,user_spread,spread_median,,value,0.21052631578947367,2661,0
ml1m,A,user_spread,spread_p75,,value,0.4005602240896359,2661,0
ml1m,A,user_spread,spread_mean,,value,0.2786911904071903,2661,0
ml1m,A,user_spread,n_users_test,,value,6040.0,6040,0
ml1m,A,user_spread,n_users_multi,,value,2661.0,2661,0
ml1m,A,segment_matrix,activity_quintile,Q1,sit_0,0.4866256820761327,787,0
ml1m,A,segment_matrix,activity_quintile,Q1,sit_1,0.3497891711958098,488,0
ml1m,A,segment_matrix,activity_quintile,Q1,sit_2,0.6068973325714003,402,0
ml1m,A,segment_matrix,activity_quintile,Q1,sit_3,0.46589322900468405,285,0
ml1m,A,segment_matrix,activity_quintile,Q1,sit_4,0.41128989287040707,741,0
ml1m,A,segment_matrix,activity_quintile,Q2,sit_0,0.474673079906836,1873,0
ml1m,A,segment_matrix,activity_quintile,Q2,sit_1,0.34108474676681116,1043,0
ml1m,A,segment_matrix,activity_quintile,Q2,sit_2,0.6653212366127278,854,0
ml1m,A,segment_matrix,activity_quintile,Q2,sit_3,0.38983266042110376,558,0
ml1m,A,segment_matrix,activity_quintile,Q2,sit_4,0.39189091654784297,1378,0
ml1m,A,segment_matrix,activity_quintile,Q3,sit_0,0.44629695166230426,3596,0
ml1m,A,segment_matrix,activity_quintile,Q3,sit_1,0.3207337934018585,2084,0
ml1m,A,segment_matrix,activity_quintile,Q3,sit_2,0.6173343843152009,1975,0
ml1m,A,segment_matrix,activity_quintile,Q3,sit_3,0.4046861384481462,1031,0
ml1m,A,segment_matrix,activity_quintile,Q3,sit_4,0.368536550765345,2438,0
ml1m,A,segment_matrix,activity_quintile,Q4,sit_0,0.3836088146918072,6747,0
ml1m,A,segment_matrix,activity_quintile,Q4,sit_1,0.3103977985128513,3980,0
ml1m,A,segment_matrix,activity_quintile,Q4,sit_2,0.5556593340667678,3556,0
ml1m,A,segment_matrix,activity_quintile,Q4,sit_3,0.3844146499718316,2060,0
ml1m,A,segment_matrix,activity_quintile,Q4,sit_4,0.35560930732320417,4657,0
ml1m,A,segment_matrix,activity_quintile,Q5,sit_0,0.4013053259538881,18816,0
ml1m,A,segment_matrix,activity_quintile,Q5,sit_1,0.27892302168724253,10340,0
ml1m,A,segment_matrix,activity_quintile,Q5,sit_2,0.4684970198572687,6027,0
ml1m,A,segment_matrix,activity_quintile,Q5,sit_3,0.36669882094919115,4911,0
ml1m,A,segment_matrix,activity_quintile,Q5,sit_4,0.3306850081001168,16572,0
ml1m,A,worst_situation,activity_quintile,Q1,worst_sit_k,1.0,2703,0
ml1m,A,worst_situation,activity_quintile,Q2,worst_sit_k,1.0,5706,0
ml1m,A,worst_situation,activity_quintile,Q3,worst_sit_k,1.0,11124,0
ml1m,A,worst_situation,activity_quintile,Q4,worst_sit_k,1.0,21000,0
ml1m,A,worst_situation,activity_quintile,Q5,worst_sit_k,1.0,56666,0
ml1m,A,segment_matrix,ugf,inactive,sit_0,0.41344982424732457,24164,0
ml1m,A,segment_matrix,ugf,inactive,sit_1,0.30015777078347955,13255,0
ml1m,A,segment_matrix,ugf,inactive,sit_2,0.5668396377878185,11110,0
ml1m,A,segment_matrix,ugf,inactive,sit_3,0.3888529492779025,6820,0
ml1m,A,segment_matrix,ugf,inactive,sit_4,0.34921754921598736,18113,0
ml1m,A,segment_matrix,ugf,active,sit_0,0.3952304456432002,7655,0
ml1m,A,segment_matrix,ugf,active,sit_1,0.28540892360321096,4680,0
ml1m,A,segment_matrix,ugf,active,sit_2,0.31300482839320154,1704,0
ml1m,A,segment_matrix,ugf,active,sit_3,0.3497839891701261,2025,0
ml1m,A,segment_matrix,ugf,active,sit_4,0.3328672792748505,7673,0
ml1m,A,worst_situation,ugf,inactive,worst_sit_k,1.0,73462,0
ml1m,A,worst_situation,ugf,active,worst_sit_k,1.0,23737,0
