dataset,check,block,key,subkey,metric,value,n,low_support
nyc_tist,A,variance_components,user,,eta2,0.3998978337910813,17702,0
nyc_tist,A,variance_components,user,,icc,0.21837030679531927,17702,0
nyc_tist,A,variance_components,user,,sigma2_between,0.03496088213374361,17702,0
nyc_tist,A,variance_components,user,,sigma2_resid,0.1251381837457251,17702,0
nyc_tist,A,variance_components,user,,G,4113.0,17702,0
nyc_tist,A,variance_components,user,,n0,4.303154318336384,17702,0
nyc_tist,A,variance_components,situation,,eta2,0.018500906429016452,17702,0
nyc_tist,A,variance_components,situation,,icc,0.02139397105304013,17702,0
nyc_tist,A,variance_components,situation,,sigma2_between,0.00343636706730222,17702,0
nyc_tist,A,variance_components,situation,,sigma2_resid,0.15718678507134223,17702,0
nyc_tist,A,variance_components,situation,,G,8.0,17702,0
nyc_tist,A,variance_components,situation,,n0,2133.7111706506125,17702,0
nyc_tist,A,variance_components,twoway,,ss_user_first,0.3998978337910813,17702,0
nyc_tist,A,variance_components,twoway,,ss_sit_given_user,0.00026839137057957943,17702,0
nyc_tist,A,variance_components,twoway,,ss_sit_first,0.018500906429016452,17702,0
nyc_tist,A,variance_components,twoway,,ss_user_given_sit,0.3816653187326445,17702,0
nyc_tist,A,variance_components,twoway,,ss_resid,0.5998337748383391,17702,0
nyc_tist,A,variance_components,twoway,,K,8.0,17702,0
nyc_tist,A,user_spread,share_users_multi_situation,,value,0.07561390712375395,4113,0
nyc_tist,A,user_spread,spread_p25,,value,0.062094155844155834,311,0
nyc_tist,A,user_spread,spread_median,,value,0.17222222222222222,311,0
nyc_tist,A,user_spread,spread_p75,,value,0.4,311,0
nyc_tist,A,user_spread,spread_mean,,value,0.27252866128057734,311,0
nyc_tist,A,user_spread,n_users_test,,value,4113.0,4113,0
nyc_tist,A,user_spread,n_users_multi,,value,311.0,311,0
nyc_tist,A,segment_matrix,activity_quintile,Q1,sit_0,0.27768139738338954,191,0
nyc_tist,A,segment_matrix,activity_quintile,Q1,sit_1,0.2508537751938613,230,0
nyc_tist,A,segment_matrix,activity_quintile,Q1,sit_2,0.48231074481074476,52,0
nyc_tist,A,segment_matrix,activity_quintile,Q1,sit_3,0.33352739500191925,293,0
nyc_tist,A,segment_matrix,activity_quintile,Q1,sit_4,0.479320987654321,18,1
nyc_tist,A,segment_matrix,activity_quintile,Q1,sit_5,0.319311237002194,134,0
nyc_tist,A,segment_matrix,activity_quintile,Q1,sit_6,0.29668317589220045,201,0
nyc_tist,A,segment_matrix,activity_quintile,Q1,sit_7,0.3113705336913961,249,0
nyc_tist,A,segment_matrix,activity_quintile,Q2,sit_0,0.28802014668152,263,0
nyc_tist,A,segment_matrix,activity_quintile,Q2,sit_1,0.31866545131186513,252,0
nyc_tist,A,segment_matrix,activity_quintile,Q2,sit_2,0.4440828351542637,126,0
nyc_tist,A,segment_matrix,activity_quintile,Q2,sit_3,0.30322346829393726,392,0
nyc_tist,A,segment_matrix,activity_quintile,Q2,sit_4,0.49545376121463075,46,0
nyc_tist,A,segment_matrix,activity_quintile,Q2,sit_5,0.4304512692498121,184,0
nyc_tist,A,segment_matrix,activity_quintile,Q2,sit_6,0.28933226300468773,220,0
nyc_tist,A,segment_matrix,activity_quintile,Q2,sit_7,0.2748642319017858,381,0
nyc_tist,A,segment_matrix,activity_quintile,Q3,sit_0,0.26146115256347335,393,0
nyc_tist,A,segment_matrix,activity_quintile,Q3,sit_1,0.3055864276148443,476,0
nyc_tist,A,segment_matrix,activity_quintile,Q3,sit_2,0.3995285696074144,166,0
