dataset,check,block,key,subkey,metric,value,n,low_support
saopaulo,A,variance_components,user,,eta2,0.3647720930479102,23821,0
saopaulo,A,variance_components,user,,icc,0.2211526340973813,23821,0
saopaulo,A,variance_components,user,,sigma2_between,0.03912345385587387,23821,0
saopaulo,A,variance_components,user,,sigma2_resid,0.13778356791917054,23821,0
saopaulo,A,variance_components,user,,G,4395.0,23821,0
saopaulo,A,variance_components,user,,n0,5.41902016245921,23821,0
saopaulo,A,variance_components,situation,,eta2,0.03906612896109928,23821,0
saopaulo,A,variance_components,situation,,icc,0.05588886942261827,23821,0
saopaulo,A,variance_components,situation,,sigma2_between,0.010063751243604424,23821,0
saopaulo,A,variance_components,situation,,sigma2_resid,0.1700034311412233,23821,0
saopaulo,A,variance_components,situation,,G,4.0,23821,0
saopaulo,A,variance_components,situation,,n0,5435.290961756434,23821,0
saopaulo,A,variance_components,twoway,,ss_user_first,0.3647720930479102,23821,0
saopaulo,A,variance_components,twoway,,ss_sit_given_user,0.0013620357026889723,23821,0
saopaulo,A,variance_components,twoway,,ss_sit_first,0.03906612896109928,23821,0
saopaulo,A,variance_components,twoway,,ss_user_given_sit,0.3270679997894999,23821,0
saopaulo,A,variance_components,twoway,,ss_resid,0.6338658712494009,23821,0
saopaulo,A,variance_components,twoway,,K,4.0,23821,0
saopaulo,A,user_spread,share_users_multi_situation,,value,0.326962457337884,4395,0
saopaulo,A,user_spread,spread_p25,,value,0.0849339735894358,1437,0
saopaulo,A,user_spread,spread_median,,value,0.2462962962962963,1437,0
saopaulo,A,user_spread,spread_p75,,value,0.45,1437,0
saopaulo,A,user_spread,spread_mean,,value,0.30570024618405933,1437,0
saopaulo,A,user_spread,n_users_test,,value,4395.0,4395,0
saopaulo,A,user_spread,n_users_multi,,value,1437.0,1437,0
saopaulo,A,segment_matrix,activity_quintile,Q1,sit_0,0.43532140228969335,343,0
saopaulo,A,segment_matrix,activity_quintile,Q1,sit_1,0.29383745603647277,301,0
saopaulo,A,segment_matrix,activity_quintile,Q1,sit_2,0.3431298965898332,882,0
saopaulo,A,segment_matrix,activity_quintile,Q1,sit_3,0.4012855978602635,141,0
saopaulo,A,segment_matrix,activity_quintile,Q2,sit_0,0.4665453334286294,522,0
saopaulo,A,segment_matrix,activity_quintile,Q2,sit_1,0.3310690785460024,377,0
saopaulo,A,segment_matrix,activity_quintile,Q2,sit_2,0.3395092541007641,1412,0
saopaulo,A,segment_matrix,activity_quintile,Q2,sit_3,0.34387025956177464,256,0
saopaulo,A,segment_matrix,activity_quintile,Q3,sit_0,0.4144189113054129,625,0
saopaulo,A,segment_matrix,activity_quintile,Q3,sit_1,0.2921785182133143,621,0
saopaulo,A,segment_matrix,activity_quintile,Q3,sit_2,0.34689812430956657,1800,0
saopaulo,A,segment_matrix,activity_quintile,Q3,sit_3,0.25163066994567534,308,0
saopaulo,A,segment_matrix,activity_quintile,Q4,sit_0,0.45625968253376153,1054,0
saopaulo,A,segment_matrix,activity_quintile,Q4,sit_1,0.32343909289321454,946,0
saopaulo,A,segment_matrix,activity_quintile,Q4,sit_2,0.3699100440285138,2653,0
saopaulo,A,segment_matrix,activity_quintile,Q4,sit_3,0.27729204427346843,555,0
saopaulo,A,segment_matrix,activity_quintile,Q5,sit_0,0.591704738296024,3905,0
saopaulo,A,segment_matrix,activity_quintile,Q5,sit_1,0.3698623192669308,2071,0
saopaulo,A,segment_matrix,activity_quintile,Q5,sit_2,0.3845143779008423,3878,0
saopaulo,A,segment_matrix,activity_quintile,Q5,sit_3,0.3194382447362422,1171,0
saopaulo,A,worst_situation,activity_quintile,Q1,worst_sit_k,1.0,1667,0
saopaulo,A,worst_situation,activity_quintile,Q2,worst_sit_k,1.0,2567,0
saopaulo,A,worst_situation,activity_quintile,Q3,worst_sit_k,3.0,3354,0
saopaulo,A,worst_situation,activity_quintile,Q4,worst_sit_k,3.0,5208,0
saopaulo,A,worst_situation,activity_quintile,Q5,worst_sit_k,3.0,11025,0
saopaulo,A,segment_matrix,ugf,inactive,sit_0,0.4788977773362811,4323,0
saopaulo,A,segment_matrix,ugf,inactive,sit_1,0.32734301497181484,3434,0
saopaulo,A,segment_matrix,ugf,inactive,sit_2,0.3608745094935037,9339,0
saopaulo,A,segment_matrix,ugf,inactive,sit_3,0.2964609807913295,2006,0
saopaulo,A,segment_matrix,ugf,active,sit_0,0.6458576395168427,2126,0
saopaulo,A,segment_matrix,ugf,active,sit_1,0.3883937736449794,882,0
saopaulo,A,segment_matrix,ugf,active,sit_2,0.39561066834137987,1286,0
saopaulo,A,segment_matrix,ugf,active,sit_3,0.36558316183502854,425,0
saopaulo,A,worst_situation,ugf,inactive,worst_sit_k,3.0,19102,0
saopaulo,A,worst_situation,ugf,active,worst_sit_k,3.0,4719,0
