dataset,check,block,key,subkey,metric,value,n,low_support
ml1m,B,redundancy,r2_p25,,value,0.011723913427079902,97199,0
ml1m,B,redundancy,r2_median,,value,0.05654450631430504,97199,0
ml1m,B,redundancy,r2_p75,,value,0.15898230830135496,97199,0
ml1m,B,redundancy,r2_pooled,,value,0.003862714560667663,97199,0
ml1m,B,redundancy,cos_p25,,value,-0.16372710733812806,97199,0
ml1m,B,redundancy,cos_median,,value,0.05147505464116043,97199,0
ml1m,B,redundancy,cos_p75,,value,0.30236954869726934,97199,0
ml1m,B,redundancy,n_macros,,value,18.0,97199,0
ml1m,B,flip_rate,flip_argmax_sit_vs_user,,value,0.9185794092531816,97199,0
ml1m,B,flip_rate,flip_top1_cat_sit_vs_base,,value,0.32501363182748794,97199,0
ml1m,B,identifiability,r2_nudge_true_on_ctx,,value,0.031849103225233155,97199,0
ml1m,B,identifiability,n_ctx_cols,,value,5.0,97199,0
ml1m,B,identifiability,r2_nudge_norm_on_ctx,,value,0.003143400880720737,97199,0
ml1m,B,identifiability,pearson_ctx_vs_nudge_norm,c0,value,0.01572905121544856,97199,0
ml1m,B,identifiability,pearson_ctx_vs_nudge_norm,c1,value,0.0024380109092606386,97199,0
ml1m,B,identifiability,pearson_ctx_vs_nudge_norm,c2,value,-0.01546907754297565,97199,0
ml1m,B,identifiability,pearson_ctx_vs_nudge_norm,c3,value,0.04182125004707137,97199,0
ml1m,B,identifiability,pearson_ctx_vs_nudge_norm,c4,value,-0.02988595893012121,97199,0
