dataset,check,block,key,subkey,metric,value,n,low_support
nyc_tist,B,redundancy,r2_p25,,value,0.02115843426095807,17702,0
nyc_tist,B,redundancy,r2_median,,value,0.09986588643338919,17702,0
nyc_tist,B,redundancy,r2_p75,,value,0.2765944883355483,17702,0
nyc_tist,B,redundancy,r2_pooled,,value,0.04162881799457581,17702,0
nyc_tist,B,redundancy,cos_p25,,value,-0.062146062259750987,17702,0
nyc_tist,B,redundancy,cos_median,,value,0.21232026422479267,17702,0
nyc_tist,B,redundancy,cos_p75,,value,0.5063263138249975,17702,0
nyc_tist,B,redundancy,n_macros,,value,10.0,17702,0
nyc_tist,B,flip_rate,flip_argmax_sit_vs_user,,value,0.7352841486837646,17702,0
nyc_tist,B,flip_rate,flip_top1_cat_sit_vs_base,,value,0.5179640718562875,17702,0
nyc_tist,B,identifiability,r2_nudge_true_on_ctx,,value,0.009353589160715603,17702,0
nyc_tist,B,identifiability,n_ctx_cols,,value,6.0,17702,0
nyc_tist,B,identifiability,r2_nudge_norm_on_ctx,,value,0.020199246900811763,17702,0
nyc_tist,B,identifiability,pearson_ctx_vs_nudge_norm,c0,value,-0.12679815231712502,17702,0
nyc_tist,B,identifiability,pearson_ctx_vs_nudge_norm,c1,value,-0.008973780240729189,17702,0
nyc_tist,B,identifiability,pearson_ctx_vs_nudge_norm,c2,value,-0.009145253245590337,17702,0
nyc_tist,B,identifiability,pearson_ctx_vs_nudge_norm,c3,value,0.011922032990012522,17702,0
nyc_tist,B,identifiability,pearson_ctx_vs_nudge_norm,c4,value,-0.04302081166465631,17702,0
nyc_tist,B,identifiability,pearson_ctx_vs_nudge_norm,c5,value,-0.04803486099048364,17702,0
