dataset,check,block,key,subkey,metric,value,n,low_support
saopaulo,B,redundancy,r2_p25,,value,0.0246484651591331,23821,0
saopaulo,B,redundancy,r2_median,,value,0.09891770727565015,23821,0
saopaulo,B,redundancy,r2_p75,,value,0.25632385401935,23821,0
saopaulo,B,redundancy,r2_pooled,,value,0.03483254182020663,23821,0
saopaulo,B,redundancy,cos_p25,,value,-0.08423412826798772,23821,0
saopaulo,B,redundancy,cos_median,,value,0.20650976104500748,23821,0
saopaulo,B,redundancy,cos_p75,,value,0.4486119905855415,23821,0
saopaulo,B,redundancy,n_macros,,value,10.0,23821,0
saopaulo,B,flip_rate,flip_argmax_sit_vs_user,,value,0.7709164182863859,23821,0
saopaulo,B,flip_rate,flip_top1_cat_sit_vs_base,,value,0.29129759455942233,23821,0
saopaulo,B,identifiability,r2_nudge_true_on_ctx,,value,0.07528304183411005,23821,0
saopaulo,B,identifiability,n_ctx_cols,,value,6.0,23821,0
saopaulo,B,identifiability,r2_nudge_norm_on_ctx,,value,0.009986807908885953,23821,0
saopaulo,B,identifiability,pearson_ctx_vs_nudge_norm,c0,value,-0.027762019002520098,23821,0
saopaulo,B,identifiability,pearson_ctx_vs_nudge_norm,c1,value,-0.005074525999280976,23821,0
saopaulo,B,identifiability,pearson_ctx_vs_nudge_norm,c2,value,-0.009497368103303589,23821,0
saopaulo,B,identifiability,pearson_ctx_vs_nudge_norm,c3,value,-0.006772408931553114,23821,0
saopaulo,B,identifiability,pearson_ctx_vs_nudge_norm,c4,value,-0.054747911049369206,23821,0
saopaulo,B,identifiability,pearson_ctx_vs_nudge_norm,c5,value,-0.09039028752271758,23821,0
