dataset,check,block,key,subkey,metric,value,n,low_support
ml1m,C,sequence,entropy_norm,p25,value,0.0,4293,0
ml1m,C,sequence,entropy_norm,median,value,0.0,4293,0
ml1m,C,sequence,entropy_norm,p75,value,0.36407283174867,4293,0
ml1m,C,sequence,entropy_norm,mean,value,0.17668486821246857,4293,0
ml1m,C,sequence,dominant_share,p25,value,0.75,4293,0
ml1m,C,sequence,dominant_share,median,value,1.0,4293,0
ml1m,C,sequence,dominant_share,p75,value,1.0,4293,0
ml1m,C,sequence,dominant_share,mean,value,0.8669004227957149,4293,0
ml1m,C,sequence,n_distinct_sit,p25,value,1.0,4293,0
ml1m,C,sequence,n_distinct_sit,median,value,1.0,4293,0
ml1m,C,sequence,n_distinct_sit,p75,value,2.0,4293,0
ml1m,C,sequence,n_distinct_sit,mean,value,1.6154204518984394,4293,0
ml1m,C,sequence,share_users_dominant_gt80,,value,0.6836710924761239,4293,0
ml1m,C,sequence,n_users_ge5_req,,value,4293.0,4293,0
ml1m,C,sequence,K,,value,5.0,4293,0
ml1m,C,persistence,P_same_situation_t_to_t1_TEST,,value,0.8450558567158751,87993,0
ml1m,C,persistence,diag_weighted_TRAIN_reference,,value,0.6811161946110557,5,0
ml1m,C,persistence,diag_TRAIN,sit_0,value,0.799,31819,0
ml1m,C,persistence,diag_TRAIN,sit_1,value,0.484,17935,0
ml1m,C,persistence,diag_TRAIN,sit_2,value,0.824,12814,0
ml1m,C,persistence,diag_TRAIN,sit_3,value,0.246,8845,0
ml1m,C,persistence,diag_TRAIN,sit_4,value,0.751,25786,0
ml1m,C,demographics,n_users_reconstructed,,value,6040.0,6040,0
ml1m,C,demographics,gender_majority_baseline,M,value,0.7170529801324503,6040,0
ml1m,C,demographics,gender_n_classes,,value,2.0,6040,0
ml1m,C,demographics,gender_distribution,M,share,0.7170529801324503,4331,0
ml1m,C,demographics,gender_distribution,F,share,0.28294701986754967,1709,0
ml1m,C,demographics,age_majority_baseline,25,value,0.34701986754966885,6040,0
ml1m,C,demographics,age_n_classes,,value,7.0,6040,0
ml1m,C,demographics,age_distribution,25,share,0.34701986754966885,2096,0
ml1m,C,demographics,age_distribution,35,share,0.19751655629139073,1193,0
ml1m,C,demographics,age_distribution,18,share,0.1826158940397351,1103,0
ml1m,C,demographics,age_distribution,45,share,0.09105960264900662,550,0
ml1m,C,demographics,age_distribution,50,share,0.08211920529801324,496,0
ml1m,C,demographics,age_distribution,56,share,0.06291390728476821,380,0
ml1m,C,demographics,age_distribution,1,share,0.036754966887417216,222,0
ml1m,C,demographics,occupation_majority_baseline,4,value,0.12566225165562914,6040,0
ml1m,C,demographics,occupation_n_classes,,value,21.0,6040,0
ml1m,C,demographics,occupation_distribution,4,share,0.12566225165562914,759,0
ml1m,C,demographics,occupation_distribution,0,share,0.11771523178807947,711,0
ml1m,C,demographics,occupation_distribution,7,share,0.11241721854304636,679,0
ml1m,C,demographics,occupation_distribution,1,share,0.08741721854304636,528,0
ml1m,C,demographics,occupation_distribution,17,share,0.08311258278145696,502,0
ml1m,C,demographics,occupation_distribution,12,share,0.06423841059602649,388,0
ml1m,C,demographics,occupation_distribution,14,share,0.05,302,0
ml1m,C,demographics,occupation_distribution,20,share,0.04652317880794702,281,0
ml1m,C,demographics,occupation_distribution,2,share,0.044205298013245034,267,0
ml1m,C,demographics,occupation_distribution,16,share,0.03990066225165563,241,0
ml1m,C,demographics,occupation_distribution,6,share,0.0390728476821192,236,0
ml1m,C,demographics,occupation_distribution,10,share,0.03228476821192053,195,0
ml1m,C,demographics,occupation_distribution,3,share,0.028642384105960265,173,0
ml1m,C,demographics,occupation_distribution,15,share,0.02384105960264901,144,0
ml1m,C,demographics,occupation_distribution,13,share,0.023509933774834436,142,0
ml1m,C,demographics,occupation_distribution,11,share,0.021357615894039735,129,0
ml1m,C,demographics,occupation_distribution,5,share,0.018543046357615896,112,0
ml1m,C,demographics,occupation_distribution,9,share,0.015231788079470199,92,0
ml1m,C,demographics,occupation_distribution,19,share,0.011920529801324504,72,0
ml1m,C,demographics,occupation_distribution,18,share,0.011589403973509934,70,0
ml1m,C,demographics,occupation_distribution,8,share,0.002814569536423841,17,0
