dataset,n,seed,arm,kappa,K,eps,n_req,n_users,macroCatMRR,CatMRR,HR20,NDCG20
ml1m,1,42,BASE,0.1,6,0.05,97199,6040,0.1776342480446745,0.3984158353555516,0.0852786551301968,0.03523315505687859
ml1m,1,42,PRIOR,0.1,6,0.05,97199,6040,0.10121230170665146,0.07364696371188255,0.01967098426938549,0.010415153647967768
ml1m,1,42,SIT,0.1,6,0.05,97199,6040,0.13021749392621143,0.25375092213280365,0.05716108190413482,0.02485268969415856
ml1m,1,42,PERM,0.1,6,0.05,97199,6040,0.06997578995189513,0.1453029276265973,0.029845986069815533,0.013555369544482184
ml1m,1,43,BASE,0.1,6,0.05,97199,6040,0.1776342480446745,0.3984158353555516,0.0852786551301968,0.03523315505687859
ml1m,1,43,PRIOR,0.1,6,0.05,97199,6040,0.14062834742226393,0.1632798226824774,0.04293254045823517,0.02036479270358766
ml1m,1,43,SIT,0.1,6,0.05,97199,6040,0.1373926861658498,0.24884511701408396,0.05739770985298202,0.024905767371023253
ml1m,1,43,PERM,0.1,6,0.05,97199,6040,0.07582184805860119,0.13377334471413171,0.027634029156678567,0.012431096590309726
ml1m,1,44,BASE,0.1,6,0.05,97199,6040,0.1776342480446745,0.3984158353555516,0.0852786551301968,0.03523315505687859
ml1m,1,44,PRIOR,0.1,6,0.05,97199,6040,0.10469521185059402,0.059980455215738145,0.017613349931583658,0.00940478795140852
ml1m,1,44,SIT,0.1,6,0.05,97199,6040,0.12814384101330367,0.24121983954054996,0.05217131863496538,0.022847300162105375
ml1m,1,44,PERM,0.1,6,0.05,97199,6040,0.0774737005246833,0.13098773946024633,0.027644317328367574,0.012431080223658403
ml1m,1,45,BASE,0.1,6,0.05,97199,6040,0.1776342480446745,0.3984158353555516,0.0852786551301968,0.03523315505687859
ml1m,1,45,PRIOR,0.1,6,0.05,97199,6040,0.16220700976801358,0.17800947608044312,0.04361155978970977,0.02049828784520735
ml1m,1,45,SIT,0.1,6,0.05,97199,6040,0.13276481219955044,0.2538695576357726,0.058776324859309254,0.02523308004351094
ml1m,1,45,PERM,0.1,6,0.05,97199,6040,0.07154273130394889,0.14635797386237565,0.029341865657054086,0.013103545880114177
ml1m,1,46,BASE,0.1,6,0.05,97199,6040,0.1776342480446745,0.3984158353555516,0.0852786551301968,0.03523315505687859
ml1m,1,46,PRIOR,0.1,6,0.05,97199,6040,0.13198684294797627,0.11536793612303528,0.03386866120021811,0.0164461162530967
ml1m,1,46,SIT,0.1,6,0.05,97199,6040,0.12378215981987174,0.25131337279967075,0.05272687990617187,0.02289389544507928
ml1m,1,46,PERM,0.1,6,0.05,97199,6040,0.07504666533607512,0.14313654188563,0.027520859268099464,0.012418472331523725
