dataset,n,seed,arm,kappa_reselected,val_CatMRR,macroCatMRR,CatMRR,HR20,NDCG20
ml1m,1,42,SIT,0.05,0.30829,0.13853564668736962,0.29569864110420563,0.06500066873115978,0.028114327502077322
ml1m,1,42,PRIOR,0.05,0.19316,0.1468220651101778,0.17891062097706661,0.0402679039907818,0.019583635358115394
ml1m,1,43,SIT,0.05,0.29997,0.14288130796169335,0.2893889908549239,0.06391012253212482,0.027576407752613826
ml1m,1,43,PRIOR,0.05,0.27572,0.16854353646106135,0.2569967994860543,0.061759894649121905,0.027375280259188117
ml1m,1,44,SIT,0.05,0.2956,0.14038952813098468,0.2854674405544832,0.061698165618987846,0.02669978695548277
ml1m,1,44,PRIOR,0.05,0.16575,0.14388452692401396,0.15115286343326073,0.034619697733515774,0.017238298063881746
ml1m,1,45,SIT,0.05,0.30888,0.14107327634681716,0.2905597318803651,0.06423934402617311,0.02758829981354363
ml1m,1,45,PRIOR,0.05,0.29696,0.17778515215341023,0.27663223757038763,0.06424963219786212,0.028199054136273844
ml1m,1,46,SIT,0.05,0.30471,0.13897677538179465,0.29189124110189707,0.06036070329941666,0.026273452160157335
ml1m,1,46,PRIOR,0.05,0.23894,0.16070845167118336,0.22136112194359128,0.05252111647239169,0.024125140256975586
ml1m,2,42,SIT,0.05,0.38102,0.1417145073779517,0.35507100943046255,0.08545355404890997,0.03625429343291714
ml1m,2,42,PRIOR,0.05,0.40224,0.1940468236960177,0.37192591529135643,0.09480550211421929,0.039734498596530186
ml1m,2,43,SIT,0.05,0.38102,0.1417145073779517,0.35507100943046255,0.08545355404890997,0.03625429343291714
ml1m,2,43,PRIOR,0.05,0.40224,0.1940468236960177,0.37192591529135643,0.09480550211421929,0.039734498596530186
ml1m,2,44,SIT,0.05,0.38032,0.14529439401164615,0.3582680290680152,0.08703793248901738,0.03686363085031556
ml1m,2,44,PRIOR,0.05,0.40196,0.19352425247017974,0.3727096219456161,0.09512443543657857,0.039830893478614536
ml1m,2,45,SIT,0.05,0.37362,0.142754287908045,0.3535308711778858,0.08350908959968724,0.035683742675751855
ml1m,2,45,PRIOR,0.05,0.40166,0.19396177836700312,0.3717828058056969,0.09465117953888415,0.039695565737195064
ml1m,2,46,SIT,0.05,0.37362,0.142754287908045,0.3535308711778858,0.08350908959968724,0.035683742675751855
ml1m,2,46,PRIOR,0.05,0.40166,0.19396177836700312,0.3717828058056969,0.09465117953888415,0.039695565737195064
ml1m,3,42,SIT,0.05,0.40407,0.1565466889848435,0.3734982365788203,0.09872529552773177,0.0411343734884284
ml1m,3,42,PRIOR,0.05,0.42257,0.19672681627390126,0.3861189857511987,0.10686323933373801,0.04400523924517674
ml1m,3,43,SIT,0.05,0.40407,0.1565466889848435,0.3734982365788203,0.09872529552773177,0.0411343734884284
ml1m,3,43,PRIOR,0.05,0.42257,0.19672681627390126,0.3861189857511987,0.10686323933373801,0.04400523924517674
ml1m,3,44,SIT,0.05,0.40286,0.1532310363676867,0.37089660374705763,0.09748042675336166,0.040707672502361396
ml1m,3,44,PRIOR,0.05,0.42222,0.19674836550943484,0.3855829084380293,0.10693525653556106,0.04401307759810773
ml1m,3,45,SIT,0.05,0.40286,0.1532310363676867,0.37089660374705763,0.09748042675336166,0.040707672502361396
ml1m,3,45,PRIOR,0.05,0.42222,0.19674836550943484,0.3855829084380293,0.10693525653556106,0.04401307759810773
ml1m,3,46,SIT,0.05,0.40285,0.153227071031199,0.37091868463301814,0.09747013858167265,0.04070533019175432
ml1m,3,46,PRIOR,0.05,0.42222,0.1967528866491696,0.3855784073629153,0.10693525653556106,0.04401307759810773
ml1m,5,42,SIT,0.05,0.39605,0.16888927641324186,0.35275275043842935,0.10364304159507814,0.04283164930923556
ml1m,5,42,PRIOR,0.05,0.38348,0.20243942174435958,0.3448130187612475,0.10997026718381876,0.045493947937387307
ml1m,5,43,SIT,0.05,0.39613,0.16825883307458236,0.35276458858093834,0.1036018889083221,0.0428112623895823
ml1m,5,43,PRIOR,0.05,0.38352,0.20256841423391547,0.3448072410077181,0.10998055535550777,0.04549577234044321
ml1m,5,44,SIT,0.05,0.39641,0.1689661774364466,0.3531246037947846,0.10365332976676715,0.042838011301626996
ml1m,5,44,PRIOR,0.05,0.38348,0.2024380400866815,0.3448120642319136,0.10997026718381876,0.04549395548361122
ml1m,5,45,SIT,0.05,0.39604,0.16888678768621934,0.3527503999893016,0.10364304159507814,0.04283213014347916
ml1m,5,45,PRIOR,0.05,0.38349,0.2024268873701366,0.3448215100322267,0.10998055535550777,0.04549568676845212
ml1m,5,46,SIT,0.05,0.3964,0.16896248582713513,0.3531194652956666,0.10365332976676715,0.042838724513099606
ml1m,5,46,PRIOR,0.05,0.38349,0.20242789648047713,0.34481647502097207,0.10997026718381876,0.04549281321466935
ml1m,8,42,SIT,0.05,0.40561,0.1682074558825026,0.35681647218777707,0.10925009516558812,0.044609035881285
ml1m,8,42,PRIOR,0.05,0.42537,0.20108277511967282,0.3727674488958094,0.12155474850564306,0.04907715909860378
ml1m,8,43,SIT,0.05,0.40486,0.16735042323856925,0.3563172062864174,0.10892087367153983,0.044512008638061
