dataset,n,seed,arm,kappa,K,eps,n_req,n_users,macroCatMRR,CatMRR,HR20,NDCG20
ml1m,1,42,PERM,0.1,6,0.05,97199,6040,0.06997578995189513,0.1453029276265973,0.029845986069815533,0.013555369544482184
ml1m,1,43,PERM,0.1,6,0.05,97199,6040,0.07582184805860119,0.13377334471413171,0.027634029156678567,0.012431096590309726
ml1m,1,44,PERM,0.1,6,0.05,97199,6040,0.0774737005246833,0.13098773946024633,0.027644317328367574,0.012431080223658403
ml1m,1,45,PERM,0.1,6,0.05,97199,6040,0.07154273130394889,0.14635797386237565,0.029341865657054086,0.013103545880114177
ml1m,1,46,PERM,0.1,6,0.05,97199,6040,0.07504666533607512,0.14313654188563,0.027520859268099464,0.012418472331523725
ml1m,2,42,PERM,0.1,3,0.05,97199,6040,0.08953974134608428,0.21870688150710982,0.047881151040648565,0.02128179660822265
ml1m,2,43,PERM,0.1,3,0.05,97199,6040,0.09157023708795832,0.21819530977081286,0.04659512957952242,0.02061188519152517
ml1m,2,44,PERM,0.1,3,0.05,97199,6040,0.09490112583055188,0.2148292086273733,0.04807662630273974,0.021594174299328573
ml1m,2,45,PERM,0.1,3,0.05,97199,6040,0.08672864779252248,0.20500657356717783,0.044640376958610686,0.01986291571745888
ml1m,2,46,PERM,0.1,3,0.05,97199,6040,0.08699133153197719,0.20472472888115817,0.044671241473677716,0.01989825710688763
ml1m,3,42,PERM,0.1,3,0.05,97199,6040,0.10473750462127124,0.2369802173566606,0.0575931851150732,0.025276909061530205
ml1m,3,43,PERM,0.1,3,0.05,97199,6040,0.10395784382462483,0.2358019589087088,0.056193993765367954,0.024475890391942427
ml1m,3,44,PERM,0.1,3,0.05,97199,6040,0.10242056329345509,0.23272489637779945,0.056708402349818415,0.024879355869339936
ml1m,3,45,PERM,0.1,3,0.05,97199,6040,0.10233726092845206,0.23209072986098245,0.056564367946172284,0.024601917227410487
ml1m,3,46,PERM,0.1,3,0.05,97199,6040,0.10129284818329162,0.23083052808455892,0.05546353357544831,0.02432734047973998
ml1m,5,42,PERM,0.1,5,0.03,97199,6040,0.09860184490773187,0.19465013271286188,0.05288120248150701,0.023162778627843345
ml1m,5,43,PERM,0.1,5,0.03,97199,6040,0.10345987045217186,0.1941912462233556,0.05333388203582341,0.02315799066494199
ml1m,5,44,PERM,0.1,5,0.03,97199,6040,0.10402809631251367,0.19373459223946127,0.05373512073169477,0.023397790406881936
ml1m,5,45,PERM,0.1,5,0.03,97199,6040,0.10080357159115658,0.19313197171284952,0.05315898311711026,0.023047786862713162
ml1m,5,46,PERM,0.1,5,0.03,97199,6040,0.09433462607734949,0.19325112916214374,0.05235650572536755,0.022611884942974995
ml1m,8,42,PERM,0.1,5,0.02,97199,6040,0.09883757017047379,0.20550948605487027,0.05823105175979177,0.02487728610578014
ml1m,8,43,PERM,0.1,5,0.02,97199,6040,0.10182531249667748,0.2039604768781772,0.05878661303099826,0.025180143407801864
ml1m,8,44,PERM,0.1,5,0.02,97199,6040,0.10319261347790144,0.2038210069191182,0.058766036687620246,0.025456708245168953
ml1m,8,45,PERM,0.1,5,0.02,97199,6040,0.10115773403906866,0.20303712205954463,0.058405950678504924,0.02487918188689159
ml1m,8,46,PERM,0.1,5,0.02,97199,6040,0.09933540341228726,0.20336093694154367,0.05756232060000617,0.0245206847807025
ml1m,13,42,PERM,0.1,5,0.02,97199,6040,0.10735425918501222,0.22313062506351772,0.06567968806263438,0.027408909719653513
ml1m,13,43,PERM,0.1,5,0.02,97199,6040,0.11007714137184103,0.22302712800652744,0.06566939989094538,0.02747961447619731
ml1m,13,44,PERM,0.1,5,0.02,97199,6040,0.11071749981835811,0.2187672044777968,0.06588545149641457,0.02767572255634479
ml1m,13,45,PERM,0.1,5,0.02,97199,6040,0.11043800411093091,0.22193641924542812,0.06589573966810358,0.02749939792015803
ml1m,13,46,PERM,0.1,5,0.02,97199,6040,0.10704651755352923,0.2218684127648962,0.06552536548729926,0.02723695981161238
ml1m,21,42,PERM,0.1,5,0.02,97199,6040,0.11416889468444058,0.24658810723726912,0.07136904700665644,0.028851215754844364
ml1m,21,43,PERM,0.1,5,0.02,97199,6040,0.11756124597509876,0.24603196826269383,0.07083406207882798,0.02890576305283296
ml1m,21,44,PERM,0.1,5,0.02,97199,6040,0.1204505203026498,0.24578589753069818,0.07290198458831881,0.029675513058117425
ml1m,21,45,PERM,0.1,5,0.02,97199,6040,0.11641378468318231,0.24481263135523018,0.07153365775368059,0.0288241215432139
ml1m,21,46,PERM,0.1,5,0.02,97199,6040,0.11269722081200811,0.24498455573586594,0.07094723196740707,0.028725793676020284
ml1m,all,42,PERM,0.1,5,0.03,97199,6040,0.13352456016567318,0.3608411847162125,0.07482587269416352,0.028469375575927422
ml1m,all,43,PERM,0.1,5,0.03,97199,6040,0.1342265917145532,0.35983600280445904,0.07505221247132172,0.028359168498570453
ml1m,all,44,PERM,0.1,5,0.03,97199,6040,0.13451655524627532,0.36121242020661426,0.07499048344118767,0.028654505013783426
ml1m,all,45,PERM,0.1,5,0.03,97199,6040,0.13362088585310986,0.3598068771807695,0.07459953291700532,0.028361486108010977
ml1m,all,46,PERM,0.1,5,0.03,97199,6040,0.13307824060460866,0.36025979494927224,0.07542258665212605,0.02867203753266554
