dataset,a,b,ARI
ml1m,V1_joint_auto,V2_joint_K10,0.4098
ml1m,V1_joint_auto,V3_joint_K12,0.3757
ml1m,V1_joint_auto,V4_staged_int2ctx,0.4817
ml1m,V1_joint_auto,V5_staged_ctx2int,0.3115
ml1m,V1_joint_auto,V6_staged_shuffled,0.0564
ml1m,V1_joint_auto,V7_ctx_K5,0.1284
ml1m,V1_joint_auto,V7_ctx_K10,0.1493
ml1m,V1_joint_auto,V7_int_K5,0.6626
ml1m,V1_joint_auto,V7_int_K10,0.3918
ml1m,V2_joint_K10,V3_joint_K12,0.8568
ml1m,V2_joint_K10,V4_staged_int2ctx,0.409
ml1m,V2_joint_K10,V5_staged_ctx2int,0.3966
ml1m,V2_joint_K10,V6_staged_shuffled,0.0709
ml1m,V2_joint_K10,V7_ctx_K5,0.1325
ml1m,V2_joint_K10,V7_ctx_K10,0.1303
ml1m,V2_joint_K10,V7_int_K5,0.4013
ml1m,V2_joint_K10,V7_int_K10,0.5867
ml1m,V3_joint_K12,V4_staged_int2ctx,0.4317
ml1m,V3_joint_K12,V5_staged_ctx2int,0.4111
ml1m,V3_joint_K12,V6_staged_shuffled,0.0762
ml1m,V3_joint_K12,V7_ctx_K5,0.1324
ml1m,V3_joint_K12,V7_ctx_K10,0.1338
ml1m,V3_joint_K12,V7_int_K5,0.3637
ml1m,V3_joint_K12,V7_int_K10,0.5747
ml1m,V4_staged_int2ctx,V5_staged_ctx2int,0.6096
ml1m,V4_staged_int2ctx,V6_staged_shuffled,0.1976
ml1m,V4_staged_int2ctx,V7_ctx_K5,0.3254
ml1m,V4_staged_int2ctx,V7_ctx_K10,0.3566
ml1m,V4_staged_int2ctx,V7_int_K5,0.4063
ml1m,V4_staged_int2ctx,V7_int_K10,0.2966
ml1m,V5_staged_ctx2int,V6_staged_shuffled,0.2061
ml1m,V5_staged_ctx2int,V7_ctx_K5,0.3755
ml1m,V5_staged_ctx2int,V7_ctx_K10,0.3851
ml1m,V5_staged_ctx2int,V7_int_K5,0.2938
ml1m,V5_staged_ctx2int,V7_int_K10,0.2881
ml1m,V6_staged_shuffled,V7_ctx_K5,0.2901
ml1m,V6_staged_shuffled,V7_ctx_K10,0.307
ml1m,V6_staged_shuffled,V7_int_K5,0.0213
ml1m,V6_staged_shuffled,V7_int_K10,0.0201
ml1m,V7_ctx_K5,V7_ctx_K10,0.8397
ml1m,V7_ctx_K5,V7_int_K5,0.0463
ml1m,V7_ctx_K5,V7_int_K10,0.0335
ml1m,V7_ctx_K10,V7_int_K5,0.0541
ml1m,V7_ctx_K10,V7_int_K10,0.0366
ml1m,V7_int_K5,V7_int_K10,0.4739
