dataset,seed,variant,kappa,K_eff,n_groups_nonempty,size_max_share,size_min,boundary_share,macroCatMRR,CatMRR,HR20,NDCG20,n_req,n_users
ml1m,42,V1_joint_auto,0.5,5,5,0.32736,8845,0.24229,0.140322,0.384789,0.064846,0.024645,97199,6040
ml1m,42,V2_joint_K10,0.5,10,10,0.15895,5063,0.24322,0.145551,0.387733,0.065268,0.024811,97199,6040
ml1m,42,V3_joint_K12,0.5,12,12,0.14005,3111,0.28193,0.146203,0.389008,0.065772,0.024988,97199,6040
ml1m,42,V4_staged_int2ctx,0.5,12,12,0.17934,4032,0.0,0.149432,0.391761,0.067058,0.025563,97199,6040
ml1m,42,V5_staged_ctx2int,0.5,10,10,0.18087,3697,0.22297,0.147787,0.389792,0.066544,0.025359,97199,6040
ml1m,42,V6_staged_shuffled,0.5,12,12,0.11915,4396,0.0,0.144028,0.394106,0.068602,0.026194,97199,6040
ml1m,42,V7_ctx_K5,1.0,5,4,0.39204,14405,0.68368,0.136722,0.393444,0.069939,0.02665,97199,6040
ml1m,42,V7_ctx_K10,2.0,10,3,0.39204,21825,1.0,0.133671,0.38948,0.067089,0.025518,97199,6040
ml1m,42,V7_int_K5,0.5,5,5,0.28228,14230,0.23336,0.138232,0.377707,0.063818,0.024181,97199,6040
ml1m,42,V7_int_K10,0.5,10,10,0.14979,5947,0.2782,0.142294,0.380387,0.064034,0.024342,97199,6040
ml1m,43,V1_joint_auto,0.5,5,5,0.32736,8817,0.24236,0.140331,0.384773,0.064867,0.024652,97199,6040
ml1m,43,V2_joint_K10,0.5,10,10,0.15889,5065,0.24268,0.145502,0.387548,0.065227,0.0248,97199,6040
ml1m,43,V3_joint_K12,0.5,12,12,0.15751,3206,0.25423,0.147369,0.388652,0.065278,0.024813,97199,6040
ml1m,43,V4_staged_int2ctx,0.5,12,11,0.17891,4081,0.08514,0.147342,0.380736,0.064887,0.024787,97199,6040
ml1m,43,V5_staged_ctx2int,0.5,10,10,0.1705,6109,0.22321,0.147735,0.389834,0.066534,0.025354,97199,6040
ml1m,43,V6_staged_shuffled,0.5,12,12,0.1188,4561,0.0,0.144025,0.3939,0.068797,0.026269,97199,6040
ml1m,43,V7_ctx_K5,2.0,5,3,0.39204,21825,0.77546,0.139063,0.390853,0.070813,0.026976,97199,6040
ml1m,43,V7_ctx_K10,2.0,10,3,0.39204,21825,1.0,0.135931,0.380806,0.064466,0.024608,97199,6040
ml1m,43,V7_int_K5,0.5,5,5,0.28228,14230,0.23336,0.138232,0.377707,0.063818,0.024181,97199,6040
ml1m,43,V7_int_K10,0.5,10,10,0.16765,2032,0.23686,0.14183,0.38284,0.064208,0.024383,97199,6040
ml1m,44,V1_joint_auto,0.5,5,5,0.32736,8845,0.24226,0.140322,0.384792,0.064846,0.024646,97199,6040
ml1m,44,V2_joint_K10,0.5,10,10,0.15937,5064,0.24529,0.145803,0.387667,0.065248,0.024806,97199,6040
ml1m,44,V3_joint_K12,0.5,12,12,0.15201,4979,0.27378,0.14534,0.386875,0.065649,0.024955,97199,6040
ml1m,44,V4_staged_int2ctx,0.5,12,12,0.17934,4032,0.0,0.149435,0.391751,0.067038,0.025559,97199,6040
ml1m,44,V5_staged_ctx2int,0.5,10,10,0.15677,6295,0.22821,0.14747,0.389537,0.066606,0.025374,97199,6040
ml1m,44,V6_staged_shuffled,0.5,12,12,0.11786,4495,0.0,0.143956,0.393702,0.06855,0.026195,97199,6040
ml1m,44,V7_ctx_K5,2.0,5,3,0.39204,21825,0.38342,0.14471,0.372314,0.070464,0.026747,97199,6040
ml1m,44,V7_ctx_K10,2.0,10,3,0.39204,21825,0.77546,0.127843,0.380863,0.068437,0.025986,97199,6040
ml1m,44,V7_int_K5,0.5,5,5,0.28212,14166,0.23287,0.138239,0.377802,0.063807,0.024178,97199,6040
ml1m,44,V7_int_K10,0.5,10,10,0.15314,5705,0.27435,0.142651,0.380873,0.064147,0.02433,97199,6040
ml1m,45,V1_joint_auto,0.5,5,5,0.32736,8845,0.24229,0.140322,0.38479,0.064846,0.024645,97199,6040
ml1m,45,V2_joint_K10,0.5,10,10,0.19322,3236,0.22441,0.14401,0.385371,0.065206,0.024761,97199,6040
ml1m,45,V3_joint_K12,0.5,12,12,0.14899,3513,0.28618,0.147167,0.38851,0.065669,0.024978,97199,6040
ml1m,45,V4_staged_int2ctx,0.5,12,12,0.17934,4032,0.0,0.149435,0.391751,0.067038,0.025559,97199,6040
ml1m,45,V5_staged_ctx2int,0.5,10,10,0.15692,2869,0.23021,0.147511,0.389617,0.066678,0.025395,97199,6040
ml1m,45,V6_staged_shuffled,0.5,12,12,0.11757,4422,0.0,0.143961,0.394017,0.068653,0.026191,97199,6040
ml1m,45,V7_ctx_K5,2.0,5,3,0.39204,21825,0.60796,0.151489,0.380077,0.069209,0.026427,97199,6040
ml1m,45,V7_ctx_K10,2.0,10,3,0.39204,21825,1.0,0.135019,0.384252,0.064929,0.024758,97199,6040
ml1m,45,V7_int_K5,0.5,5,5,0.27836,14235,0.23542,0.138023,0.378258,0.063992,0.024231,97199,6040
ml1m,45,V7_int_K10,0.5,10,10,0.16672,2060,0.23693,0.141767,0.382519,0.064157,0.024373,97199,6040
ml1m,46,V1_joint_auto,0.5,5,5,0.32736,8845,0.24226,0.140322,0.384791,0.064846,0.024646,97199,6040
ml1m,46,V2_joint_K10,0.5,10,10,0.19517,3523,0.22728,0.143409,0.385341,0.065052,0.02474,97199,6040
ml1m,46,V3_joint_K12,0.5,12,12,0.16147,2020,0.26083,0.145665,0.38695,0.064877,0.024675,97199,6040
ml1m,46,V4_staged_int2ctx,0.5,12,12,0.17934,4032,0.0,0.149435,0.391751,0.067038,0.025559,97199,6040
ml1m,46,V5_staged_ctx2int,0.5,10,9,0.3348,1198,0.21376,0.143868,0.383119,0.065145,0.024738,97199,6040
ml1m,46,V6_staged_shuffled,0.5,12,12,0.11883,4439,0.0,0.143779,0.39374,0.068653,0.026224,97199,6040
ml1m,46,V7_ctx_K5,2.0,5,3,0.39204,21825,0.38342,0.14471,0.372314,0.070464,0.026747,97199,6040
ml1m,46,V7_ctx_K10,2.0,10,3,0.39204,21825,1.0,0.133538,0.386351,0.066606,0.025383,97199,6040
ml1m,46,V7_int_K5,0.5,5,4,0.32341,16368,0.39684,0.135625,0.376708,0.063941,0.024276,97199,6040
ml1m,46,V7_int_K10,0.5,10,10,0.16629,2094,0.2418,0.141985,0.383309,0.064198,0.024377,97199,6040
