dataset,backbone,method,min_rawlsiano,quartile_basso,divario,media,min_lo,q25_lo,divario_lo,media_lo,min_hi,q25_hi,divario_hi,media_hi
yelp,B_blind,BASE,0.10131737458949057,0.10254212118173371,-0.0030239265661740067,0.10434130115566458,0.09151557105532768,0.09523539746999683,-0.008941001118786606,0.09858767584814643,0.09989288010332899,0.10149833619952024,-0.0034240098922589607,0.10406947451994619
yelp,B_blind,SIT,0.09544132654509527,0.1018337447952683,-0.011361028411391694,0.10680235495648696,0.0831246288747479,0.09252452385889892,-0.021062418416802897,0.10022366320002084,0.09673474197807187,0.10197125374342345,-0.007320916987836258,0.1079106964007529
yelp,B_blind,Steck-b,0.10350961702751546,0.10498408832207333,-0.0034383296987640644,0.10694794672627954,0.0930371418688922,0.0970820691328971,-0.0093427629394196,0.10089017968784048,0.10226839069686847,0.104424806531442,-0.0038070330052409804,0.10699796583241003
yelp,B_full,BASE,0.07912596483912542,0.10041289617448106,-0.038641908915864207,0.11776787375498962,0.071784260592415,0.09236799186900839,-0.04712115082948142,0.11121695896453984,0.07795186605889567,0.10442373042056542,-0.03604708064399545,0.12134850082725465
yelp,B_full,SIT,0.07865483970429188,0.10202677245563149,-0.042230141263203125,0.120884980967495,0.07056752971012833,0.0932360190906056,-0.0499858787972622,0.11360227188166003,0.07747485094164858,0.10539007909875656,-0.03951016958822241,0.1236777052264871
yelp,B_full,Steck-b,0.0796877256354737,0.10194908925950555,-0.04030144527340964,0.11998917090888335,0.07170394264026517,0.09307655779923164,-0.04838172242706514,0.11267345826815911,0.07842147645246075,0.10548849960825536,-0.03764138954278423,0.12280644459382796
yelp,EASE,BASE,0.09203989588799784,0.09363697263029278,-0.0032577600834101995,0.09529765597140802,0.08342090507478783,0.08694057584970956,-0.008384305126920217,0.09025329857115827,0.09088693933035318,0.09318395776906938,-0.003463566155288638,0.09548152047866748
yelp,EASE,SIT,0.08108050636918615,0.08647478989422883,-0.008908929247879161,0.08998943561706532,0.07264942904094795,0.07922015147819837,-0.019502593040139998,0.08091459589165831,0.08083776248332282,0.08707257958432163,-0.002045017452985835,0.0945282866785554
yelp,EASE,Steck-b,0.13168454926892928,0.1368096646142653,-0.010800768717052522,0.1424853179859818,0.11686665965441909,0.1260127772529346,-0.020773336611495167,0.13393412284657413,0.13134084444336735,0.13687901005609338,-0.007956228240256824,0.14429956093179222
yelp,DeepFM,BASE,0.0862041716577443,0.10060985604430725,-0.026845431948680654,0.11304960360642495,0.07750894515527935,0.0928920431202752,-0.03391990287110738,0.10655107675130766,0.08444236054457857,0.10089377562420627,-0.02553723915104506,0.11430444498377344
yelp,DeepFM,SIT,0.08439759022059026,0.1017017404519103,-0.03239371213996735,0.1167913023605576,0.0757393880763427,0.09413768580828462,-0.03946105590457321,0.11024974830219332,0.08327040986467524,0.10296437673694998,-0.030347512365355406,0.11864615678282607
yelp,DeepFM,Steck-b,0.08677730040034581,0.1019101883439046,-0.028302099868660252,0.11507940026900607,0.07797724341442441,0.09401142203871884,-0.0347284746135685,0.10883221452812523,0.08529747334205172,0.10249696247732784,-0.026946025585358576,0.1164392130304737
yelp,AFM,BASE,0.08972438344915537,0.09088658420154172,-0.002232032223588268,0.09195641567274364,0.08101103582090043,0.08429183791644973,-0.007531708999705635,0.08705376567700414,0.08790822159008613,0.0896584642728399,-0.0026848058100205933,0.09142047167329717
yelp,AFM,SIT,0.0874052146871502,0.09111237005933456,-0.006117144667882038,0.09352235935503225,0.07845906645059719,0.08398864673137757,-0.013417089806950298,0.08810164126252351,0.08661723351196039,0.09068002004560667,-0.004898317080573457,0.0945306066778014
yelp,AFM,Steck-b,0.09018740786868065,0.0917172826580948,-0.0029421880584231896,0.09312959592710386,0.08150601528764732,0.08531557487927277,-0.007809976966263303,0.08833824914437423,0.08833186356790325,0.09044082928558254,-0.003393412444925675,0.09284183240008745
yelp,FPMC,BASE,0.11399020052119795,0.12610609777649326,-0.021537309070105978,0.13552750959130394,0.10284446848605186,0.1162640469415068,-0.02930358069040302,0.1283339521989659,0.1118667656027667,0.12576800047237777,-0.020449847734438253,0.13646313272769386
yelp,FPMC,SIT,0.10854620122383143,0.12538780050767612,-0.02984942705727469,0.13839562828110613,0.0958679281962931,0.11467152949077113,-0.038705195310949854,0.13060973805232112,0.10865687338459858,0.12683770909375905,-0.026606326798519906,0.14007702989662169
yelp,FPMC,Steck-b,0.1156785912835336,0.12831901537120893,-0.022637693943622514,0.1383162852271561,0.10452713411132133,0.11870572415555507,-0.029590129346040578,0.13106477988204354,0.11402542027133634,0.12902084421861076,-0.021736917134176408,0.1397584746492392
yelp,SASRec,BASE,0.10901043043720757,0.1305614333615479,-0.03969090320247298,0.14870133363968052,0.09930660311436157,0.12115717735145493,-0.048603365944930504,0.14139409385017995,0.10766546956465083,0.13377120483720847,-0.03763102268768186,0.15241227810811064
yelp,SASRec,SIT,0.1064254915313048,0.13086346409906463,-0.04489231897473225,0.15131781050603704,0.09481527918915972,0.11974903013512733,-0.054387546818524785,0.14332356832352008,0.10616854424426062,0.13312418318633548,-0.0422712091099908,0.15361719451152606
yelp,SASRec,Steck-b,0.11253082652559561,0.13414909078502593,-0.03999484736255339,0.152525673888149,0.10224632389979665,0.1241302802437391,-0.04788695425013509,0.14467480970088079,0.1107208277658517,0.13510054794118928,-0.0384820606921778,0.15412120600349571
