dataset,backbone,seed,method,situation,n_requests,n_users,macroCatMRR,microCatMRR,n_cats_supported,low_support
kuairand,B_blind,42,BASE,0,25130,10707,0.0852857912563814,0.2651931362222523,38,False
kuairand,B_blind,42,BASE,1,8005,2938,0.09998700536309595,0.2727577531182476,33,False
kuairand,B_blind,42,BASE,2,13764,7015,0.08765593959614257,0.29970907556421383,36,False
kuairand,B_blind,42,BASE,3,5869,2039,0.11319560104455093,0.28783330275504354,25,False
kuairand,B_blind,42,SIT,0,25130,10707,0.08644345945613648,0.2573504366783387,38,False
kuairand,B_blind,42,SIT,1,8005,2938,0.10091704665729916,0.27434870494208413,33,False
kuairand,B_blind,42,SIT,2,13764,7015,0.08029442662831872,0.3090237316374588,36,False
kuairand,B_blind,42,SIT,3,5869,2039,0.10946930010258178,0.30002357535825613,25,False
kuairand,B_blind,42,Steck-b,0,25130,10707,0.09232014300792876,0.2679592407863925,38,False
kuairand,B_blind,42,Steck-b,1,8005,2938,0.10357168771546288,0.2808934197122162,33,False
kuairand,B_blind,42,Steck-b,2,13764,7015,0.09415668827837886,0.3050453514447197,36,False
kuairand,B_blind,42,Steck-b,3,5869,2039,0.11486318642020148,0.302197062333981,25,False
kuairand,B_full,42,BASE,0,25130,10707,0.09472716572638555,0.27655394788462284,38,False
kuairand,B_full,42,BASE,1,8005,2938,0.10402144871664927,0.28060692180336344,33,False
kuairand,B_full,42,BASE,2,13764,7015,0.08381802621188177,0.32472489865878457,36,False
kuairand,B_full,42,BASE,3,5869,2039,0.1105613964547258,0.2972392637523339,25,False
kuairand,B_full,42,SIT,0,25130,10707,0.09500724162623034,0.27526531641947577,38,False
kuairand,B_full,42,SIT,1,8005,2938,0.1040864763324636,0.28047729780706265,33,False
kuairand,B_full,42,SIT,2,13764,7015,0.08146791594517051,0.32754842823503566,36,False
kuairand,B_full,42,SIT,3,5869,2039,0.1094855376239645,0.30060145196148,25,False
kuairand,B_full,42,Steck-b,0,25130,10707,0.09690836212473442,0.27491035438182104,38,False
kuairand,B_full,42,Steck-b,1,8005,2938,0.10328135714400886,0.28098699951701556,33,False
kuairand,B_full,42,Steck-b,2,13764,7015,0.08822560258550262,0.3249618338465337,36,False
kuairand,B_full,42,Steck-b,3,5869,2039,0.11068097498772714,0.30236501680250044,25,False
kuairand,EASE,42,BASE,0,25130,10707,0.08042983790702858,0.2663163347343389,38,False
kuairand,EASE,42,BASE,1,8005,2938,0.08856936507299286,0.2636221459034237,33,False
kuairand,EASE,42,BASE,2,13764,7015,0.08466663407501669,0.3015442851974111,36,False
kuairand,EASE,42,BASE,3,5869,2039,0.10649409671055021,0.2690021583174831,25,False
kuairand,EASE,42,SIT,0,25130,10707,0.08172788356618182,0.23835235322621273,38,False
kuairand,EASE,42,SIT,1,8005,2938,0.09148460453787764,0.2708324716723879,33,False
kuairand,EASE,42,SIT,2,13764,7015,0.059608633503071315,0.3109638368470637,36,False
kuairand,EASE,42,SIT,3,5869,2039,0.09060289311340788,0.29887454878080305,25,False
kuairand,EASE,42,Steck-b,0,25130,10707,0.08827767105330421,0.23715713941513006,38,False
kuairand,EASE,42,Steck-b,1,8005,2938,0.0948288675039017,0.2558527860312542,33,False
kuairand,EASE,42,Steck-b,2,13764,7015,0.08842141074447689,0.26634361724276084,36,False
kuairand,EASE,42,Steck-b,3,5869,2039,0.1066643470107282,0.2743899837315905,25,False
kuairand,DeepFM,42,BASE,0,25130,10707,0.08001579270808108,0.22733014062072537,38,False
kuairand,DeepFM,42,BASE,1,8005,2938,0.09058958773815456,0.2190043988768035,33,False
kuairand,DeepFM,42,BASE,2,13764,7015,0.07872497776763833,0.26097028532789124,36,False
