dataset,backbone,seed,method,situation,n_requests,n_users,macroCatMRR,microCatMRR,n_cats_supported,low_support
ml1m,B_blind,42,BASE,0,31819,2372,0.12316796581135964,0.3722851119629501,18,False
ml1m,B_blind,42,BASE,1,17935,1911,0.13008290112019677,0.3172684649744159,17,False
ml1m,B_blind,42,BASE,2,12814,1165,0.14396903953176526,0.4440779007090325,16,False
ml1m,B_blind,42,BASE,3,8845,1904,0.1345455147595509,0.3730299061545965,17,False
ml1m,B_blind,42,BASE,4,25786,1910,0.12147327942910839,0.3268737313201645,17,False
ml1m,B_blind,42,SIT,0,31819,2372,0.11092628443197573,0.40906661474311096,18,False
ml1m,B_blind,42,SIT,1,17935,1911,0.14056136009553322,0.29630917280167535,17,False
ml1m,B_blind,42,SIT,2,12814,1165,0.1168208135742466,0.5330847981430216,16,False
ml1m,B_blind,42,SIT,3,8845,1904,0.13832735623391146,0.37990838803219906,17,False
ml1m,B_blind,42,SIT,4,25786,1910,0.11896164415530117,0.3443522881728499,17,False
ml1m,B_blind,42,Steck-b,0,31819,2372,0.1229344823175402,0.3696425757267279,18,False
ml1m,B_blind,42,Steck-b,1,17935,1911,0.13004761967474837,0.31571786124575,17,False
ml1m,B_blind,42,Steck-b,2,12814,1165,0.14406992562691123,0.44389507125225197,16,False
ml1m,B_blind,42,Steck-b,3,8845,1904,0.13472859701009396,0.3682958986961134,17,False
ml1m,B_blind,42,Steck-b,4,25786,1910,0.12213897870291775,0.3261670185108672,17,False
ml1m,B_full,42,BASE,0,31819,2372,0.21098352365639392,0.44638148894235735,18,False
ml1m,B_full,42,BASE,1,17935,1911,0.27868993901332767,0.3783960682926526,17,False
ml1m,B_full,42,BASE,2,12814,1165,0.225884342306495,0.599598639465234,16,False
ml1m,B_full,42,BASE,3,8845,1904,0.09250946460934145,0.4090197619709973,17,False
ml1m,B_full,42,BASE,4,25786,1910,0.23564078530966787,0.36534886134141803,17,False
ml1m,B_full,42,SIT,0,31819,2372,0.20360787888971676,0.46699721712587394,18,False
ml1m,B_full,42,SIT,1,17935,1911,0.28140319484944226,0.3633531154952593,17,False
ml1m,B_full,42,SIT,2,12814,1165,0.21016814237048365,0.6049623687774727,16,False
ml1m,B_full,42,SIT,3,8845,1904,0.09287323252306542,0.4064723537094977,17,False
ml1m,B_full,42,SIT,4,25786,1910,0.2356768149971981,0.3819958479131419,17,False
ml1m,B_full,42,Steck-b,0,31819,2372,0.2098887757629094,0.44565520020942484,18,False
ml1m,B_full,42,Steck-b,1,17935,1911,0.2755860579658834,0.3777191508254553,17,False
ml1m,B_full,42,Steck-b,2,12814,1165,0.22389667037456,0.5964272866705977,16,False
ml1m,B_full,42,Steck-b,3,8845,1904,0.09299883402867384,0.4080232970068231,17,False
ml1m,B_full,42,Steck-b,4,25786,1910,0.234325588177222,0.3638087497755811,17,False
ml1m,EASE,42,BASE,0,31819,2372,0.12346296187446784,0.37951896775996424,18,False
ml1m,EASE,42,BASE,1,17935,1911,0.13840337540369452,0.3368874810899999,17,False
ml1m,EASE,42,BASE,2,12814,1165,0.14881612415295906,0.487978380546468,16,False
ml1m,EASE,42,BASE,3,8845,1904,0.1339657850973762,0.3898666203007547,17,False
ml1m,EASE,42,BASE,4,25786,1910,0.1316795731857263,0.33639894186535496,17,False
ml1m,EASE,42,SIT,0,31819,2372,0.11071524085825682,0.416086271630095,18,False
ml1m,EASE,42,SIT,1,17935,1911,0.1474507493997564,0.3091711490911766,17,False
ml1m,EASE,42,SIT,2,12814,1165,0.11392007141551004,0.5613860338056276,16,False
ml1m,EASE,42,SIT,3,8845,1904,0.13465786374053454,0.3908198778981081,17,False
ml1m,EASE,42,SIT,4,25786,1910,0.13178568897649723,0.37003643127453634,17,False
ml1m,EASE,42,Steck-b,0,31819,2372,0.12436681384303785,0.37410616083282744,18,False
ml1m,EASE,42,Steck-b,1,17935,1911,0.1387873379632673,0.3340095960270236,17,False
ml1m,EASE,42,Steck-b,2,12814,1165,0.15144555691387912,0.4823812866585281,16,False
ml1m,EASE,42,Steck-b,3,8845,1904,0.13510828189643645,0.3809941414010985,17,False
ml1m,EASE,42,Steck-b,4,25786,1910,0.13361157746709448,0.33720901837763734,17,False
ml1m,DeepFM,42,BASE,0,31819,2372,0.2033534681907968,0.448405251392065,18,False
ml1m,DeepFM,42,BASE,1,17935,1911,0.2699061518988084,0.38196175487445944,17,False
ml1m,DeepFM,42,BASE,2,12814,1165,0.21617225291977937,0.595379260640339,16,False
ml1m,DeepFM,42,BASE,3,8845,1904,0.09559013633881615,0.41830554830676026,17,False
ml1m,DeepFM,42,BASE,4,25786,1910,0.23387500779861298,0.3654740762359984,17,False
ml1m,DeepFM,42,SIT,0,31819,2372,0.20151579719026091,0.46298448600581643,18,False
ml1m,DeepFM,42,SIT,1,17935,1911,0.2743938678151195,0.37633242800399785,17,False
ml1m,DeepFM,42,SIT,2,12814,1165,0.20960529860196392,0.6068775919267801,16,False
ml1m,DeepFM,42,SIT,3,8845,1904,0.09455128410497562,0.4149573836940499,17,False
ml1m,DeepFM,42,SIT,4,25786,1910,0.2357929717291255,0.3813648312890047,17,False
ml1m,DeepFM,42,Steck-b,0,31819,2372,0.20290956744628952,0.4486720582545572,18,False
ml1m,DeepFM,42,Steck-b,1,17935,1911,0.2687745206516853,0.3823187300043936,17,False
ml1m,DeepFM,42,Steck-b,2,12814,1165,0.21522634137567895,0.599067099423258,16,False
ml1m,DeepFM,42,Steck-b,3,8845,1904,0.09672810472349719,0.41924209352392,17,False
ml1m,DeepFM,42,Steck-b,4,25786,1910,0.23046762403746893,0.36558686887814573,17,False
ml1m,AFM,42,BASE,0,31819,2372,0.19168377013324905,0.45390208799701753,18,False
ml1m,AFM,42,BASE,1,17935,1911,0.24994696792258442,0.3784264103135872,17,False
ml1m,AFM,42,BASE,2,12814,1165,0.20411011412384986,0.5810503741859947,16,False
ml1m,AFM,42,BASE,3,8845,1904,0.09518066274795023,0.4174748434643129,17,False
ml1m,AFM,42,BASE,4,25786,1910,0.21529427119773747,0.36808429195320475,17,False
ml1m,AFM,42,SIT,0,31819,2372,0.1789529347179872,0.4654308269070444,18,False
ml1m,AFM,42,SIT,1,17935,1911,0.2659040224506015,0.37235196073369975,17,False
ml1m,AFM,42,SIT,2,12814,1165,0.18129332178945984,0.6049484349656516,16,False
ml1m,AFM,42,SIT,3,8845,1904,0.09241184676262038,0.4103061601912774,17,False
ml1m,AFM,42,SIT,4,25786,1910,0.2193747426090776,0.38464628655996047,17,False
