dataset,backbone,seed,method,situation,n_requests,n_users,macroCatMRR,microCatMRR,n_cats_supported,low_support
nyc_tist,B_blind,42,BASE,0,3146,757,0.2205595782915771,0.24215928998567382,9,False
nyc_tist,B_blind,42,BASE,1,2974,695,0.22580445766230442,0.25287837932417845,9,False
nyc_tist,B_blind,42,BASE,2,1154,225,0.2699009642484916,0.47675380806329964,7,False
nyc_tist,B_blind,42,BASE,3,3716,986,0.22067372861465856,0.23123025083898613,9,False
nyc_tist,B_blind,42,BASE,4,254,72,0.31139120972733153,0.3358495588126448,4,False
nyc_tist,B_blind,42,BASE,5,1531,433,0.2739769787953946,0.3449056436565865,7,False
nyc_tist,B_blind,42,BASE,6,1946,457,0.2821012977955442,0.3561987090233489,7,False
nyc_tist,B_blind,42,BASE,7,2981,799,0.21739675622017107,0.24566830869414932,9,False
nyc_tist,B_blind,42,SIT,0,3146,757,0.21168345057296908,0.33520831911461124,9,False
nyc_tist,B_blind,42,SIT,1,2974,695,0.18324962290662158,0.3455015402135802,9,False
nyc_tist,B_blind,42,SIT,2,1154,225,0.19485704700320108,0.5204845118879156,7,False
nyc_tist,B_blind,42,SIT,3,3716,986,0.24447692784056477,0.3451085742791428,9,False
nyc_tist,B_blind,42,SIT,4,254,72,0.311105977235856,0.34748155771823525,4,False
nyc_tist,B_blind,42,SIT,5,1531,433,0.24370066256251446,0.3490865648038715,7,False
nyc_tist,B_blind,42,SIT,6,1946,457,0.21814968042246982,0.3358503103652517,7,False
nyc_tist,B_blind,42,SIT,7,2981,799,0.21924265352371514,0.2703817837155991,9,False
nyc_tist,B_blind,42,Steck-b,0,3146,757,0.2872565998890648,0.34755878338431445,9,False
nyc_tist,B_blind,42,Steck-b,1,2974,695,0.3270338403656139,0.3488547912181478,9,False
nyc_tist,B_blind,42,Steck-b,2,1154,225,0.2945264035026665,0.5396626086711654,7,False
nyc_tist,B_blind,42,Steck-b,3,3716,986,0.31903377583665904,0.31008943026843405,9,False
nyc_tist,B_blind,42,Steck-b,4,254,72,0.2844421021646838,0.3275949836278692,4,False
nyc_tist,B_blind,42,Steck-b,5,1531,433,0.33876973171485336,0.38648613017224154,7,False
nyc_tist,B_blind,42,Steck-b,6,1946,457,0.3277013574256942,0.3958476345456544,7,False
nyc_tist,B_blind,42,Steck-b,7,2981,799,0.3004293892764038,0.3166675874458939,9,False
nyc_tist,B_full,42,BASE,0,3146,757,0.3498460571106252,0.3964621592581024,9,False
nyc_tist,B_full,42,BASE,1,2974,695,0.3324192483563292,0.3875702613683459,9,False
nyc_tist,B_full,42,BASE,2,1154,225,0.3009331197509587,0.5606076682177242,7,False
nyc_tist,B_full,42,BASE,3,3716,986,0.3284907612447728,0.3453072575747054,9,False
nyc_tist,B_full,42,BASE,4,254,72,0.3719035566415555,0.39640480467069283,4,False
nyc_tist,B_full,42,BASE,5,1531,433,0.3525752326303229,0.4234773877451117,7,False
nyc_tist,B_full,42,BASE,6,1946,457,0.3487936489013159,0.4047376105189386,7,False
nyc_tist,B_full,42,BASE,7,2981,799,0.34020688101615815,0.3485848279818709,9,False
nyc_tist,B_full,42,SIT,0,3146,757,0.3225589638598315,0.44341790273533915,9,False
nyc_tist,B_full,42,SIT,1,2974,695,0.288439061011549,0.40196410076735123,9,False
nyc_tist,B_full,42,SIT,2,1154,225,0.23098015988675505,0.5483231943291113,7,False
nyc_tist,B_full,42,SIT,3,3716,986,0.3391955745840558,0.41159038388699803,9,False
nyc_tist,B_full,42,SIT,4,254,72,0.3555471927170985,0.39125736427667146,4,False
nyc_tist,B_full,42,SIT,5,1531,433,0.3135307912261679,0.4057146996440301,7,False
nyc_tist,B_full,42,SIT,6,1946,457,0.2752934082666592,0.35872726795841686,7,False
nyc_tist,B_full,42,SIT,7,2981,799,0.3316081110666464,0.34668050235981496,9,False
nyc_tist,B_full,42,Steck-b,0,3146,757,0.3583068134854234,0.41953718907516935,9,False
nyc_tist,B_full,42,Steck-b,1,2974,695,0.34160004709068303,0.39507375300008457,9,False
nyc_tist,B_full,42,Steck-b,2,1154,225,0.296761591539784,0.5567994600378932,7,False
nyc_tist,B_full,42,Steck-b,3,3716,986,0.35021221843126626,0.36519539998718187,9,False
nyc_tist,B_full,42,Steck-b,4,254,72,0.3582313989930156,0.3881215198833004,4,False
nyc_tist,B_full,42,Steck-b,5,1531,433,0.3635004429210808,0.42863080680600135,7,False
nyc_tist,B_full,42,Steck-b,6,1946,457,0.34756892710587034,0.4039549090612397,7,False
nyc_tist,B_full,42,Steck-b,7,2981,799,0.35847495219154657,0.36315836363637816,9,False
nyc_tist,EASE,42,BASE,0,3146,757,0.21082531659383477,0.20436423043365076,9,False
nyc_tist,EASE,42,BASE,1,2974,695,0.21027499937382968,0.23704314304272064,9,False
