dataset,backbone,seed,method,situation,n_requests,n_users,macroCatMRR,microCatMRR,n_cats_supported,low_support
saopaulo,B_blind,42,BASE,0,6449,1093,0.18608906394885003,0.48661661085238045,9,False
saopaulo,B_blind,42,BASE,1,4316,1008,0.19758173597315443,0.32859093697024483,9,False
saopaulo,B_blind,42,BASE,2,10625,2573,0.1839828790784122,0.3280696099460951,10,False
saopaulo,B_blind,42,BASE,3,2431,1204,0.22742968608832728,0.266752649285462,8,False
saopaulo,B_blind,42,SIT,0,6449,1093,0.16172999990875322,0.5339383521534425,9,False
saopaulo,B_blind,42,SIT,1,4316,1008,0.20819926313804943,0.3398190967952002,9,False
saopaulo,B_blind,42,SIT,2,10625,2573,0.17870507306662128,0.3650788106961737,10,False
saopaulo,B_blind,42,SIT,3,2431,1204,0.2439749343497406,0.30854527817659155,8,False
saopaulo,B_blind,42,Steck-b,0,6449,1093,0.24429263242621677,0.5501094034653069,9,False
saopaulo,B_blind,42,Steck-b,1,4316,1008,0.27757513943507495,0.39396406920901783,9,False
saopaulo,B_blind,42,Steck-b,2,10625,2573,0.2685493905415076,0.39574000725553815,10,False
saopaulo,B_blind,42,Steck-b,3,2431,1204,0.3941331344600298,0.40344228764840434,8,False
saopaulo,B_full,42,BASE,0,6449,1093,0.28859223052876365,0.5830862297737847,9,False
saopaulo,B_full,42,BASE,1,4316,1008,0.35497727742584545,0.4414715432570731,9,False
saopaulo,B_full,42,BASE,2,10625,2573,0.3525510246606901,0.3989279068718569,10,False
saopaulo,B_full,42,BASE,3,2431,1204,0.47784626613374104,0.554087831607944,8,False
saopaulo,B_full,42,SIT,0,6449,1093,0.270847150151629,0.5827277379629138,9,False
saopaulo,B_full,42,SIT,1,4316,1008,0.35623746366872394,0.44141892242112246,9,False
saopaulo,B_full,42,SIT,2,10625,2573,0.3529484096247625,0.4065884209669204,10,False
saopaulo,B_full,42,SIT,3,2431,1204,0.47389497938572195,0.5531019889986979,8,False
saopaulo,B_full,42,Steck-b,0,6449,1093,0.2956462644021021,0.5818304543633296,9,False
saopaulo,B_full,42,Steck-b,1,4316,1008,0.3662972187976756,0.44618730517371225,9,False
saopaulo,B_full,42,Steck-b,2,10625,2573,0.3827382420863068,0.4112119255487021,10,False
saopaulo,B_full,42,Steck-b,3,2431,1204,0.5068935181723236,0.5747391653385632,8,False
saopaulo,EASE,42,BASE,0,6449,1093,0.18550642321312183,0.5157219193587481,9,False
saopaulo,EASE,42,BASE,1,4316,1008,0.1941539489107998,0.3219955066310974,9,False
saopaulo,EASE,42,BASE,2,10625,2573,0.1824388666616646,0.3159629749208278,10,False
saopaulo,EASE,42,BASE,3,2431,1204,0.2400186529669787,0.2926604100307287,8,False
saopaulo,EASE,42,SIT,0,6449,1093,0.13180201798075625,0.5259444830053192,9,False
saopaulo,EASE,42,SIT,1,4316,1008,0.19635504057658,0.31153356613239575,9,False
saopaulo,EASE,42,SIT,2,10625,2573,0.17627491748479024,0.3649180645904612,10,False
saopaulo,EASE,42,SIT,3,2431,1204,0.2570539905072452,0.36216278635342,8,False
saopaulo,EASE,42,Steck-b,0,6449,1093,0.2278232709245928,0.5407796922286292,9,False
saopaulo,EASE,42,Steck-b,1,4316,1008,0.26078225399508403,0.37092249617284706,9,False
saopaulo,EASE,42,Steck-b,2,10625,2573,0.278692497425721,0.3615269378202687,10,False
saopaulo,EASE,42,Steck-b,3,2431,1204,0.38190290515307723,0.41159445163253683,8,False
saopaulo,DeepFM,42,BASE,0,6449,1093,0.17747083059523694,0.5524043185692974,9,False
saopaulo,DeepFM,42,BASE,1,4316,1008,0.20317521499911637,0.33499196402616466,9,False
saopaulo,DeepFM,42,BASE,2,10625,2573,0.16452203851318897,0.30923316593663525,10,False
saopaulo,DeepFM,42,BASE,3,2431,1204,0.24676527357456152,0.3365246506115289,8,False
saopaulo,DeepFM,42,SIT,0,6449,1093,0.14905277510195572,0.5435848689768766,9,False
saopaulo,DeepFM,42,SIT,1,4316,1008,0.2189464825327731,0.35122221914096485,9,False
saopaulo,DeepFM,42,SIT,2,10625,2573,0.1488594432807923,0.3124537171301149,10,False
saopaulo,DeepFM,42,SIT,3,2431,1204,0.26011753500595436,0.367154511849168,8,False
saopaulo,DeepFM,42,Steck-b,0,6449,1093,0.2237232125035977,0.551591176904381,9,False
saopaulo,DeepFM,42,Steck-b,1,4316,1008,0.2764938185020575,0.3810777075764509,9,False
saopaulo,DeepFM,42,Steck-b,2,10625,2573,0.28396088564989386,0.3366334507890782,10,False
saopaulo,DeepFM,42,Steck-b,3,2431,1204,0.4357326452978013,0.4668336221229354,8,False
saopaulo,AFM,42,BASE,0,6449,1093,0.17550608419679506,0.5461162036914925,9,False
saopaulo,AFM,42,BASE,1,4316,1008,0.2067623329831463,0.3149562338758857,9,False
saopaulo,AFM,42,BASE,2,10625,2573,0.18316790951647066,0.2419832807622172,10,False
saopaulo,AFM,42,BASE,3,2431,1204,0.2713809110269152,0.376011883198914,8,False
saopaulo,AFM,42,SIT,0,6449,1093,0.1406459096093925,0.5280758101432472,9,False
saopaulo,AFM,42,SIT,1,4316,1008,0.2462807512665803,0.34248811193571055,9,False
