city,config,R20,N20,LT20,n_test,n_sinks,touch_share
istanbul,blind,0.08464219519049254,0.03679387919020811,0.009659316992237956,136220,2,0.23520775216561446
istanbul,full,0.0780079481995541,0.03441297409254242,0.01269904620110489,136220,2,0.23520775216561446
istanbul,xsage,0.08177145693696614,0.03574149228700699,0.03790578605010439,136220,2,0.23520775216561446
bangkok,blind,0.0923400980079859,0.04192949201950887,0.02807156463342992,43556,1,0.05034897603085683
bangkok,full,0.08751002696146776,0.040559828606418824,0.06424105608916432,43556,1,0.05034897603085683
bangkok,xsage,0.0928582851001622,0.042433708697487436,0.04010156714684936,43556,1,0.05034897603085683
nyc_tist,blind,0.09087472090217003,0.038227297895529026,0.06686117255789881,17702,1,0.06812789515309005
nyc_tist,full,0.10799737160946188,0.048835677263466895,0.16613295660326932,17702,1,0.06812789515309005
nyc_tist,xsage,0.0906501588796503,0.03812763517775559,0.09738611482732247,17702,1,0.06812789515309005
saopaulo,blind,0.08935593974203472,0.038709269765400914,0.07224118404081928,23821,1,0.012971747617648294
saopaulo,full,0.08885857372032811,0.03880879512831387,0.12543377379934778,23821,1,0.012971747617648294
saopaulo,xsage,0.08919268118287173,0.0387379134625842,0.07415833318144766,23821,1,0.012971747617648294
tokyo_tist,blind,0.0747218490275195,0.034010314073011756,0.03243715108356662,59561,0,0.0
tokyo_tist,full,0.0693492453372897,0.03186322473464197,0.031643259230992475,59561,0,0.0
tokyo_tist,xsage,0.0747218490275195,0.034010314073011756,0.03243715108356662,59561,0,0.0
