gamma,depth,n,city,K,eps,ari_mean,ari_min,bfrac,n_iters,secs
0.3,2,3,istanbul,8,0.01,0.5360324030158393,0.44486805308415145,0.16231409644386322,66,82.3
0.3,2,3,bangkok,4,0.03,0.49063784097541535,0.4260337488470289,0.3337128243204224,10,6.2
0.3,2,3,nyc_tist,6,0.02,0.9985806271262284,0.9978709406893428,0.08972531743975122,80,8.9
0.3,2,3,saopaulo,8,0.02,0.593438625717413,0.5018424867819671,0.2261904761904762,42,9.1
0.3,2,3,tokyo_tist,4,0.05,0.675302965889078,0.5317211971568577,0.15158283450966378,39,17.1
0.3,2,5,istanbul,8,0.01,0.5554298684763145,0.40583844616939896,0.15052805836589403,63,72.3
0.3,2,5,bangkok,4,0.03,0.7436711687274017,0.6155067530911025,0.2027719341665635,14,5.4
0.3,2,5,nyc_tist,6,0.02,0.9920351174942265,0.9890516446438995,0.09549105986006738,80,8.3
0.3,2,5,saopaulo,8,0.02,0.7512263830441469,0.6866865131621466,0.20250463821892395,80,14.1
0.3,2,5,tokyo_tist,4,0.05,0.7697844315401848,0.655421345758778,0.14311921141189435,32,13.2
0.3,2,7,istanbul,8,0.01,0.6409920354674318,0.5984840355231222,0.15298582305698857,44,55.1
0.3,2,7,bangkok,4,0.03,0.689408886421688,0.5341690712025251,0.24281648310852622,11,5.1
0.3,2,7,nyc_tist,6,0.02,0.9038773863780222,0.8581046561495106,0.13451239526647663,57,6.3
0.3,2,7,saopaulo,8,0.02,0.650077274985236,0.5559778393758551,0.18781694495980208,40,7.9
0.3,2,7,tokyo_tist,4,0.05,0.5050997500269521,0.2978125447521629,0.2452246940051818,55,19.5
0.3,2,10,istanbul,8,0.01,0.6222965300273181,0.5263383265505295,0.19300539959402754,34,45.0
0.3,2,10,bangkok,4,0.03,0.5515479703418519,0.3274025079627511,0.2688611145485295,24,7.5
0.3,2,10,nyc_tist,6,0.02,0.9919942357526512,0.9879924717606502,0.09413060378336356,80,8.3
0.3,2,10,saopaulo,8,0.02,0.8668781319853273,0.8463130956212617,0.24220779220779223,23,5.4
0.3,2,10,tokyo_tist,4,0.05,0.5530555864636405,0.535432049102526,0.2178147056195837,31,13.2
0.3,3,3,istanbul,8,0.01,0.6746799401853608,0.5619797482038047,0.17918949927390304,80,88.7
0.3,3,3,bangkok,4,0.03,0.8297657021182445,0.7744166802932549,0.1968898238666832,17,5.9
0.3,3,3,nyc_tist,6,0.02,0.8193477646003414,0.7290216469005123,0.10244450202988685,59,6.6
0.3,3,3,saopaulo,8,0.02,0.8987879404447218,0.8491398929246433,0.2604359925788497,58,10.6
0.3,3,3,tokyo_tist,4,0.05,0.7843716190116199,0.6765574285174297,0.11218916584770244,33,13.4
0.3,3,5,istanbul,8,0.01,0.5175031868194585,0.4502223420278839,0.2162110842780617,55,64.9
0.3,3,5,bangkok,4,0.03,0.6449706571558507,0.47047764659216645,0.35138390463226504,12,5.3
0.3,3,5,nyc_tist,6,0.02,0.893990343881725,0.8409855158225875,0.10486309061069361,18,3.0
0.3,3,5,saopaulo,8,0.02,0.7296483797958722,0.6031144667230407,0.2025200989486704,63,11.6
0.3,3,5,tokyo_tist,4,0.05,1.0,1.0,0.08899609875219631,11,7.3
0.3,3,7,istanbul,8,0.01,0.7219440685866086,0.7078517346665668,0.1988783607057181,51,62.4
0.3,3,7,bangkok,4,0.03,0.8481288738469225,0.7721933107703839,0.15671327805964608,25,7.4
0.3,3,7,nyc_tist,6,0.02,0.9998013621904639,0.9997020432856958,0.10045780426708129,22,3.3
0.3,3,7,saopaulo,8,0.02,0.6399507782248347,0.5270693213564656,0.2598948670377242,80,14.0
0.3,3,7,tokyo_tist,4,0.05,0.9445988477556829,0.9168982716335242,0.08171774025432561,33,13.6
0.3,3,10,istanbul,8,0.01,0.609295881495126,0.5014202916059344,0.18815405557917933,63,73.5
0.3,3,10,bangkok,4,0.03,0.6473339854891096,0.4710009782336644,0.21675535206038857,12,5.2
0.3,3,10,nyc_tist,6,0.02,0.8700068240537927,0.8050102360806889,0.13455558434827675,18,3.0
0.3,3,10,saopaulo,8,0.02,0.9673092541047947,0.9622601079496114,0.25871985157699445,80,14.1
0.3,3,10,tokyo_tist,4,0.05,0.9446362960066045,0.9169544440099067,0.08206319425831621,33,13.7
0.3,4,3,istanbul,8,0.01,0.58839337318234,0.557380452910454,0.19596862405293156,21,31.7
0.3,4,3,bangkok,4,0.03,0.7306700726483157,0.6993712172807696,0.2808975786825063,13,5.4
0.3,4,3,nyc_tist,6,0.02,0.8270834691888611,0.7408246794889154,0.17498056491318995,13,2.5
0.3,4,3,saopaulo,8,0.02,0.6118369532006097,0.46776319563009505,0.22319109461966605,80,14.1
0.3,4,3,tokyo_tist,4,0.05,0.6289497372103213,0.45241327428568556,0.19538997587778076,13,7.9
0.3,4,5,istanbul,8,0.01,0.6669645574969293,0.5617574077383056,0.192029247132385,52,63.2
0.3,4,5,bangkok,4,0.03,0.47391802154353374,0.28628345283580187,0.32858144619065294,19,6.5
0.3,4,5,nyc_tist,6,0.02,0.8973723876915308,0.8460585815372964,0.1638161872678587,44,5.3
0.3,4,5,saopaulo,8,0.02,0.9575171950603362,0.9368793167712387,0.24313543599257884,80,14.3
0.3,4,5,tokyo_tist,4,0.05,0.8365206473299126,0.7590253519195259,0.16619315643705887,58,20.6
0.3,4,7,istanbul,8,0.01,0.7383289500480329,0.677297820812609,0.1814226151793045,39,48.9
0.3,4,7,bangkok,4,0.03,0.6492115483349358,0.4738173225024036,0.24542342119374663,21,6.9
0.3,4,7,nyc_tist,6,0.02,0.8027389283811283,0.7335262470372824,0.15908698281074543,18,3.0
0.3,4,7,saopaulo,8,0.02,0.7147199887585115,0.6417791268377097,0.2349721706864564,73,13.2
0.3,4,7,tokyo_tist,4,0.05,0.5436204026994825,0.5127650068917805,0.2148366538610441,36,14.7
0.3,4,10,istanbul,8,0.01,0.6465332292727504,0.5487737391348272,0.20868534995734347,37,49.0
0.3,4,10,bangkok,4,0.03,0.8572439791768222,0.7859895599421732,0.22422142474116238,15,5.8
0.3,4,10,nyc_tist,6,0.02,0.6620687630484128,0.5232258928719598,0.17672972272609486,17,3.0
0.3,4,10,saopaulo,8,0.02,0.7249467144753364,0.6100764554381478,0.21365182436611008,80,14.0
0.3,4,10,tokyo_tist,4,0.05,0.7338088392844196,0.6007132589266295,0.14130855594270228,37,14.9
0.3,5,3,istanbul,8,0.01,0.6514963319786305,0.587586630995057,0.2213592856168615,28,39.0
0.3,5,3,bangkok,4,0.03,0.853830107020365,0.7808044024864451,0.17141442890731348,13,5.4
0.3,5,3,nyc_tist,6,0.02,0.7949437151528547,0.7163331757973105,0.15815841755204285,80,8.4
0.3,5,3,saopaulo,8,0.02,0.8792643546221571,0.8310995771095205,0.20431354359925788,50,9.6
0.3,5,3,tokyo_tist,4,0.05,0.9998733489733996,0.9998100242342923,0.13777658655707437,13,8.1
0.3,5,5,istanbul,8,0.01,0.5803123804874256,0.5068296372414549,0.19895859241489422,45,56.7
0.3,5,5,bangkok,4,0.03,0.8555592529332583,0.783339360794749,0.17700779606484343,18,6.4
0.3,5,5,nyc_tist,6,0.02,0.8100511677806903,0.715247223915977,0.16178630042325298,48,6.0
0.3,5,5,saopaulo,8,0.02,0.6310387773786702,0.4825685187715279,0.26159554730983303,23,5.8
0.3,5,5,tokyo_tist,4,0.05,0.7643418988655201,0.6465128482982799,0.1672116501384794,33,16.6
0.3,5,7,istanbul,8,0.01,0.7424726817156788,0.7247890762472099,0.2082547731180984,39,55.3
0.3,5,7,bangkok,4,0.03,0.6042897303404068,0.5051315933803749,0.3278142144124077,20,7.3
0.3,5,7,nyc_tist,6,0.02,0.8148179467482076,0.7223847515248633,0.1835104085687138,25,4.1
0.3,5,7,saopaulo,8,0.02,0.7701283791270782,0.6928353577212817,0.2556586270871985,29,7.2
0.3,5,7,tokyo_tist,4,0.05,0.7823457556108808,0.6784666417647122,0.2049078292980732,58,21.9
0.3,5,10,istanbul,8,0.01,0.6733992959469207,0.5245532169200559,0.20959731705164517,37,50.4
0.3,5,10,bangkok,4,0.03,0.9333211096806422,0.9001215334201823,0.31772470403827907,13,5.9
0.3,5,10,nyc_tist,6,0.02,0.6944131039455831,0.5422822338312075,0.18683596786732312,30,4.3
0.3,5,10,saopaulo,8,0.02,0.653106819750183,0.521643147485247,0.24755720470006184,40,8.3
0.3,5,10,tokyo_tist,4,0.05,0.7854482930206662,0.6785489385953496,0.2081003007832276,58,20.8
0.3,6,3,istanbul,8,0.01,0.8409756414980981,0.7615354562757864,0.19904417290468204,45,57.7
0.3,6,3,bangkok,4,0.03,0.9997280649235648,0.9996096014874689,0.11312956317287465,17,6.4
0.3,6,3,nyc_tist,6,0.02,0.9547781405367002,0.9343527905648707,0.15155048803662433,25,3.9
0.3,6,3,saopaulo,8,0.02,0.8047932971959874,0.7098467541377311,0.22074829931972786,27,6.5
0.3,6,3,tokyo_tist,4,0.05,0.7626899654101175,0.6440349481151763,0.18024956073736562,38,15.6
0.3,6,5,istanbul,8,0.01,0.6571826398555846,0.5261006732332443,0.19660780333603448,23,35.1
0.3,6,5,bangkok,4,0.03,0.5396336322052057,0.3603660154669156,0.4358536484758487,16,6.5
0.3,6,5,nyc_tist,6,0.02,0.8070064692687905,0.7133166059281809,0.15977800811954737,41,5.4
0.3,6,5,saopaulo,8,0.02,0.6687438305231465,0.5842236487823537,0.24290352504638216,49,10.1
0.3,6,5,tokyo_tist,4,0.05,0.7673068155192079,0.650960223278812,0.20561064951308852,12,8.3
0.3,6,7,istanbul,8,0.01,0.8090941277185841,0.7246567266502594,0.22302275638711264,40,53.8
0.3,6,7,bangkok,4,0.03,0.6568342663705001,0.5834647633845725,0.31477127418223816,17,7.4
0.3,6,7,nyc_tist,6,0.02,0.8561713596403312,0.8013414856397608,0.1635354582361579,27,4.9
0.3,6,7,saopaulo,8,0.02,0.9585121550321928,0.9383562387198342,0.19732529375386518,62,12.4
0.3,6,7,tokyo_tist,4,0.05,0.7688446713984692,0.6532670070977038,0.20616456714017692,62,23.5
0.3,6,10,istanbul,8,0.01,0.6483530508758388,0.5319486445648448,0.20946359753635166,19,31.9
0.3,6,10,bangkok,4,0.03,0.5167512584113598,0.40732424523315225,0.43873283009528524,37,10.6
0.3,6,10,nyc_tist,6,0.02,0.8647914986764712,0.8013757897954618,0.15209035155912584,37,5.1
0.3,6,10,saopaulo,8,0.02,0.8422622134917858,0.7667361000331986,0.1833178726035869,42,8.9
0.3,6,10,tokyo_tist,4,0.05,0.7689627383286188,0.6534441074929283,0.17290568510080706,40,16.6
0.4,2,3,istanbul,8,0.01,0.6680509623835653,0.5550859872857318,0.18215004934250115,48,62.1
0.4,2,3,bangkok,4,0.03,0.7329212211269042,0.6633260559065843,0.27452872994266386,10,5.2
0.4,2,3,nyc_tist,6,0.02,0.725347419080272,0.6460247852344739,0.20698367452707958,35,4.8
0.4,2,3,saopaulo,8,0.02,0.6321784289395396,0.5730771541876741,0.18008658008658007,63,12.4
