gamma,depth,n,P,neigh_mean,plateau_width,self_ari
0.4,6,3,0.7617570256149699,0.8127049011690637,2,0.8581812681174703
0.3,6,10,0.7282241519568149,0.7681672593854662,2,0.7282241519568149
0.6,6,7,0.7222567174344942,0.7800728403217921,4,0.818526053601684
0.6,6,5,0.7222567174344942,0.7710736653912734,2,0.7222567174344942
0.6,6,3,0.7222567174344942,0.7574906444662737,4,0.7686840356091639
0.5,6,5,0.721964423356221,0.7554679554066274,4,0.7613579382025486
0.7,6,10,0.7207658357499146,0.7644662783086483,1,0.7207658357499146
0.3,3,10,0.7171544909141578,0.763040479151539,2,0.8077164482298855
0.7,5,7,0.7118214076686101,0.7782335762794653,4,0.7656470984963945
0.8,4,7,0.7118214076686101,0.7668756884902255,3,0.7426275658327215
0.8,5,10,0.7118214076686101,0.7632310298056573,2,0.7183769519708902
0.7,6,7,0.707651886623063,0.7506277341805779,1,0.7631508655969597
0.8,5,7,0.707651886623063,0.734097016281642,4,0.7118214076686101
0.8,6,10,0.707651886623063,0.72399508685781,4,0.7491856730873723
0.8,3,5,0.7018587151129149,0.7318016878299608,3,0.7182524141725923
0.7,2,5,0.7017293678330164,0.724382389788604,6,0.747115209250975
0.8,4,10,0.6917305266363722,0.760940980261395,2,0.8163764109916196
0.8,3,7,0.6917305266363722,0.7209225426107403,4,0.7513897725858608
0.3,4,7,0.6897239636444181,0.7511741725322679,1,0.6897239636444181
0.3,4,10,0.6897239636444181,0.7447465809654806,1,0.7249203050515483
0.6,3,7,0.6888013768330541,0.7658942387430565,3,0.7583805645081163
0.7,2,7,0.6888013768330541,0.7262987916720545,4,0.7389357646800565
0.3,6,3,0.687974677474387,0.8136576347635581,3,0.8725930219128936
0.3,6,5,0.687974677474387,0.7721932171725463,1,0.687974677474387
0.4,6,5,0.687974677474387,0.7580238608629525,1,0.7622463749543222
0.3,5,5,0.687974677474387,0.748966974177525,1,0.7282606954891129
0.3,6,7,0.687974677474387,0.7429737021162767,1,0.8098913160320155
0.6,2,7,0.6839592317791092,0.7283731560330718,3,0.6888013768330541
