city,K,eps,kind,gamma,depth,n,ari_mean,ari_min,bfrac,n_iters,secs
istanbul,4,0.01,Keps,0.4,6,3,0.7980353169254164,0.6313389594621039,0.19851410874605863,25,36.5
istanbul,4,0.02,Keps,0.4,6,3,0.868108861745313,0.6708367809941108,0.35237285279888314,26,39.2
istanbul,4,0.03,Keps,0.4,6,3,0.657793905841644,0.4398315994978616,0.49020611526087343,24,37.7
istanbul,4,0.05,Keps,0.4,6,3,0.45285825993502227,0.3981561228254978,0.7588956907549,18,31.5
istanbul,4,0.07,Keps,0.4,6,3,0.22515631994417512,0.0,0.9709769815226373,12,26.1
istanbul,4,0.1,Keps,0.4,6,3,1.0,1.0,1.0,4,15.9
istanbul,5,0.01,Keps,0.4,6,3,0.6983257406852713,0.5364465598642768,0.22456053081298788,29,47.1
istanbul,5,0.02,Keps,0.4,6,3,0.6373362098153613,0.4067135434218525,0.4188576609247507,31,53.5
istanbul,5,0.03,Keps,0.4,6,3,0.5334105631008125,0.36155024205543446,0.5697590641773441,31,53.1
istanbul,5,0.05,Keps,0.4,6,3,0.3862245652189414,0.24092868757676317,0.8344097754314461,27,48.0
istanbul,5,0.07,Keps,0.4,6,3,0.2685952220344531,-0.08458588456190687,0.9648793716252537,15,32.8
istanbul,5,0.1,Keps,0.4,6,3,1.0,1.0,1.0,3,16.5
istanbul,6,0.01,Keps,0.4,6,3,0.6335090652755654,0.4093408105614367,0.22751787161321896,25,47.1
istanbul,6,0.02,Keps,0.4,6,3,0.5505302888194852,0.45024607590481075,0.4256115662031948,31,56.8
istanbul,6,0.03,Keps,0.4,6,3,0.46505038605981736,0.38619609682696343,0.591282022480925,26,51.0
istanbul,6,0.05,Keps,0.4,6,3,0.3778022619282893,0.22619266651112913,0.8783767520599491,22,47.4
istanbul,6,0.07,Keps,0.4,6,3,0.36828822650566284,0.2457156414448322,0.9478542029380852,19,44.8
istanbul,6,0.1,Keps,0.4,6,3,1.0,1.0,1.0,4,18.9
istanbul,7,0.01,Keps,0.4,6,3,0.6064668997415836,0.4530506735233462,0.20704113479729455,28,57.6
istanbul,7,0.02,Keps,0.4,6,3,0.5613585536502861,0.4821942466643567,0.43667070499602856,30,61.8
istanbul,7,0.03,Keps,0.4,6,3,0.49798958524769105,0.41296348545905515,0.615126886448062,47,92.6
istanbul,7,0.05,Keps,0.4,6,3,0.391549648746036,0.2967155679500836,0.862437920715025,29,65.3
istanbul,7,0.07,Keps,0.4,6,3,0.328163033439588,-0.0031416601010435794,0.9710780734761991,14,40.6
istanbul,7,0.1,Keps,0.4,6,3,1.0,1.0,1.0,4,21.5
istanbul,8,0.01,Keps,0.4,6,3,0.6830395120827868,0.46859062792700323,0.23021526167571946,38,81.4
istanbul,8,0.02,Keps,0.4,6,3,0.5804651123242325,0.4702507702336615,0.44027471337221896,26,61.0
istanbul,8,0.03,Keps,0.4,6,3,0.45601927650995433,0.3580471993189893,0.6669325010630701,41,92.0
istanbul,8,0.05,Keps,0.4,6,3,0.3954762821586722,0.19135267101716727,0.9122281147955296,38,93.2
istanbul,8,0.07,Keps,0.4,6,3,0.21068695645388766,-0.0031513981943679767,0.9752533316217236,13,42.2
istanbul,8,0.1,Keps,0.4,6,3,1.0,1.0,1.0,5,24.7
istanbul,9,0.01,Keps,0.4,6,3,0.6256742792673399,0.4687060848333719,0.2569629088808479,45,102.7
istanbul,9,0.02,Keps,0.4,6,3,0.5922709227670999,0.44790413540148666,0.47385328829660056,43,101.4
istanbul,9,0.03,Keps,0.4,6,3,0.47197914728921087,0.34026640815819664,0.6854788629562175,48,112.8
istanbul,9,0.05,Keps,0.4,6,3,0.38821503212960423,0.2718744739699575,0.8847904748914865,33,90.2
istanbul,9,0.07,Keps,0.4,6,3,0.07880419112649752,-0.08456442492124736,0.9804170444242974,13,52.3
istanbul,9,0.1,Keps,0.4,6,3,1.0,1.0,1.0,5,29.4
bangkok,4,0.01,Keps,0.4,6,3,0.9956212404706705,0.9906762353356909,0.027526296250464054,80,28.6
bangkok,4,0.02,Keps,0.4,6,3,0.9994225459767483,0.9989446534937492,0.0805543868333127,67,24.2
bangkok,4,0.03,Keps,0.4,6,3,0.9999675272096884,0.9999188180242211,0.15692117312213832,13,7.9
bangkok,4,0.05,Keps,0.4,6,3,0.9048769407799953,0.7623323774153605,0.3522088850389803,15,8.6
bangkok,4,0.07,Keps,0.4,6,3,0.5306710372943645,0.32169017296334207,0.7744190075485708,19,9.8
bangkok,4,0.1,Keps,0.4,6,3,0.693903215362347,0.3849393112067414,0.9060066823412944,9,6.9
bangkok,5,0.01,Keps,0.4,6,3,0.6422722285764664,0.5011554011494117,0.0905729488924638,36,16.4
bangkok,5,0.02,Keps,0.4,6,3,0.7691996691680777,0.6132698643286105,0.19999505011755972,47,21.0
bangkok,5,0.03,Keps,0.4,6,3,0.5904842787720022,0.3866173299076201,0.4253334983294147,24,12.9
bangkok,5,0.05,Keps,0.4,6,3,0.5904524028700568,0.3597883081414892,0.5948026234376933,15,9.7
bangkok,5,0.07,Keps,0.4,6,3,0.4562898941105945,0.21224341326852295,0.7743249597822052,11,8.2
bangkok,5,0.1,Keps,0.4,6,3,0.5830289194953047,0.3756517612573156,0.9203662913005817,10,8.2
bangkok,6,0.01,Keps,0.4,6,3,0.5803482142203227,0.4652253136533081,0.10916470733820072,58,27.5
bangkok,6,0.02,Keps,0.4,6,3,0.6277662807931641,0.5014598826338579,0.288390050736295,31,17.3
bangkok,6,0.03,Keps,0.4,6,3,0.6960861492820918,0.49383291214795905,0.4137854225962133,21,12.9
bangkok,6,0.05,Keps,0.4,6,3,0.5558862227725303,0.2726776253937309,0.6801583962380893,19,12.4
bangkok,6,0.07,Keps,0.4,6,3,0.2829679531239536,0.0,0.8316544982056676,13,10.0
bangkok,6,0.1,Keps,0.4,6,3,0.3218961021718183,-0.0073010872419420015,0.960475188714268,11,9.3
bangkok,7,0.01,Keps,0.4,6,3,0.5775781955809525,0.42774849716811053,0.106813513179062,32,20.2
bangkok,7,0.02,Keps,0.4,6,3,0.5450211901117851,0.3878075706316175,0.31408489048385096,30,19.6
bangkok,7,0.03,Keps,0.4,6,3,0.5147549046721913,0.3962079015814593,0.44217794827372847,21,15.1
bangkok,7,0.05,Keps,0.4,6,3,0.7363597790797255,0.463544263101126,0.660254918945675,19,14.7
bangkok,7,0.07,Keps,0.4,6,3,0.28731098366793567,-0.12086657790003838,0.8284519242667987,20,15.6
bangkok,7,0.1,Keps,0.4,6,3,0.45695616440022635,0.0,0.9601682960029698,14,12.8
bangkok,8,0.01,Keps,0.4,6,3,0.6058602812056553,0.4768570239534775,0.10215072392030689,58,36.6
bangkok,8,0.02,Keps,0.4,6,3,0.556397710966816,0.4671240914534783,0.346288825640391,20,16.0
bangkok,8,0.03,Keps,0.4,6,3,0.5368217075787488,0.40042183988390256,0.48175720826630364,30,22.6
bangkok,8,0.05,Keps,0.4,6,3,0.6690426325446839,0.36635833164326415,0.7027496596955822,20,16.6
bangkok,8,0.07,Keps,0.4,6,3,0.3739330621012179,-0.12086657790003838,0.8753718599183269,15,13.7
bangkok,8,0.1,Keps,0.4,6,3,0.5361962301991655,0.0,0.9669743843583716,14,14.3
bangkok,9,0.01,Keps,0.4,6,3,0.6201435360799529,0.41485400899628694,0.113847296126717,59,41.5
bangkok,9,0.02,Keps,0.4,6,3,0.5668881261955361,0.40839104581503516,0.3685484469743844,34,25.8
bangkok,9,0.03,Keps,0.4,6,3,0.4599276023697163,0.3481986938225395,0.5393094913995793,25,20.3
bangkok,9,0.05,Keps,0.4,6,3,0.5990741145664792,0.34810743904170577,0.7493379532236109,27,22.9
bangkok,9,0.07,Keps,0.4,6,3,0.4296122854166323,-0.1211998390147593,0.9254646702140825,22,20.2
bangkok,9,0.1,Keps,0.4,6,3,0.5450197389930284,0.0,0.9658458111619851,16,16.5
nyc_tist,4,0.01,Keps,0.4,6,3,0.95124971786977,0.8797800035249174,0.07100285047939879,41,6.2
nyc_tist,4,0.02,Keps,0.4,6,3,0.9550826170324649,0.8878114405616848,0.16281420057009588,24,4.2
nyc_tist,4,0.03,Keps,0.4,6,3,0.9545202627685552,0.886300656921388,0.2153925887535631,21,4.0
nyc_tist,4,0.05,Keps,0.4,6,3,0.8762050814301345,0.6905613732656621,0.40133454262762375,23,4.3
