city,situation,n_requests,LT,KL,available_LT,global_KL_mean,is_sink
istanbul,0,12659,0.007366300655660005,0.05633950139241414,0.8023742882144249,0.040935672197347533,0
istanbul,1,12081,0.005686615346411721,0.05096774576501339,0.8022903284472637,0.040935672197347533,0
istanbul,2,18827,0.012139480533276677,0.022005270096367435,0.8023400694087064,0.040935672197347533,0
istanbul,3,18239,0.00863260047151708,0.02391541379641201,0.8022433203395669,0.040935672197347533,0
istanbul,4,18847,0.008754708972250225,0.010054727297899866,0.8022777908546327,0.040935672197347533,0
istanbul,5,19444,0.009817938695741617,0.05917879119381779,0.8022338045249574,0.040935672197347533,0
istanbul,6,18154,0.006717527817560868,0.07779573410972473,0.8023426397655047,0.040935672197347533,1
istanbul,7,17969,0.009622126996493962,0.027228193927130877,0.802247120982068,0.040935672197347533,0
bangkok,0,8155,0.021244635193133046,0.0680597749828211,0.8042268718279323,0.06946062741495851,0
bangkok,1,2151,0.026522547652254765,0.08898901456764821,0.8039611164242604,0.06946062741495851,0
bangkok,2,2393,0.04956122022565817,0.11534498951707209,0.8040112313615793,0.06946062741495851,1
bangkok,3,30857,0.03385455488219853,0.005448730592292655,0.8040539686265401,0.06946062741495851,0
nyc_tist,0,2332,0.078795025728988,0.10362370728454731,0.802416498594778,0.16332397647152336,0
nyc_tist,1,2589,0.0664349169563538,0.07625365688562613,0.8020843179400374,0.16332397647152336,0
nyc_tist,2,4794,0.0822799332498957,0.13364471521231377,0.802177345864922,0.16332397647152336,0
nyc_tist,3,2958,0.07133198106828939,0.24985088893113133,0.8020525398555858,0.16332397647152336,1
nyc_tist,4,1834,0.059187568157033806,0.31050286141783917,0.8027982374730804,0.16332397647152336,1
nyc_tist,5,3195,0.08173708920187793,0.10606802909768241,0.8022577587079042,0.16332397647152336,0
saopaulo,0,3628,0.07243660418963617,0.05762209849405988,0.8033225168151812,0.2300396346448874,0
saopaulo,1,2302,0.06783231972198088,0.07677889284791742,0.8032099174313516,0.2300396346448874,0
saopaulo,2,8108,0.07876788357178095,0.11333670477240994,0.8030669696655061,0.2300396346448874,0
saopaulo,3,1375,0.04767272727272727,0.3139785932535026,0.805002360501316,0.2300396346448874,0
saopaulo,4,1831,0.028836701256144185,0.37701202567873293,0.8057056148657089,0.2300396346448874,1
saopaulo,5,2366,0.05543110735418428,0.07516697299249561,0.8041889334821655,0.2300396346448874,0
saopaulo,6,3816,0.06019392033542977,0.09085096956486313,0.8041374568035196,0.2300396346448874,0
saopaulo,7,395,0.04544303797468354,0.7355708195551176,0.8044121127176186,0.2300396346448874,1
tokyo_tist,0,19120,0.03588389121338912,0.04174817381416286,0.803914150430279,0.04018420970480975,0
tokyo_tist,1,8635,0.017886508396062536,0.04735080520276776,0.8048780061029805,0.04018420970480975,0
tokyo_tist,2,28599,0.015191090597573342,0.016308799926063666,0.8049447114860708,0.04018420970480975,0
tokyo_tist,3,3207,0.03478328656064858,0.05532905987624471,0.8037878539452248,0.04018420970480975,0
