gamma,depth,n,city,K,eps,ari_mean,ari_min,n_iters,secs
0.3,2,3,istanbul,8,0.01,0.5360324030158393,0.44486805308415145,66,82.7
0.3,2,3,bangkok,4,0.03,0.49063784097541535,0.4260337488470289,10,6.3
0.3,2,3,nyc_tist,6,0.02,0.9985806271262284,0.9978709406893428,80,9.1
0.3,2,3,saopaulo,8,0.02,0.593438625717413,0.5018424867819671,42,8.9
0.3,2,3,tokyo_tist,4,0.05,0.675302965889078,0.5317211971568577,39,17.2
0.3,2,5,istanbul,8,0.01,0.5554298684763145,0.40583844616939896,63,73.3
0.3,2,5,bangkok,4,0.03,0.7436711687274017,0.6155067530911025,14,5.6
0.3,2,5,nyc_tist,6,0.02,0.9920351174942265,0.9890516446438995,80,8.3
0.3,2,5,saopaulo,8,0.02,0.7512263830441469,0.6866865131621466,80,14.2
0.3,2,5,tokyo_tist,4,0.05,0.7697844315401848,0.655421345758778,32,13.4
0.3,2,7,istanbul,8,0.01,0.6409920354674318,0.5984840355231222,44,55.1
0.3,2,7,bangkok,4,0.03,0.689408886421688,0.5341690712025251,11,5.1
0.3,2,7,nyc_tist,6,0.02,0.9038773863780222,0.8581046561495106,57,6.4
0.3,2,7,saopaulo,8,0.02,0.650077274985236,0.5559778393758551,40,7.9
0.3,2,7,tokyo_tist,4,0.05,0.5050997500269521,0.2978125447521629,55,20.0
0.3,2,10,istanbul,8,0.01,0.6222965300273181,0.5263383265505295,34,45.5
0.3,2,10,bangkok,4,0.03,0.5515479703418519,0.3274025079627511,24,7.6
0.3,2,10,nyc_tist,6,0.02,0.9919942357526512,0.9879924717606502,80,8.4
0.3,2,10,saopaulo,8,0.02,0.8668781319853273,0.8463130956212617,23,5.5
0.3,2,10,tokyo_tist,4,0.05,0.5530555864636405,0.535432049102526,31,13.3
0.3,3,3,istanbul,8,0.01,0.6746799401853608,0.5619797482038047,80,90.2
0.3,3,3,bangkok,4,0.03,0.8297657021182445,0.7744166802932549,17,6.2
0.3,3,3,nyc_tist,6,0.02,0.8193477646003414,0.7290216469005123,59,6.6
0.3,3,3,saopaulo,8,0.02,0.8987879404447218,0.8491398929246433,58,10.6
0.3,3,3,tokyo_tist,4,0.05,0.7843716190116199,0.6765574285174297,33,13.5
0.3,3,5,istanbul,8,0.01,0.5175031868194585,0.4502223420278839,55,65.8
0.3,3,5,bangkok,4,0.03,0.6449706571558507,0.47047764659216645,12,5.3
0.3,3,5,nyc_tist,6,0.02,0.893990343881725,0.8409855158225875,18,3.0
0.3,3,5,saopaulo,8,0.02,0.7296483797958722,0.6031144667230407,63,11.3
0.3,3,5,tokyo_tist,4,0.05,1.0,1.0,11,7.5
0.3,3,7,istanbul,8,0.01,0.7219440685866086,0.7078517346665668,51,62.5
0.3,3,7,bangkok,4,0.03,0.8481288738469225,0.7721933107703839,25,7.4
0.3,3,7,nyc_tist,6,0.02,0.9998013621904639,0.9997020432856958,22,3.4
0.3,3,7,saopaulo,8,0.02,0.6399507782248347,0.5270693213564656,80,14.1
0.3,3,7,tokyo_tist,4,0.05,0.9445988477556829,0.9168982716335242,33,13.8
0.3,3,10,istanbul,8,0.01,0.609295881495126,0.5014202916059344,63,74.3
0.3,3,10,bangkok,4,0.03,0.6473339854891096,0.4710009782336644,12,5.3
0.3,3,10,nyc_tist,6,0.02,0.8700068240537927,0.8050102360806889,18,3.1
0.3,3,10,saopaulo,8,0.02,0.9673092541047947,0.9622601079496114,80,14.0
0.3,3,10,tokyo_tist,4,0.05,0.9446362960066045,0.9169544440099067,33,13.3
0.3,4,3,istanbul,8,0.01,0.58839337318234,0.557380452910454,21,32.7
0.3,4,3,bangkok,4,0.03,0.7306700726483157,0.6993712172807696,13,5.5
0.3,4,3,nyc_tist,6,0.02,0.8270834691888611,0.7408246794889154,13,2.6
0.3,4,3,saopaulo,8,0.02,0.6118369532006097,0.46776319563009505,80,14.3
0.3,4,3,tokyo_tist,4,0.05,0.6289497372103213,0.45241327428568556,13,8.0
0.3,4,5,istanbul,8,0.01,0.6669645574969293,0.5617574077383056,52,63.5
0.3,4,5,bangkok,4,0.03,0.47391802154353374,0.28628345283580187,19,6.6
0.3,4,5,nyc_tist,6,0.02,0.8973723876915308,0.8460585815372964,44,5.3
0.3,4,5,saopaulo,8,0.02,0.9575171950603362,0.9368793167712387,80,13.9
0.3,4,5,tokyo_tist,4,0.05,0.8365206473299126,0.7590253519195259,58,20.8
0.3,4,7,istanbul,8,0.01,0.7383289500480329,0.677297820812609,39,50.4
0.3,4,7,bangkok,4,0.03,0.6492115483349358,0.4738173225024036,21,6.9
0.3,4,7,nyc_tist,6,0.02,0.8027389283811283,0.7335262470372824,18,3.0
0.3,4,7,saopaulo,8,0.02,0.7147199887585115,0.6417791268377097,73,13.0
0.3,4,7,tokyo_tist,4,0.05,0.5436204026994825,0.5127650068917805,36,14.6
0.3,4,10,istanbul,8,0.01,0.6465332292727504,0.5487737391348272,37,48.2
0.3,4,10,bangkok,4,0.03,0.8572439791768222,0.7859895599421732,15,5.7
0.3,4,10,nyc_tist,6,0.02,0.6620687630484128,0.5232258928719598,17,3.0
0.3,4,10,saopaulo,8,0.02,0.7249467144753364,0.6100764554381478,80,14.1
0.3,4,10,tokyo_tist,4,0.05,0.7338088392844196,0.6007132589266295,37,15.0
0.3,5,3,istanbul,8,0.01,0.6514963319786305,0.587586630995057,28,39.3
0.3,5,3,bangkok,4,0.03,0.853830107020365,0.7808044024864451,13,5.5
0.3,5,3,nyc_tist,6,0.02,0.7949437151528547,0.7163331757973105,80,8.4
0.3,5,3,saopaulo,8,0.02,0.8792643546221571,0.8310995771095205,50,9.4
0.3,5,3,tokyo_tist,4,0.05,0.9998733489733996,0.9998100242342923,13,8.3
0.3,5,5,istanbul,8,0.01,0.5803123804874256,0.5068296372414549,45,55.4
0.3,5,5,bangkok,4,0.03,0.8555592529332583,0.783339360794749,18,6.3
0.3,5,5,nyc_tist,6,0.02,0.8100511677806903,0.715247223915977,48,5.7
0.3,5,5,saopaulo,8,0.02,0.6310387773786702,0.4825685187715279,23,5.6
0.3,5,5,tokyo_tist,4,0.05,0.7643418988655201,0.6465128482982799,33,14.0
0.3,5,7,istanbul,8,0.01,0.7424726817156788,0.7247890762472099,39,49.0
0.3,5,7,bangkok,4,0.03,0.6042897303404068,0.5051315933803749,20,6.7
