gamma,depth,n,P,neigh_mean,plateau_width,self_ari
0.7,5,7,0.7656470984963945,0.7945325521381374,4,0.7656470984963945
0.3,5,5,0.7282606954891129,0.7611654335181525,1,0.7282606954891129
0.3,3,10,0.7171544909141578,0.763040479151539,2,0.8077164482298855
0.7,2,5,0.7017293678330164,0.7232471165366627,5,0.747115209250975
0.3,4,7,0.6897239636444181,0.7511741725322679,1,0.6897239636444181
0.3,4,10,0.6897239636444181,0.7447465809654806,1,0.7249203050515483
0.6,3,7,0.6888013768330541,0.7658942387430565,3,0.7583805645081163
0.7,2,7,0.6888013768330541,0.7324594222292125,4,0.7389357646800565
0.6,2,7,0.6839592317791092,0.7283731560330718,3,0.6888013768330541
0.6,2,3,0.6799736889238363,0.7143121822056363,4,0.6799736889238363
0.7,5,10,0.679089879710479,0.7751812823480098,2,0.8203947053097945
0.6,4,10,0.679089879710479,0.7399278051709347,2,0.6960858264574931
0.6,5,10,0.679089879710479,0.736251888176821,2,0.679089879710479
0.4,5,5,0.6785965211541658,0.7280363718301271,1,0.7324154400192697
0.3,5,7,0.6785965211541658,0.7174659606929893,3,0.7428108987084505
0.3,2,7,0.6778910666558661,0.7589072910038812,2,0.6778910666558661
0.3,2,10,0.6778910666558661,0.7284808376699751,1,0.7171544909141578
0.6,5,5,0.677750437740887,0.7626156096386004,3,0.8275925824842976
0.6,4,7,0.677750437740887,0.7455392888891124,4,0.7199136067238296
0.3,5,3,0.6773867210860895,0.7625689508425866,2,0.8358815715494814
0.3,4,5,0.6773867210860895,0.7195477985484969,3,0.7664585618244486
0.4,2,10,0.6771795642840077,0.7292396965982763,1,0.7111613448799913
0.6,2,10,0.6771795642840077,0.7259869492874202,1,0.6839592317791092
0.7,4,7,0.6756675901583196,0.7537779064483033,2,0.7998063598852725
0.6,4,5,0.6756675901583196,0.7415838609990761,2,0.677750437740887
0.3,4,3,0.6755777394606868,0.7513390374385528,2,0.6773867210860895
0.4,4,3,0.6755777394606868,0.7290866432414326,2,0.6755777394606868
0.6,5,7,0.6751561833936113,0.7453071985716363,2,0.8044438406212061
0.5,4,7,0.6751561833936113,0.738364913969418,1,0.7623943862869823
0.5,5,7,0.6751561833936113,0.7206334239328864,2,0.6751561833936113
0.5,3,10,0.6695325791277581,0.7353400267228039,2,0.6695325791277581
0.5,4,10,0.6695325791277581,0.7088312276064949,2,0.6902949215488516
0.5,2,10,0.6695325791277581,0.7047114665265024,1,0.6771795642840077
0.3,5,10,0.6675107392906537,0.7207949168798629,3,0.747937724468799
0.4,4,10,0.6675107392906537,0.720488885768141,4,0.7534344634327518
0.4,5,7,0.6675107392906537,0.7081227170683317,3,0.6785965211541658
0.4,5,10,0.6675107392906537,0.7057449274263005,2,0.6675107392906537
0.5,5,10,0.6675107392906537,0.6786593825457455,5,0.6812451887851318
