phase,param,value,val_CatMRR,K,eps
select,depth,2.0,0.37532,8,0.03
select,depth,3.0,0.37588,9,0.03
select,depth,4.0,0.37587,9,0.03
select,n,2.0,0.37236,9,0.03
select,n,3.0,0.37588,9,0.03
select,n,5.0,0.37994,9,0.02
select,gamma,0.3,0.37607,9,0.05
select,gamma,0.4,0.37994,9,0.02
select,gamma,0.5,0.3799,9,0.02
select,gamma,0.6,0.37936,7,0.02
sensitivity,beta,0.5,0.37698,8,0.02
sensitivity,beta,0.7,0.37994,9,0.02
sensitivity,beta,0.9,0.37643,9,0.02
sensitivity,H,1.0,0.3772,9,0.03
sensitivity,H,2.0,0.37994,9,0.02
sensitivity,H,3.0,0.36668,3,0.07
sensitivity,alpha,10.0,0.38066,9,0.02
sensitivity,alpha,50.0,0.37994,9,0.02
sensitivity,alpha,100.0,0.37949,9,0.02
sensitivity,alpha,200.0,0.3788,9,0.02
