phase,param,value,val_CatMRR,K,eps
select,depth,2.0,0.39221,3,0.03
select,depth,3.0,0.39932,4,0.03
select,depth,4.0,0.39902,4,0.03
select,n,2.0,0.39293,3,0.05
select,n,3.0,0.39932,4,0.03
select,n,5.0,0.39919,3,0.05
select,gamma,0.3,0.40044,4,0.05
select,gamma,0.4,0.39932,4,0.03
select,gamma,0.5,0.39995,3,0.05
select,gamma,0.6,0.39288,3,0.02
sensitivity,beta,0.5,0.39927,4,0.05
sensitivity,beta,0.7,0.40044,4,0.05
sensitivity,beta,0.9,0.40094,4,0.05
sensitivity,H,1.0,0.39612,4,0.03
sensitivity,H,2.0,0.40094,4,0.05
sensitivity,H,3.0,0.39988,3,0.05
sensitivity,alpha,10.0,0.40087,4,0.05
sensitivity,alpha,50.0,0.40094,4,0.05
sensitivity,alpha,100.0,0.40099,4,0.05
sensitivity,alpha,200.0,0.40101,4,0.05
