phase,param,value,val_CatMRR,K,eps
select,depth,2.0,0.31299,3,0.02
select,depth,3.0,0.31313,3,0.01
select,depth,4.0,0.32035,5,0.01
select,n,2.0,0.31787,5,0.01
select,n,3.0,0.32035,5,0.01
select,n,5.0,0.31925,5,0.01
select,gamma,0.3,0.31141,3,0.01
select,gamma,0.4,0.32035,5,0.01
select,gamma,0.5,0.32083,5,0.01
select,gamma,0.6,0.31606,3,0.02
sensitivity,beta,0.5,0.31983,5,0.01
sensitivity,beta,0.7,0.32083,5,0.01
sensitivity,beta,0.9,0.31272,3,0.02
sensitivity,H,1.0,0.31168,3,0.02
sensitivity,H,2.0,0.31563,4,0.01
sensitivity,H,3.0,0.3145,3,0.02
sensitivity,alpha,10.0,0.31563,4,0.01
sensitivity,alpha,50.0,0.31563,4,0.01
sensitivity,alpha,100.0,0.31563,4,0.01
sensitivity,alpha,200.0,0.32082,5,0.01
