phase,param,value,val_CatMRR,K,eps
select,depth,2.0,0.2522,3,0.01
select,depth,3.0,0.25185,3,0.01
select,depth,4.0,0.25252,3,0.01
select,n,2.0,0.26595,7,0.01
select,n,3.0,0.25252,3,0.01
select,n,5.0,0.26893,6,0.01
select,gamma,0.3,0.25118,3,0.01
select,gamma,0.4,0.26893,6,0.01
select,gamma,0.5,0.25632,3,0.01
select,gamma,0.6,0.25857,3,0.01
sensitivity,beta,0.5,0.25359,3,0.01
sensitivity,beta,0.7,0.26893,6,0.01
sensitivity,beta,0.9,0.2531,3,0.01
sensitivity,H,1.0,0.26519,7,0.01
sensitivity,H,2.0,0.26893,6,0.01
sensitivity,H,3.0,0.25328,3,0.01
sensitivity,alpha,10.0,0.26884,6,0.01
sensitivity,alpha,50.0,0.26893,6,0.01
sensitivity,alpha,100.0,0.26893,6,0.01
sensitivity,alpha,200.0,0.26881,6,0.01
