phase,param,value,val_CatMRR,K,eps
select,depth,2.0,0.31428,3,0.02
select,depth,3.0,0.31547,3,0.02
select,depth,4.0,0.3162,3,0.02
select,n,2.0,0.31462,3,0.02
select,n,3.0,0.3162,3,0.02
select,n,5.0,0.3171,3,0.02
select,gamma,0.3,0.30384,3,0.01
select,gamma,0.4,0.3171,3,0.02
select,gamma,0.5,0.35213,4,0.02
select,gamma,0.6,0.35228,4,0.02
sensitivity,beta,0.5,0.31545,3,0.01
sensitivity,beta,0.7,0.35228,4,0.02
sensitivity,beta,0.9,0.31219,3,0.01
sensitivity,H,1.0,0.34943,3,0.01
sensitivity,H,2.0,0.35228,4,0.02
sensitivity,H,3.0,0.34586,6,0.01
sensitivity,alpha,10.0,0.31304,3,0.01
sensitivity,alpha,50.0,0.35228,4,0.02
sensitivity,alpha,100.0,0.31299,3,0.01
sensitivity,alpha,200.0,0.35203,4,0.02
