phase,param,value,val_CatMRR,K,eps
select,depth,2.0,0.38749,3,0.1
select,depth,3.0,0.38569,3,0.07
select,depth,4.0,0.3868,3,0.1
select,n,2.0,0.38617,3,0.1
select,n,3.0,0.38749,3,0.1
select,n,5.0,0.38846,3,0.1
select,gamma,0.3,0.38559,3,0.1
select,gamma,0.4,0.38846,3,0.1
select,gamma,0.5,0.38985,3,0.07
select,gamma,0.6,0.39024,3,0.05
sensitivity,beta,0.5,0.39002,3,0.05
sensitivity,beta,0.7,0.39024,3,0.05
sensitivity,beta,0.9,0.38869,4,0.03
sensitivity,H,1.0,0.38878,3,0.07
sensitivity,H,2.0,0.39024,3,0.05
sensitivity,H,3.0,0.39426,5,0.03
sensitivity,alpha,10.0,0.39426,5,0.03
sensitivity,alpha,50.0,0.39426,5,0.03
sensitivity,alpha,100.0,0.39425,5,0.03
sensitivity,alpha,200.0,0.39425,5,0.03
