phase,param,value,val_CatMRR,K,eps
select,depth,2.0,0.33295,6,0.03
select,depth,3.0,0.33131,7,0.03
select,depth,4.0,0.33266,8,0.02
select,n,2.0,0.33381,5,0.03
select,n,3.0,0.33295,6,0.03
select,n,5.0,0.3281,5,0.03
select,gamma,0.3,0.32671,6,0.03
select,gamma,0.4,0.33381,5,0.03
select,gamma,0.5,0.34219,8,0.02
select,gamma,0.6,0.32901,6,0.02
sensitivity,beta,0.5,0.34601,8,0.02
sensitivity,beta,0.7,0.34219,8,0.02
sensitivity,beta,0.9,0.33455,5,0.02
sensitivity,H,1.0,0.32124,3,0.07
sensitivity,H,2.0,0.34601,8,0.02
sensitivity,H,3.0,0.31851,3,0.03
sensitivity,alpha,10.0,0.34601,8,0.02
sensitivity,alpha,50.0,0.34601,8,0.02
sensitivity,alpha,100.0,0.3465,8,0.02
sensitivity,alpha,200.0,0.34653,8,0.02
