phase,param,value,val_CatMRR,K,eps
select,depth,2.0,0.40285,3,0.05
select,depth,3.0,0.40336,3,0.05
select,depth,4.0,0.40353,3,0.05
select,n,2.0,0.38575,3,0.05
select,n,3.0,0.40353,3,0.05
select,n,5.0,0.40493,3,0.05
select,gamma,0.3,0.40818,4,0.03
select,gamma,0.4,0.40493,3,0.05
select,gamma,0.5,0.40699,3,0.05
select,gamma,0.6,0.40803,3,0.05
sensitivity,beta,0.5,0.40046,3,0.05
sensitivity,beta,0.7,0.40818,4,0.03
sensitivity,beta,0.9,0.39816,3,0.07
sensitivity,H,1.0,0.39948,3,0.07
sensitivity,H,2.0,0.40818,4,0.03
sensitivity,H,3.0,0.39228,4,0.05
sensitivity,alpha,10.0,0.40819,4,0.03
sensitivity,alpha,50.0,0.40818,4,0.03
sensitivity,alpha,100.0,0.40818,4,0.03
sensitivity,alpha,200.0,0.4082,4,0.03
