phase,param,value,val_CatMRR,K,eps
select,depth,2.0,0.61643,3,0.1
select,depth,3.0,0.61654,4,0.05
select,depth,4.0,0.60382,3,0.1
select,n,2.0,0.6215,4,0.07
select,n,3.0,0.61654,4,0.05
select,n,5.0,0.61929,4,0.05
select,gamma,0.3,0.62249,4,0.07
select,gamma,0.4,0.6215,4,0.07
select,gamma,0.5,0.60234,3,0.1
select,gamma,0.6,0.62222,3,0.07
sensitivity,beta,0.5,0.6228,4,0.07
sensitivity,beta,0.7,0.62249,4,0.07
sensitivity,beta,0.9,0.60236,3,0.1
sensitivity,H,1.0,0.60554,3,0.07
sensitivity,H,2.0,0.6228,4,0.07
sensitivity,H,3.0,0.62174,4,0.05
sensitivity,alpha,10.0,0.62281,4,0.07
sensitivity,alpha,50.0,0.6228,4,0.07
sensitivity,alpha,100.0,0.62279,4,0.07
sensitivity,alpha,200.0,0.6228,4,0.07
