phase,param,value,val_CatMRR,K,eps
select,depth,2.0,0.28548,7,0.02
select,depth,3.0,0.24935,4,0.03
select,depth,4.0,0.29192,7,0.02
select,n,2.0,0.27805,6,0.03
select,n,3.0,0.29192,7,0.02
select,n,5.0,0.28388,6,0.02
select,gamma,0.3,0.28576,7,0.02
select,gamma,0.4,0.29192,7,0.02
select,gamma,0.5,0.28216,6,0.02
select,gamma,0.6,0.25801,4,0.03
sensitivity,beta,0.5,0.28831,7,0.03
sensitivity,beta,0.7,0.29192,7,0.02
sensitivity,beta,0.9,0.22351,3,0.05
sensitivity,H,1.0,0.28547,6,0.05
sensitivity,H,2.0,0.29192,7,0.02
sensitivity,H,3.0,0.27606,6,0.02
sensitivity,alpha,10.0,0.29139,7,0.02
sensitivity,alpha,50.0,0.29192,7,0.02
sensitivity,alpha,100.0,0.29192,7,0.02
sensitivity,alpha,200.0,0.29193,7,0.02
