phase,param,value,val_CatMRR,K,eps
select,depth,2.0,0.57831,3,0.05
select,depth,3.0,0.5793,3,0.05
select,depth,4.0,0.57493,3,0.05
select,n,2.0,0.56976,3,0.05
select,n,3.0,0.5793,3,0.05
select,n,5.0,0.57882,3,0.05
select,gamma,0.3,0.54928,3,0.05
select,gamma,0.4,0.5793,3,0.05
select,gamma,0.5,0.54722,3,0.05
select,gamma,0.6,0.57775,3,0.05
sensitivity,beta,0.5,0.57093,3,0.05
sensitivity,beta,0.7,0.5793,3,0.05
sensitivity,beta,0.9,0.5477,3,0.05
sensitivity,H,1.0,0.56605,3,0.05
sensitivity,H,2.0,0.5793,3,0.05
sensitivity,H,3.0,0.58681,4,0.05
sensitivity,alpha,10.0,0.5868,4,0.05
sensitivity,alpha,50.0,0.58681,4,0.05
sensitivity,alpha,100.0,0.5868,4,0.05
sensitivity,alpha,200.0,0.58681,4,0.05
