phase,param,value,val_CatMRR,K,eps
select,depth,2.0,0.8064,3,0.02
select,depth,3.0,0.80281,4,0.02
select,depth,4.0,0.80453,4,0.01
select,n,2.0,0.82361,3,0.05
select,n,3.0,0.8064,3,0.02
select,n,5.0,0.82949,3,0.05
select,gamma,0.3,0.82349,3,0.05
select,gamma,0.4,0.82949,3,0.05
select,gamma,0.5,0.80606,4,0.01
select,gamma,0.6,0.80464,4,0.02
sensitivity,beta,0.5,0.8057,4,0.02
sensitivity,beta,0.7,0.82949,3,0.05
sensitivity,beta,0.9,0.80582,4,0.02
sensitivity,H,1.0,0.80599,3,0.02
sensitivity,H,2.0,0.82949,3,0.05
sensitivity,H,3.0,0.80736,3,0.01
sensitivity,alpha,10.0,0.82949,3,0.05
sensitivity,alpha,50.0,0.82949,3,0.05
sensitivity,alpha,100.0,0.82949,3,0.05
sensitivity,alpha,200.0,0.82949,3,0.05
