dataset,check,block,key,subkey,metric,value,n,note
nyc_tist,A2,population,n_users_total,,value,4113.0,4113,
nyc_tist,A2,population,n_users_multi,,value,311.0,4113,
nyc_tist,A2,population,share_users_multi,,value,0.07561390712375395,4113,
nyc_tist,A2,population,n_req_multi,,value,1759.0,17702,
nyc_tist,A2,population,share_req_multi,,value,0.09936730312958987,17702,
nyc_tist,A2,variance_multi_situation,ss_user_alone,,value,0.3212225987121236,1759,
nyc_tist,A2,variance_multi_situation,ss_sit_alone,,value,0.035939204875106705,1759,
nyc_tist,A2,variance_multi_situation,ss_sit_given_user,,value,0.003296651626615413,1759,
nyc_tist,A2,variance_multi_situation,ss_user_given_sit,,value,0.28858004546363236,1759,
nyc_tist,A2,variance_multi_situation,ss_residual,,value,0.6754807496612609,1759,
nyc_tist,A2,variance_multi_situation,icc_user,,value,0.17660058538867324,1759,
nyc_tist,A2,variance_multi_situation,icc_sit,,value,0.04008311067411449,1759,
nyc_tist,A2,variance_mono_situation,ss_user_alone,,value,0.40685556501413,15943,
nyc_tist,A2,variance_mono_situation,ss_sit_alone,,value,0.019805436495652477,15943,
nyc_tist,A2,variance_mono_situation,ss_sit_given_user,,value,-1.7470647144676139e-16,15943,
nyc_tist,A2,variance_mono_situation,ss_user_given_sit,,value,0.3870501285184774,15943,
nyc_tist,A2,variance_mono_situation,ss_residual,,value,0.5931444349858701,15943,
nyc_tist,A2,variance_mono_situation,icc_user,,value,0.22122612521573298,15943,
nyc_tist,A2,variance_mono_situation,icc_sit,,value,0.022873405908814638,15943,
nyc_tist,A2,within_user,kruskal_H_dev_by_situation,,value,2.8052427879087953,622,
nyc_tist,A2,within_user,kruskal_p,,value,0.7299808927201993,622,
nyc_tist,A2,spread_permutation,spread_median_observed,,value,0.17222222222222222,311,
nyc_tist,A2,spread_permutation,spread_median_null_mean,,value,0.17185125504979182,311,
nyc_tist,A2,spread_permutation,spread_median_null_p95,,value,0.19446180555555553,311,
nyc_tist,A2,spread_permutation,perm_p_onesided,,value,0.3532934131736527,311,
nyc_tist,A2,spread_permutation,n_perm,,value,500.0,311,
nyc_tist,A2,simpson_by_situation,sit_0,,delta_sit_base,0.09304902912893748,3146,
nyc_tist,A2,simpson_by_situation,sit_1,,delta_sit_base,0.09262316088940181,2974,
nyc_tist,A2,simpson_by_situation,sit_2,,delta_sit_base,0.04373070382461591,1154,
nyc_tist,A2,simpson_by_situation,sit_3,,delta_sit_base,0.11387832344015675,3716,
nyc_tist,A2,simpson_by_situation,sit_4,,delta_sit_base,0.011631998905590413,254,
nyc_tist,A2,simpson_by_situation,sit_5,,delta_sit_base,0.004180921147285022,1531,
nyc_tist,A2,simpson_by_situation,sit_6,,delta_sit_base,-0.020348398658097122,1946,
nyc_tist,A2,simpson_by_situation,sit_7,,delta_sit_base,0.0247134750214498,2981,
nyc_tist,A2,simpson_by_situation,AGGREGATE,,delta_sit_base,0.06130714108523028,17702,
nyc_tist,A2,simpson_by_situation,n_situations_positive,,value,7.0,8,
