dataset,check,block,key,subkey,metric,value,n,note
saopaulo,A2,population,n_users_total,,value,4395.0,4395,
saopaulo,A2,population,n_users_multi,,value,1437.0,4395,
saopaulo,A2,population,share_users_multi,,value,0.326962457337884,4395,
saopaulo,A2,population,n_req_multi,,value,9794.0,23821,
saopaulo,A2,population,share_req_multi,,value,0.41114982578397213,23821,
saopaulo,A2,variance_multi_situation,ss_user_alone,,value,0.2762865541347668,9794,
saopaulo,A2,variance_multi_situation,ss_sit_alone,,value,0.005436738561132494,9794,
saopaulo,A2,variance_multi_situation,ss_sit_given_user,,value,0.0037117552988746327,9794,
saopaulo,A2,variance_multi_situation,ss_user_given_sit,,value,0.27456157087250904,9794,
saopaulo,A2,variance_multi_situation,ss_residual,,value,0.7200016905663584,9794,
saopaulo,A2,variance_multi_situation,icc_user,,value,0.15206613684150558,9794,
saopaulo,A2,variance_multi_situation,icc_sit,,value,0.007463285519244677,9794,
saopaulo,A2,variance_mono_situation,ss_user_alone,,value,0.40821096381262134,14027,
saopaulo,A2,variance_mono_situation,ss_sit_alone,,value,0.05303140086432096,14027,
saopaulo,A2,variance_mono_situation,ss_sit_given_user,,value,8.638802469978012e-17,14027,
saopaulo,A2,variance_mono_situation,ss_user_given_sit,,value,0.35517956294830044,14027,
saopaulo,A2,variance_mono_situation,ss_residual,,value,0.5917890361873785,14027,
saopaulo,A2,variance_mono_situation,icc_user,,value,0.25022251083150115,14027,
saopaulo,A2,variance_mono_situation,icc_sit,,value,0.08180253882862767,14027,
saopaulo,A2,within_user,kruskal_H_dev_by_situation,,value,50.8064760360417,2920,
saopaulo,A2,within_user,kruskal_p,,value,5.379257732580041e-11,2920,
saopaulo,A2,spread_permutation,spread_median_observed,,value,0.2462962962962964,1437,
saopaulo,A2,spread_permutation,spread_median_null_mean,,value,0.2195248019684438,1437,
saopaulo,A2,spread_permutation,spread_median_null_p95,,value,0.2296759259259259,1437,
saopaulo,A2,spread_permutation,perm_p_onesided,,value,0.001996007984031936,1437,
saopaulo,A2,spread_permutation,n_perm,,value,500.0,1437,
saopaulo,A2,simpson_by_situation,sit_0,,delta_sit_base,0.04732174130106209,6449,
saopaulo,A2,simpson_by_situation,sit_1,,delta_sit_base,0.011228159824955397,4316,
saopaulo,A2,simpson_by_situation,sit_2,,delta_sit_base,0.037009200750078575,10625,
saopaulo,A2,simpson_by_situation,sit_3,,delta_sit_base,0.0417926288911295,2431,
saopaulo,A2,simpson_by_situation,AGGREGATE,,delta_sit_base,0.03561812208803056,23821,
saopaulo,A2,simpson_by_situation,n_situations_positive,,value,4.0,4,
