dataset,check,block,key,subkey,metric,value,n,note
ml1m,C2,horizon,train,entropy_norm,p25,0.6952059991180788,6040,
ml1m,C2,horizon,train,entropy_norm,median,0.8195868955087653,6040,
ml1m,C2,horizon,train,entropy_norm,p75,0.9041885496017715,6040,
ml1m,C2,horizon,train,dominant_share,p25,0.35714285714285715,6040,
ml1m,C2,horizon,train,dominant_share,median,0.43500458649157536,6040,
ml1m,C2,horizon,train,dominant_share,p75,0.5510858189429617,6040,
ml1m,C2,horizon,train,n_distinct_sit,p25,4.0,6040,
ml1m,C2,horizon,train,n_distinct_sit,median,5.0,6040,
ml1m,C2,horizon,train,n_distinct_sit,p75,5.0,6040,
ml1m,C2,horizon,train,share_users_dominant_gt80,value,0.04056291390728477,6040,
ml1m,C2,horizon,train,n_users_ge5,value,6040.0,6040,
ml1m,C2,horizon,val,entropy_norm,p25,-0.0,4516,
ml1m,C2,horizon,val,entropy_norm,median,-0.0,4516,
ml1m,C2,horizon,val,entropy_norm,p75,0.3493984702822971,4516,
ml1m,C2,horizon,val,dominant_share,p25,0.7692307692307693,4516,
ml1m,C2,horizon,val,dominant_share,median,1.0,4516,
ml1m,C2,horizon,val,dominant_share,p75,1.0,4516,
ml1m,C2,horizon,val,n_distinct_sit,p25,1.0,4516,
ml1m,C2,horizon,val,n_distinct_sit,median,1.0,4516,
ml1m,C2,horizon,val,n_distinct_sit,p75,2.0,4516,
ml1m,C2,horizon,val,share_users_dominant_gt80,value,0.6990699734278122,4516,
ml1m,C2,horizon,val,n_users_ge5,value,4516.0,4516,
ml1m,C2,horizon,test,entropy_norm,p25,0.0,4293,
ml1m,C2,horizon,test,entropy_norm,median,0.0,4293,
ml1m,C2,horizon,test,entropy_norm,p75,0.36407283174867,4293,
ml1m,C2,horizon,test,dominant_share,p25,0.75,4293,
ml1m,C2,horizon,test,dominant_share,median,1.0,4293,
ml1m,C2,horizon,test,dominant_share,p75,1.0,4293,
ml1m,C2,horizon,test,n_distinct_sit,p25,1.0,4293,
ml1m,C2,horizon,test,n_distinct_sit,median,1.0,4293,
ml1m,C2,horizon,test,n_distinct_sit,p75,2.0,4293,
ml1m,C2,horizon,test,share_users_dominant_gt80,value,0.6836710924761239,4293,
ml1m,C2,horizon,test,n_users_ge5,value,4293.0,4293,
ml1m,C2,horizon,all,entropy_norm,p25,0.6988863696963475,6040,
ml1m,C2,horizon,all,entropy_norm,median,0.8241123916683768,6040,
ml1m,C2,horizon,all,entropy_norm,p75,0.9063060868447143,6040,
ml1m,C2,horizon,all,dominant_share,p25,0.35364694426411947,6040,
ml1m,C2,horizon,all,dominant_share,median,0.42932852386237513,6040,
ml1m,C2,horizon,all,dominant_share,p75,0.55,6040,
ml1m,C2,horizon,all,n_distinct_sit,p25,4.0,6040,
ml1m,C2,horizon,all,n_distinct_sit,median,5.0,6040,
ml1m,C2,horizon,all,n_distinct_sit,p75,5.0,6040,
ml1m,C2,horizon,all,share_users_dominant_gt80,value,0.0390728476821192,6040,
ml1m,C2,horizon,all,n_users_ge5,value,6040.0,6040,
ml1m,C2,split_geometry,median_timeline_len,,value,96.0,6040,
ml1m,C2,split_geometry,median_test_len,,value,9.0,6040,
ml1m,C2,split_geometry,median_test_share,,value,0.0963855421686747,6040,
ml1m,C2,split_geometry,users_test_strictly_before_train_end,,value,0.0,6040,violazione stretta = fuga di futuro; 0 = split causale
ml1m,C2,split_geometry,users_timestamp_tie_train_test,,value,120.0,6040,"pareggio esatto sul confine: timestamp a risoluzione di secondo, non leakage"
