dataset,check,block,key,subkey,metric,value,n,note
nyc_tist,C2,horizon,train,entropy_norm,p25,0.6026456168129438,4113,
nyc_tist,C2,horizon,train,entropy_norm,median,0.7026110702748711,4113,
nyc_tist,C2,horizon,train,entropy_norm,p75,0.7828562696034859,4113,
nyc_tist,C2,horizon,train,dominant_share,p25,0.3333333333333333,4113,
nyc_tist,C2,horizon,train,dominant_share,median,0.4,4113,
nyc_tist,C2,horizon,train,dominant_share,p75,0.5,4113,
nyc_tist,C2,horizon,train,n_distinct_sit,p25,5.0,4113,
nyc_tist,C2,horizon,train,n_distinct_sit,median,6.0,4113,
nyc_tist,C2,horizon,train,n_distinct_sit,p75,7.0,4113,
nyc_tist,C2,horizon,train,share_users_dominant_gt80,value,0.018477996596158522,4113,
nyc_tist,C2,horizon,train,n_users_ge5,value,4113.0,4113,
nyc_tist,C2,horizon,val,entropy_norm,p25,-0.0,1068,
nyc_tist,C2,horizon,val,entropy_norm,median,-0.0,1068,
nyc_tist,C2,horizon,val,entropy_norm,p75,0.0,1068,
nyc_tist,C2,horizon,val,dominant_share,p25,1.0,1068,
nyc_tist,C2,horizon,val,dominant_share,median,1.0,1068,
nyc_tist,C2,horizon,val,dominant_share,p75,1.0,1068,
nyc_tist,C2,horizon,val,n_distinct_sit,p25,1.0,1068,
nyc_tist,C2,horizon,val,n_distinct_sit,median,1.0,1068,
nyc_tist,C2,horizon,val,n_distinct_sit,p75,1.0,1068,
nyc_tist,C2,horizon,val,share_users_dominant_gt80,value,0.9288389513108615,1068,
nyc_tist,C2,horizon,val,n_users_ge5,value,1068.0,1068,
nyc_tist,C2,horizon,test,entropy_norm,p25,-0.0,1271,
nyc_tist,C2,horizon,test,entropy_norm,median,0.0,1271,
nyc_tist,C2,horizon,test,entropy_norm,p75,-0.0,1271,
nyc_tist,C2,horizon,test,dominant_share,p25,1.0,1271,
nyc_tist,C2,horizon,test,dominant_share,median,1.0,1271,
nyc_tist,C2,horizon,test,dominant_share,p75,1.0,1271,
nyc_tist,C2,horizon,test,n_distinct_sit,p25,1.0,1271,
nyc_tist,C2,horizon,test,n_distinct_sit,median,1.0,1271,
nyc_tist,C2,horizon,test,n_distinct_sit,p75,1.0,1271,
nyc_tist,C2,horizon,test,share_users_dominant_gt80,value,0.919748229740362,1271,
nyc_tist,C2,horizon,test,n_users_ge5,value,1271.0,1271,
nyc_tist,C2,horizon,all,entropy_norm,p25,0.6100402927357275,4113,
nyc_tist,C2,horizon,all,entropy_norm,median,0.7053727379260987,4113,
nyc_tist,C2,horizon,all,entropy_norm,p75,0.7842485936239565,4113,
nyc_tist,C2,horizon,all,dominant_share,p25,0.3235294117647059,4113,
nyc_tist,C2,horizon,all,dominant_share,median,0.4,4113,
nyc_tist,C2,horizon,all,dominant_share,p75,0.49122807017543857,4113,
nyc_tist,C2,horizon,all,n_distinct_sit,p25,5.0,4113,
nyc_tist,C2,horizon,all,n_distinct_sit,median,6.0,4113,
nyc_tist,C2,horizon,all,n_distinct_sit,p75,7.0,4113,
nyc_tist,C2,horizon,all,share_users_dominant_gt80,value,0.017019207391198637,4113,
nyc_tist,C2,horizon,all,n_users_ge5,value,4113.0,4113,
nyc_tist,C2,split_geometry,median_timeline_len,,value,28.0,4113,
nyc_tist,C2,split_geometry,median_test_len,,value,3.0,4113,
nyc_tist,C2,split_geometry,median_test_share,,value,0.11428571428571428,4113,
nyc_tist,C2,split_geometry,users_test_strictly_before_train_end,,value,0.0,4113,violazione stretta = fuga di futuro; 0 = split causale
nyc_tist,C2,split_geometry,users_timestamp_tie_train_test,,value,0.0,4113,"pareggio esatto sul confine: timestamp a risoluzione di secondo, non leakage"
