dataset,check,block,key,subkey,metric,value,n,note
saopaulo,C2,horizon,train,entropy_norm,p25,0.5299159111626948,4395,
saopaulo,C2,horizon,train,entropy_norm,median,0.7141687445797399,4395,
saopaulo,C2,horizon,train,entropy_norm,p75,0.835656133036673,4395,
saopaulo,C2,horizon,train,dominant_share,p25,0.4666666666666667,4395,
saopaulo,C2,horizon,train,dominant_share,median,0.5952380952380952,4395,
saopaulo,C2,horizon,train,dominant_share,p75,0.75,4395,
saopaulo,C2,horizon,train,n_distinct_sit,p25,3.0,4395,
saopaulo,C2,horizon,train,n_distinct_sit,median,4.0,4395,
saopaulo,C2,horizon,train,n_distinct_sit,p75,4.0,4395,
saopaulo,C2,horizon,train,share_users_dominant_gt80,value,0.16860068259385666,4395,
saopaulo,C2,horizon,train,n_users_ge5,value,4395.0,4395,
saopaulo,C2,horizon,val,entropy_norm,p25,0.0,1610,
saopaulo,C2,horizon,val,entropy_norm,median,-0.0,1610,
saopaulo,C2,horizon,val,entropy_norm,p75,0.36096404744368116,1610,
saopaulo,C2,horizon,val,dominant_share,p25,0.8,1610,
saopaulo,C2,horizon,val,dominant_share,median,1.0,1610,
saopaulo,C2,horizon,val,dominant_share,p75,1.0,1610,
saopaulo,C2,horizon,val,n_distinct_sit,p25,1.0,1610,
saopaulo,C2,horizon,val,n_distinct_sit,median,1.0,1610,
saopaulo,C2,horizon,val,n_distinct_sit,p75,2.0,1610,
saopaulo,C2,horizon,val,share_users_dominant_gt80,value,0.7198757763975155,1610,
saopaulo,C2,horizon,val,n_users_ge5,value,1610.0,1610,
saopaulo,C2,horizon,test,entropy_norm,p25,-0.0,1888,
saopaulo,C2,horizon,test,entropy_norm,median,-0.0,1888,
saopaulo,C2,horizon,test,entropy_norm,p75,0.36096404744368116,1888,
saopaulo,C2,horizon,test,dominant_share,p25,0.8,1888,
saopaulo,C2,horizon,test,dominant_share,median,1.0,1888,
saopaulo,C2,horizon,test,dominant_share,p75,1.0,1888,
saopaulo,C2,horizon,test,n_distinct_sit,p25,1.0,1888,
saopaulo,C2,horizon,test,n_distinct_sit,median,1.0,1888,
saopaulo,C2,horizon,test,n_distinct_sit,p75,2.0,1888,
saopaulo,C2,horizon,test,share_users_dominant_gt80,value,0.6975635593220338,1888,
saopaulo,C2,horizon,test,n_users_ge5,value,1888.0,1888,
saopaulo,C2,horizon,all,entropy_norm,p25,0.5337233097441356,4395,
saopaulo,C2,horizon,all,entropy_norm,median,0.7185907016043819,4395,
saopaulo,C2,horizon,all,entropy_norm,p75,0.8413713628124978,4395,
saopaulo,C2,horizon,all,dominant_share,p25,0.46446608946608947,4395,
saopaulo,C2,horizon,all,dominant_share,median,0.5869565217391305,4395,
saopaulo,C2,horizon,all,dominant_share,p75,0.75,4395,
saopaulo,C2,horizon,all,n_distinct_sit,p25,3.0,4395,
saopaulo,C2,horizon,all,n_distinct_sit,median,4.0,4395,
saopaulo,C2,horizon,all,n_distinct_sit,p75,4.0,4395,
saopaulo,C2,horizon,all,share_users_dominant_gt80,value,0.17042093287827076,4395,
saopaulo,C2,horizon,all,n_users_ge5,value,4395.0,4395,
saopaulo,C2,split_geometry,median_timeline_len,,value,36.0,4395,
saopaulo,C2,split_geometry,median_test_len,,value,4.0,4395,
saopaulo,C2,split_geometry,median_test_share,,value,0.1111111111111111,4395,
saopaulo,C2,split_geometry,users_test_strictly_before_train_end,,value,0.0,4395,violazione stretta = fuga di futuro; 0 = split causale
saopaulo,C2,split_geometry,users_timestamp_tie_train_test,,value,0.0,4395,"pareggio esatto sul confine: timestamp a risoluzione di secondo, non leakage"
