dataset,check,block,key,subkey,metric,value,n,note
ml1m,D,gender,majority_baseline,,value,0.7170529801324503,6040,
ml1m,D,gender,n_classes,,value,2.0,6040,
ml1m,D,gender,cv_folds,,value,5.0,6040,
ml1m,D,gender,a_situation_label,accuracy,value,0.7170529801324503,6040,baseline_maggioranza=0.7171
ml1m,D,gender,a_situation_label,balanced_accuracy,value,0.5,6040,baseline_bilanciata=0.5000
ml1m,D,gender,a_situation_label,acc_minus_majority,value,0.0,6040,
ml1m,D,gender,b_situation_histogram,accuracy,value,0.7259933774834437,6040,baseline_maggioranza=0.7171
ml1m,D,gender,b_situation_histogram,balanced_accuracy,value,0.5496290098503326,6040,baseline_bilanciata=0.5000
ml1m,D,gender,b_situation_histogram,acc_minus_majority,value,0.00894039735099339,6040,
ml1m,D,gender,c_item_history,accuracy,value,0.7801324503311259,6040,baseline_maggioranza=0.7171
ml1m,D,gender,c_item_history,balanced_accuracy,value,0.7189817337390612,6040,baseline_bilanciata=0.5000
ml1m,D,gender,c_item_history,acc_minus_majority,value,0.06307947019867555,6040,
ml1m,D,age,majority_baseline,,value,0.34701986754966885,6040,
ml1m,D,age,n_classes,,value,7.0,6040,
ml1m,D,age,cv_folds,,value,5.0,6040,
ml1m,D,age,a_situation_label,accuracy,value,0.34701986754966885,6040,baseline_maggioranza=0.3470
ml1m,D,age,a_situation_label,balanced_accuracy,value,0.14285714285714285,6040,baseline_bilanciata=0.1429
ml1m,D,age,a_situation_label,acc_minus_majority,value,0.0,6040,
ml1m,D,age,b_situation_histogram,accuracy,value,0.3468543046357616,6040,baseline_maggioranza=0.3470
ml1m,D,age,b_situation_histogram,balanced_accuracy,value,0.1432883518650895,6040,baseline_bilanciata=0.1429
ml1m,D,age,b_situation_histogram,acc_minus_majority,value,-0.00016556291390723565,6040,
ml1m,D,age,c_item_history,accuracy,value,0.4730132450331126,6040,baseline_maggioranza=0.3470
ml1m,D,age,c_item_history,balanced_accuracy,value,0.3825114888844676,6040,baseline_bilanciata=0.1429
ml1m,D,age,c_item_history,acc_minus_majority,value,0.12599337748344375,6040,
ml1m,D,occupation,majority_baseline,,value,0.12566225165562914,6040,
ml1m,D,occupation,n_classes,,value,21.0,6040,
ml1m,D,occupation,cv_folds,,value,5.0,6040,
ml1m,D,occupation,a_situation_label,accuracy,value,0.1326158940397351,6040,baseline_maggioranza=0.1257
ml1m,D,occupation,a_situation_label,balanced_accuracy,value,0.052144013442188525,6040,baseline_bilanciata=0.0476
ml1m,D,occupation,a_situation_label,acc_minus_majority,value,0.006953642384105951,6040,
ml1m,D,occupation,b_situation_histogram,accuracy,value,0.1390728476821192,6040,baseline_maggioranza=0.1257
ml1m,D,occupation,b_situation_histogram,balanced_accuracy,value,0.058275401272964475,6040,baseline_bilanciata=0.0476
ml1m,D,occupation,b_situation_histogram,acc_minus_majority,value,0.013410596026490057,6040,
ml1m,D,occupation,c_item_history,accuracy,value,0.15033112582781458,6040,baseline_maggioranza=0.1257
ml1m,D,occupation,c_item_history,balanced_accuracy,value,0.09388036042128917,6040,baseline_bilanciata=0.0476
ml1m,D,occupation,c_item_history,acc_minus_majority,value,0.02466887417218544,6040,
