dataset,bucket,n_req_mean_per_seed,n_users,sit,base,delta,ci_lo,ci_hi,sit_ci_lo,sit_ci_hi,base_ci_lo,base_ci_hi,preregistered
ml1m,d=0,14314.0,2661.0,0.33533,0.34704,-0.01171,-0.01594,-0.00721,0.32688,0.34436,0.33777,0.35718,1
ml1m,d1-2,11067.0,2230.0,0.33332,0.34221,-0.00889,-0.01428,-0.00325,0.32405,0.34253,0.33208,0.35173,1
ml1m,d3-5,6581.0,1523.0,0.33812,0.33962,-0.00149,-0.00953,0.00587,0.3262,0.35051,0.32644,0.35319,1
ml1m,d>5,9496.0,868.0,0.35595,0.34321,0.01274,-0.00086,0.02627,0.33462,0.37718,0.3204,0.36477,1
ml1m,stable,47665.0,3379.0,0.43589,0.38167,0.05422,0.04604,0.06294,0.42407,0.44854,0.37001,0.39316,1
ml1m,pre_first_change,8073.0,2661.0,0.31326,0.31118,0.00208,-0.00616,0.01074,0.29615,0.3314,0.29319,0.3286,0
ml1m,CONTRAST::d=0 - d>5,,,-0.02062,0.00383,-0.02445,-0.03757,-0.01092,,,,,1
ml1m,CONTRAST::d=0 - stable,,,-0.10056,-0.03463,-0.06593,-0.07546,-0.05659,,,,,1
ml1m,CONTRAST::d1-2 - d>5,,,-0.02264,-0.00101,-0.02163,-0.03477,-0.00796,,,,,1
ml1m,CONTRAST::d1-2 - stable,,,-0.10258,-0.03946,-0.06311,-0.07329,-0.05247,,,,,1
ml1m,WITHIN::d=0,,13305.0,,,0.00856,0.00618,0.01105,,,,,1
ml1m,WITHIN::d1-2,,11150.0,,,-0.00119,-0.00361,0.00114,,,,,1
ml1m,WITHIN::d3-5,,7615.0,,,-0.00365,-0.00647,-0.0008,,,,,1
ml1m,WITHIN::d>5,,4340.0,,,-0.00993,-0.01318,-0.0067,,,,,1
ml1m,WITHIN::stable,,16895.0,,,0.0,0.0,0.0,,,,,1
ml1m,WITHIN::pre_first_change,,13305.0,,,-0.02331,-0.02626,-0.02047,,,,,1
