dataset,bucket,n_req_mean_per_seed,n_users,sit,base,delta,ci_lo,ci_hi,sit_ci_lo,sit_ci_hi,base_ci_lo,base_ci_hi,preregistered
nyc_tist,d=0,906.0,1025.0,0.35878,0.30428,0.0545,0.01889,0.09086,0.32144,0.39375,0.26579,0.35423,1
nyc_tist,d1-2,503.0,578.0,0.3505,0.31533,0.03518,0.0022,0.06722,0.31302,0.38743,0.27331,0.37088,1
nyc_tist,d3-5,175.0,190.0,0.32158,0.28544,0.03614,-0.0146,0.0858,0.26021,0.38353,0.23836,0.33686,1
nyc_tist,d>5,96.0,59.0,0.26269,0.27085,-0.00816,-0.06636,0.08781,0.19269,0.35468,0.19317,0.35135,1
nyc_tist,stable,15045.0,4036.0,0.33338,0.27888,0.0545,0.04339,0.06568,0.32123,0.34599,0.26875,0.28983,1
nyc_tist,pre_first_change,976.0,1025.0,0.31148,0.30129,0.01018,-0.02551,0.04992,0.28735,0.33342,0.25921,0.34353,0
nyc_tist,CONTRAST::d=0 - d>5,,,0.0961,0.03343,0.06267,-0.03907,0.12936,,,,,1
nyc_tist,CONTRAST::d=0 - stable,,,0.02541,0.0254,1e-05,-0.03918,0.04138,,,,,1
nyc_tist,CONTRAST::d1-2 - d>5,,,0.08782,0.04448,0.04334,-0.05626,0.10336,,,,,1
nyc_tist,CONTRAST::d1-2 - stable,,,0.01712,0.03645,-0.01932,-0.05806,0.01628,,,,,1
nyc_tist,WITHIN::d=0,,2364.0,,,0.02712,0.01868,0.03449,,,,,1
nyc_tist,WITHIN::d1-2,,1295.0,,,-0.00528,-0.01591,0.00554,,,,,1
nyc_tist,WITHIN::d3-5,,417.0,,,-0.01692,-0.03723,0.00396,,,,,1
nyc_tist,WITHIN::d>5,,125.0,,,-0.01774,-0.04675,0.01592,,,,,1
nyc_tist,WITHIN::stable,,18201.0,,,0.0,0.0,0.0,,,,,1
nyc_tist,WITHIN::pre_first_change,,2364.0,,,-0.02191,-0.03115,-0.01246,,,,,1
