dataset,bucket,n_req_mean_per_seed,n_users,sit,base,delta,ci_lo,ci_hi,sit_ci_lo,sit_ci_hi,base_ci_lo,base_ci_hi,preregistered
saopaulo,d=0,2271.0,2246.0,0.40131,0.37817,0.02314,0.0102,0.03948,0.35085,0.45603,0.33532,0.42551,1
saopaulo,d1-2,1428.0,1488.0,0.41467,0.39401,0.02066,0.00584,0.04337,0.35618,0.47773,0.34515,0.44681,1
saopaulo,d3-5,537.0,592.0,0.42503,0.39373,0.0313,0.01181,0.05171,0.35686,0.49964,0.33445,0.45926,1
saopaulo,d>5,306.0,193.0,0.49168,0.44566,0.04602,0.00426,0.09344,0.39977,0.58904,0.37306,0.53103,1
saopaulo,stable,17105.0,4169.0,0.39314,0.36068,0.03246,0.02297,0.04296,0.36662,0.41975,0.34093,0.37996,1
saopaulo,pre_first_change,2172.0,2246.0,0.39264,0.37376,0.01888,0.00369,0.03438,0.33538,0.45728,0.32523,0.42935,0
saopaulo,CONTRAST::d=0 - d>5,,,-0.09037,-0.06748,-0.02288,-0.06621,0.01583,,,,,1
saopaulo,CONTRAST::d=0 - stable,,,0.00818,0.0175,-0.00932,-0.02778,0.01061,,,,,1
saopaulo,CONTRAST::d1-2 - d>5,,,-0.07701,-0.05165,-0.02536,-0.06939,0.0135,,,,,1
saopaulo,CONTRAST::d1-2 - stable,,,0.02153,0.03333,-0.0118,-0.03158,0.01322,,,,,1
saopaulo,WITHIN::d=0,,4694.0,,,0.0044,0.00168,0.00732,,,,,1
saopaulo,WITHIN::d1-2,,2972.0,,,-0.00474,-0.00946,-0.00043,,,,,1
saopaulo,WITHIN::d3-5,,1084.0,,,-0.0034,-0.01098,0.0031,,,,,1
saopaulo,WITHIN::d>5,,347.0,,,-0.00626,-0.01843,0.00557,,,,,1
saopaulo,WITHIN::stable,,17281.0,,,0.0,0.0,0.0,,,,,1
saopaulo,WITHIN::pre_first_change,,4694.0,,,-0.0052,-0.00834,-0.00208,,,,,1
