dataset,len_bin,n_situations,n_users,delta,sd_seed,ci_lo,ci_hi
ml1m,Q1,1,951.0,0.033297999999999994,4.0249223594994835e-05,0.02621,0.0411
ml1m,Q1,2,346.0,-0.06539,0.0,-0.0727,-0.05766
ml1m,Q1,3,16.0,-0.05088,0.0,-0.08603,-0.01775
ml1m,Q2,1,891.0,0.05437000000000001,0.0,0.04864,0.06168
ml1m,Q2,2,586.0,-0.018376,0.0002122027332528971,-0.02313,-0.01367
ml1m,Q2,3,119.0,-0.013668,0.0010464798134699018,-0.02414,-0.00428
ml1m,Q3,1,775.0,0.05781000000000001,0.0,0.0516,0.06429
ml1m,Q3,2,590.0,-0.004304,5.477225575051418e-06,-0.00925,-0.00046
ml1m,Q3,3,180.0,-0.00356,0.0,-0.00871,0.0024
ml1m,Q4,1,762.0,0.055813999999999996,8.944271909998633e-06,0.05015,0.06085
ml1m,Q4,2,601.0,0.000758,4.919349550499538e-05,-0.0024,0.0038
ml1m,Q4,3,223.0,-0.00020600000000000002,8.944271909999163e-06,-0.00491,0.00485
