dataset,len_bin,n_situations,n_users,delta,sd_seed,ci_lo,ci_hi
nyc_tist,Q1,1,96.0,-0.047752,0.008481802284892053,-0.07578,-0.01601
nyc_tist,Q1,2,0.0,,,,
nyc_tist,Q1,3,0.0,,,,
nyc_tist,Q2,1,1204.6,0.007125999999999999,0.0057078305861334045,0.00114,0.0129
nyc_tist,Q2,2,85.4,-0.05593600000000001,0.05771893995908102,-0.07366,-0.03378
nyc_tist,Q2,3,0.0,,,,
nyc_tist,Q3,1,1287.4,0.043284,0.011680360867712946,0.03775,0.04909
nyc_tist,Q3,2,165.8,0.024895999999999998,0.04350916144905576,0.01244,0.03748
nyc_tist,Q3,3,2.8,-0.07563999999999999,0.1998566606345658,,
nyc_tist,Q4,1,1052.2,0.08024,0.009541399268451135,0.07464,0.08659
nyc_tist,Q4,2,211.6,0.048298,0.039092859578188956,0.03826,0.05692
nyc_tist,Q4,3,7.2,0.05921,0.10783378413094849,,
