dataset,len_bin,n_situations,n_users,delta,sd_seed,ci_lo,ci_hi
saopaulo,Q1,1,831.0,0.013968,0.00410696603346071,0.00874,0.01985
saopaulo,Q1,2,95.0,-0.008614,0.013470734204192435,-0.01976,0.0009
saopaulo,Q1,3,0.0,,,,
saopaulo,Q2,1,760.0,0.035858,0.003975917504174355,0.03035,0.04113
saopaulo,Q2,2,139.2,0.00772,0.017333604645312528,-0.00435,0.01894
saopaulo,Q2,3,3.8,0.024896666666666668,0.02288772669649245,,
saopaulo,Q3,1,938.8,0.030626000000000004,0.002510284844395154,0.0266,0.03373
saopaulo,Q3,2,256.4,0.0010359999999999998,0.013193078867345559,-0.00482,0.00642
saopaulo,Q3,3,9.8,-0.008405,0.01936505873990575,,
saopaulo,Q4,1,926.4,0.032384,0.010373865239147847,0.02878,0.03694
saopaulo,Q4,2,399.6,0.022446,0.015538470967247711,0.01748,0.02725
saopaulo,Q4,3,35.0,-0.007469999999999999,0.04221153100753395,,
