dataset,len_bin,strato,n_utenti,delta,base,ci_lo,ci_hi,low_support
ml1m,Q1,bshare=0,833,0.03044,0.47915,0.02269,0.03902,0
ml1m,Q1,0<bs<=.25,0,,,,,1
ml1m,Q1,.25<bs<=.5,125,-0.03894,0.36372,-0.05226,-0.02718,0
ml1m,Q1,bs>.5,354,-0.03457,0.40832,-0.04353,-0.02687,0
ml1m,Q2,bshare=0,780,0.06351,0.47808,0.05537,0.07075,0
ml1m,Q2,0<bs<=.25,168,-0.00022,0.37763,-0.01068,0.01108,0
ml1m,Q2,.25<bs<=.5,255,-0.02158,0.37506,-0.02835,-0.01465,0
ml1m,Q2,bs>.5,392,-0.02024,0.38413,-0.02494,-0.01535,0
ml1m,Q3,bshare=0,662,0.06068,0.4377,0.05347,0.06757,0
ml1m,Q3,0<bs<=.25,293,0.02765,0.35815,0.02058,0.03401,0
ml1m,Q3,.25<bs<=.5,266,-0.01321,0.34976,-0.01915,-0.00708,0
ml1m,Q3,bs>.5,323,-0.00967,0.35601,-0.01302,-0.00635,0
ml1m,Q4,bshare=0,665,0.05981,0.36213,0.05393,0.06604,0
ml1m,Q4,0<bs<=.25,305,0.02817,0.30362,0.02261,0.03371,0
ml1m,Q4,.25<bs<=.5,281,-0.00644,0.32573,-0.0109,-0.00188,0
ml1m,Q4,bs>.5,334,-0.0109,0.34607,-0.01379,-0.00771,0
ml1m,Q1,nsit=1,951,0.0333,,,,0
ml1m,Q1,nsit=2,346,-0.06539,,,,0
ml1m,Q1,nsit>=3,16,-0.05088,,,,1
ml1m,Q2,nsit=1,891,0.05437,,,,0
ml1m,Q2,nsit=2,586,-0.01838,,,,0
ml1m,Q2,nsit>=3,119,-0.01367,,,,0
ml1m,Q3,nsit=1,775,0.05781,,,,0
ml1m,Q3,nsit=2,590,-0.0043,,,,0
ml1m,Q3,nsit>=3,180,-0.00356,,,,0
ml1m,Q4,nsit=1,762,0.05581,,,,0
ml1m,Q4,nsit=2,601,0.00076,,,,0
ml1m,Q4,nsit>=3,223,-0.00021,,,,0
