dataset,len_bin,strato,n_utenti,delta,base,ci_lo,ci_hi,low_support
nyc_tist,Q1,bshare=0,77,-0.06149,0.35179,-0.09969,-0.01761,0
nyc_tist,Q1,0<bs<=.25,0,,,,,1
nyc_tist,Q1,.25<bs<=.5,0,,,,,1
nyc_tist,Q1,bs>.5,18,0.00551,0.31863,-0.00915,0.01796,1
nyc_tist,Q2,bshare=0,910,0.0142,0.30167,0.00443,0.02439,0
nyc_tist,Q2,0<bs<=.25,0,,,,,1
nyc_tist,Q2,.25<bs<=.5,0,,,,,1
nyc_tist,Q2,bs>.5,379,-0.01864,0.30095,-0.02992,-0.00848,0
nyc_tist,Q3,bshare=0,959,0.0588,0.26571,0.04685,0.07068,0
nyc_tist,Q3,0<bs<=.25,0,,,,,1
nyc_tist,Q3,.25<bs<=.5,111,0.01321,0.26842,-0.01298,0.03759,0
nyc_tist,Q3,bs>.5,385,0.01347,0.24424,0.00727,0.01935,0
nyc_tist,Q4,bshare=0,803,0.10571,0.26554,0.09685,0.11501,0
nyc_tist,Q4,0<bs<=.25,99,0.04384,0.26995,0.00867,0.08023,0
nyc_tist,Q4,.25<bs<=.5,66,0.03472,0.28549,0.00715,0.06943,0
nyc_tist,Q4,bs>.5,301,0.02567,0.24941,0.01892,0.03243,0
nyc_tist,Q1,nsit=1,96,-0.04775,,,,0
nyc_tist,Q1,nsit=2,0,,,,,1
nyc_tist,Q1,nsit>=3,0,,,,,1
nyc_tist,Q2,nsit=1,1204,0.00713,,,,0
nyc_tist,Q2,nsit=2,85,-0.05593,,,,0
nyc_tist,Q2,nsit>=3,0,,,,,1
nyc_tist,Q3,nsit=1,1287,0.04328,,,,0
nyc_tist,Q3,nsit=2,165,0.0249,,,,0
nyc_tist,Q3,nsit>=3,2,-0.07564,,,,1
nyc_tist,Q4,nsit=1,1052,0.08024,,,,0
nyc_tist,Q4,nsit=2,211,0.0483,,,,0
nyc_tist,Q4,nsit>=3,7,0.05921,,,,1
