dataset,len_bin,strato,n_utenti,delta,base,ci_lo,ci_hi,low_support
saopaulo,Q1,bshare=0,689,0.02701,0.32696,0.02001,0.03538,0
saopaulo,Q1,0<bs<=.25,0,,,,,1
saopaulo,Q1,.25<bs<=.5,0,,,,,1
saopaulo,Q1,bs>.5,237,-0.03587,0.37404,-0.05138,-0.0193,0
saopaulo,Q2,bshare=0,633,0.04995,0.31565,0.04367,0.05701,0
saopaulo,Q2,0<bs<=.25,0,,,,,1
saopaulo,Q2,.25<bs<=.5,140,-0.00624,0.3657,-0.02042,0.00773,0
saopaulo,Q2,bs>.5,129,-0.01818,0.33012,-0.03366,-0.00496,0
saopaulo,Q3,bshare=0,720,0.04144,0.32363,0.03526,0.04804,0
saopaulo,Q3,0<bs<=.25,78,0.00229,0.35465,-0.00805,0.01252,0
saopaulo,Q3,.25<bs<=.5,153,0.00468,0.33879,-0.00495,0.01572,0
saopaulo,Q3,bs>.5,253,-0.0036,0.31406,-0.01117,0.00384,0
saopaulo,Q4,bshare=0,672,0.048,0.38346,0.03953,0.05674,0
saopaulo,Q4,0<bs<=.25,230,0.02774,0.37457,0.02028,0.03597,0
saopaulo,Q4,.25<bs<=.5,182,0.00978,0.38179,-0.00036,0.01901,0
saopaulo,Q4,bs>.5,276,-0.00632,0.3469,-0.01359,0.00102,0
saopaulo,Q1,nsit=1,831,0.01397,,,,0
saopaulo,Q1,nsit=2,95,-0.00861,,,,0
saopaulo,Q1,nsit>=3,0,,,,,1
saopaulo,Q2,nsit=1,760,0.03586,,,,0
saopaulo,Q2,nsit=2,139,0.00772,,,,0
saopaulo,Q2,nsit>=3,3,0.0249,,,,1
saopaulo,Q3,nsit=1,938,0.03063,,,,0
saopaulo,Q3,nsit=2,256,0.00104,,,,0
saopaulo,Q3,nsit>=3,9,-0.0084,,,,1
saopaulo,Q4,nsit=1,926,0.03238,,,,0
saopaulo,Q4,nsit=2,399,0.02245,,,,0
saopaulo,Q4,nsit>=3,35,-0.00747,,,,0
