dataset,backbone,metric,method,mean,sd_seed,mean_s42,se_boot,ci_lo,ci_hi,box,delta_l1,ci_l1_lo,ci_l1_hi,p_l1,p_l1_seed,seeds_l1,holm_l1,sig_l1,delta_l2,ci_l2_lo,ci_l2_hi,p_l2,p_l2_seed,seeds_l2,holm_l2,sig_l2,tost_equiv
ml1m,B_blind,CatMRR,BASE,0.35962,0.0,0.35962,0.00119,0.35731,0.36193,,,,,,,,,,,,,,,,,,
ml1m,B_blind,CatMRR,SIT,0.38479,8.1e-06,0.38479,0.00128,0.38223,0.38728,,0.02517,0.02338,0.02686,0.0,0.0,5,,,0.02696,0.02531,0.0287,0.0,0.0,5,,,
ml1m,B_blind,CatMRR,Steck-b,0.35783,1e-07,0.35783,0.00122,0.35544,0.36025,,,,,,,,,,,,,,,,,,
ml1m,B_blind,CatNDCG,BASE,0.45119,0.0,0.45119,0.00115,0.44892,0.45352,,,,,,,,,,,,,,,,,,
ml1m,B_blind,CatNDCG,SIT,0.46631,1.22e-05,0.46632,0.00124,0.46412,0.46887,,0.01513,0.01373,0.01661,0.0,0.0,5,,,0.0174,0.01587,0.01888,0.0,0.0,5,,,
ml1m,B_blind,CatNDCG,Steck-b,0.44891,1e-07,0.44891,0.00119,0.4465,0.45129,,,,,,,,,,,,,,,,,,
ml1m,B_blind,macroCatMRR,BASE,0.12648,0.0,0.12648,0.00086,0.12477,0.12816,,,,,,,,,,,,,,,,,,
ml1m,B_blind,macroCatMRR,SIT,0.14032,4.2e-06,0.14032,0.00103,0.13836,0.14239,winner,0.01385,0.01245,0.01525,0.0,0.0,5,0.0,***,0.01354,0.01223,0.01507,0.0,0.0,5,0.0,***,
ml1m,B_blind,macroCatMRR,Steck-b,0.12678,0.0,0.12678,0.00087,0.12509,0.12845,,,,,,,,,,,,,,,,,,
ml1m,B_blind,MRR,BASE,0.01845,0.0,0.01845,0.00026,0.01797,0.01894,,,,,,,,,,,,,,,,,,
ml1m,B_blind,MRR,SIT,0.01956,1.5e-06,0.01956,0.00026,0.01905,0.02007,,0.00111,0.00082,0.00139,0.0,0.0,5,,,0.00114,0.00086,0.00141,0.0,0.0,5,,,
ml1m,B_blind,MRR,Steck-b,0.01842,0.0,0.01842,0.00026,0.01792,0.01895,,,,,,,,,,,,,,,,,,
ml1m,B_blind,HR5,BASE,0.01852,0.0,0.01852,0.00044,0.01764,0.01934,,,,,,,,,,,,,,,,,,
ml1m,B_blind,HR5,SIT,0.01997,4.6e-06,0.01997,0.00045,0.0191,0.02087,,0.00145,0.00087,0.00209,0.0,0.0,5,,,0.00143,0.00078,0.00204,0.0,0.0,5,,,
ml1m,B_blind,HR5,Steck-b,0.01854,0.0,0.01854,0.00044,0.01772,0.01941,,,,,,,,,,,,,,,,,,
ml1m,B_blind,HR10,BASE,0.03441,0.0,0.03441,0.00058,0.03328,0.03557,,,,,,,,,,,,,,,,,,
ml1m,B_blind,HR10,SIT,0.03627,5.6e-06,0.03627,0.00059,0.03513,0.03742,,0.00186,0.00109,0.00262,0.0,0.0,5,,,0.00184,0.00106,0.00265,0.0,0.0,5,,,
ml1m,B_blind,HR10,Steck-b,0.03443,0.0,0.03443,0.00059,0.03324,0.03554,,,,,,,,,,,,,,,,,,
ml1m,B_blind,HR20,BASE,0.06088,0.0,0.06088,0.00079,0.0594,0.06257,,,,,,,,,,,,,,,,,,
