city,seed,backbone,phase,K,eps,kappa,gating,boundary_frac,macroCatMRR,CatMRR,HR20,NDCG20,Coverage,Gini,LT20
ml1m,42,B_blind,kappa,5,0.03,0.0,double,0.2423,0.12647804061904258,0.35961871698587405,0.06087511188386712,0.02313640038643617,0.6717791411042945,0.7451459563351057,0.23823033
ml1m,42,B_blind,kappa,5,0.03,0.05,double,0.2423,0.1286987064466906,0.36439587701287474,0.06146153767014064,0.023352129610149566,0.6751533742331288,0.7444853499906616,0.23888928
ml1m,42,B_blind,kappa,5,0.03,0.1,double,0.2423,0.13089302927051938,0.36918640274672415,0.061975946254591095,0.023575842784839502,0.6745398773006135,0.7431256803684705,0.2410143
ml1m,42,B_blind,kappa,5,0.03,0.25,double,0.2423,0.1356368234298987,0.3789996250754735,0.06308706879700408,0.024043356998820212,0.6877300613496933,0.7394036666412722,0.24562699
ml1m,42,B_blind,kappa,5,0.03,0.5,double,0.2423,0.14032229488891484,0.3847889590127849,0.06484634615582464,0.024644971495335306,0.7079754601226994,0.7306597962298205,0.2571292
ml1m,42,B_blind,kappa,5,0.03,1.0,double,0.2423,0.14302299306724436,0.3768925434159853,0.0660191977283717,0.024983351306275825,0.7386503067484662,0.7137882869102201,0.28147563
ml1m,42,B_blind,kappa,5,0.03,1.5,double,0.2423,0.1422963766353481,0.3650271973077773,0.06631755470735295,0.024983264585293374,0.75,0.705796649110922,0.30029988
ml1m,42,B_blind,kappa,5,0.03,0.0,single,0.2423,0.12647804061904258,0.35961871698587405,0.06087511188386712,0.02313640038643617,0.6717791411042945,0.7451459563351057,0.23823033
ml1m,42,B_blind,kappa,5,0.03,0.05,single,0.2423,0.12888522172200173,0.3645397349196812,0.06150269035689668,0.02336571232231391,0.6745398773006135,0.7444400700428826,0.23890778
ml1m,42,B_blind,kappa,5,0.03,0.1,single,0.2423,0.13125639970990835,0.369035752063323,0.06201709894134713,0.02358572086163244,0.6748466257668712,0.7428933617749733,0.24143302
ml1m,42,B_blind,kappa,5,0.03,0.25,single,0.2423,0.13624540268278948,0.3781260277523776,0.06306649245362607,0.024015518181245282,0.6877300613496933,0.7386891644786417,0.24671502
ml1m,42,B_blind,kappa,5,0.03,0.5,single,0.2423,0.14111520739661837,0.38261580102391934,0.06511383861973889,0.024665460596161728,0.7101226993865031,0.7289013750614843,0.25973624
ml1m,42,B_blind,kappa,5,0.03,1.0,single,0.2423,0.14535988702980396,0.3695877889732844,0.06599862138499367,0.024935330207309488,0.7392638036809815,0.7113768142606935,0.28757498
ml1m,42,B_blind,kappa,5,0.03,1.5,single,0.2423,0.1436674312747351,0.35449296344001663,0.0655870945174333,0.024695716849568443,0.7515337423312883,0.7037936667403668,0.30915803
ml1m,42,EASE,kappa,5,0.03,0.0,double,0.2423,0.12939490074495386,0.3754534444626602,0.06893760909748728,0.026030772680193826,0.36319018404907977,0.9323181150655631,0.010699699
ml1m,42,EASE,kappa,5,0.03,0.05,double,0.2423,0.13799701806556883,0.39535890642259847,0.07233613514542331,0.02711454260166871,0.4076687116564417,0.9284248231617924,0.013370507
ml1m,42,EASE,kappa,5,0.03,0.1,double,0.2423,0.1422529013514449,0.40099790645981453,0.07291570215057082,0.027335996684035115,0.42484662576687116,0.9222808273861283,0.017311906
ml1m,42,EASE,kappa,5,0.03,0.25,double,0.2423,0.1409953866739061,0.3749089190197822,0.07062315455920329,0.02651616914921521,0.4377300613496933,0.9059614533134444,0.03497824
